,fluxes,reduced_costs
biomass_dilution,0.1403753786539605,-0.6854192636397869
protein_biomass_to_biomass,0.05093606786690329,-6.405727977021923e-35
mRNA_biomass_to_biomass,0.00017192908814632035,0.0
tRNA_biomass_to_biomass,0.0010521275360615367,0.0
rRNA_biomass_to_biomass,0.007480975095733153,0.0
ncRNA_biomass_to_biomass,0.0,-1.1961321513496837e-34
tmRNA_biomass_to_biomass,0.0,-1.1961321513496837e-34
DNA_biomass_to_biomass,0.008304662046058078,-1.1961321513496837e-34
lipid_biomass_to_biomass,0.0,-1.1961321513496837e-34
constituent_biomass_to_biomass,0.043754861683972426,-1.1961321513496837e-34
prosthetic_group_biomass_to_biomass,2.3217161952587366e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,-1.1961321513496837e-34
DM_5MTR,0.0,0.0
DM_atp_c_,0.0,-0.015837286245482845
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],8.277736305286282e-05,0.0
EX_26dap_M(e),0.0,0.0
EX_2dmmq8(e),-0.00111453839389885,0.0
EX_34dhphe(e),0.0,-0.015826360126160396
EX_3mop(e),-0.4696911652073854,0.0
EX_5htrp(e),0.0,-0.015826360126160396
EX_ac(e),3.8513332835947134,0.0
EX_acald(e),-1.0,-1.7876444870513632e-06
EX_acgam(e),-1.0,-0.031653178256168556
EX_ade(e),-0.019532398728510068,0.0
EX_ala_L(e),3.0644441683093464,0.0
EX_alaasp(e),0.0,-0.04748364710551824
EX_alagln(e),0.0,-0.01581931606523523
EX_alaglu(e),0.0,-0.015819226786221365
EX_alagly(e),0.0,-0.01581937838129755
EX_alahis(e),0.0,-0.031645676191395626
EX_alaleu(e),0.0,-0.015819643337738908
EX_alathr(e),0.0,-0.01581931606523523
EX_arab_L(e),-0.17878295,-0.010541496433252152
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.030572382205506378,0.0
EX_asn_L(e),-0.225,-0.03166088548487666
EX_asp_L(e),-0.225,-0.03166306893465954
EX_biomass(e),0.0,0.0
EX_ca2(e),-2.0989396904514216e-10,0.0
EX_cd2(e),0.0,-0.05255068693099648
EX_cgly(e),-1.0,-0.015818116275674084
EX_cl(e),0.0,0.0
EX_co2(e),1.5935472821091299,0.0
EX_cobalt2(e),-0.00111453839389885,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.9891337275114757,0.0
EX_dcyt(e),-0.01768866849494055,0.0
EX_dopa(e),0.0,0.0
EX_etoh(e),3.446640476467904,0.0
EX_fe2(e),-1.352823448205539e-06,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-0.00334361518169655,0.0
EX_for(e),5.31056296076232,0.0
EX_fru(e),-0.14898579,-0.03165699639977332
EX_galt(e),0.0,0.0
EX_gam(e),-1.0,-0.031655813241251246
EX_gcald(e),0.0,0.0
EX_glc_D(e),-0.14898579,-0.031656254381030875
EX_gln_L(e),-0.08931881973224541,0.0
EX_glu_L(e),0.0,0.0
EX_gly(e),0.9756149062312524,0.0
EX_glyasn(e),0.0,-0.047481463655735356
EX_glyasp(e),0.0,-0.04748364710551824
EX_glyc(e),-1.79965486,-0.01582375545736763
EX_glyc3p(e),-0.15351109380727138,0.0
EX_glycys(e),0.0,-0.015818116275674084
EX_glygln(e),0.0,-0.01581931606523523
EX_glyglu(e),0.0,-0.015820488891844828
EX_glyleu(e),0.0,-0.015827777654772245
EX_glymet(e),0.0,-0.015824035640543948
EX_glyphe(e),0.0,-0.01581931606523523
EX_glypro(e),0.0,-0.01581931606523523
EX_glytyr(e),0.0,-0.031645676191395626
EX_gua(e),-0.009925857747105514,0.0
EX_h(e),9.46778843333958,0.0
EX_h2o(e),-3.076457021188841,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.15,-0.015826360126160396
EX_hista(e),0.13965160694541787,0.0
EX_hxan(e),0.0,0.0
EX_ile_L(e),0.40319827723558294,0.0
EX_k(e),-1.2277806959438728e-08,0.0
EX_lac_D(e),1.3322951399550418,8.086147010112653e-36
EX_lac_L(e),0.0,-9.537455657518746e-07
EX_leu_L(e),-0.0807891482280323,0.0
EX_lys_L(e),-0.05620060215982742,0.0
EX_malt(e),-0.07449289,-0.06331006307299722
EX_malthx(e),0.0,-0.23743719949098865
EX_malttr(e),0.0,-0.09496273902725619
EX_man(e),-0.14898579,-0.03165637901828626
EX_melib(e),-0.07449289,-0.047469549898781466
EX_met_D(e),0.0,0.0
EX_met_L(e),0.0,0.0
EX_metala(e),0.0,-0.015824035640543948
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-0.018783386547559056,0.0
EX_mg2(e),-0.0008951966488027768,0.0
EX_mn2(e),-3.5973026305414507e-08,0.0
EX_mnl(e),-0.14898579,-0.031651533810964354
EX_mqn8(e),-0.00111453839389885,0.0
EX_na1(e),-8.395758761805687e-10,0.0
EX_nac(e),-0.0011145640914643135,0.0
EX_nh4(e),0.0,-6.096458629614303e-07
EX_o2(e),0.0,-0.06332476702931217
EX_ocdca(e),-0.029178987708526845,0.0
EX_pb(e),0.0,0.0
