,fluxes,reduced_costs
biomass_dilution,0.1922913222974178,-0.5212920244441342
protein_biomass_to_biomass,0.09144045486254067,-2.1777318315231365e-34
mRNA_biomass_to_biomass,0.0003494634235745121,5.63355853891707e-35
tRNA_biomass_to_biomass,0.0021261042447923,-5.495765402046842e-35
rRNA_biomass_to_biomass,0.014212139694220458,0.0
ncRNA_biomass_to_biomass,0.0,-5.90505897341517e-35
tmRNA_biomass_to_biomass,0.0,-5.90505897341517e-35
DNA_biomass_to_biomass,0.011305583129427758,-5.90505897341517e-35
lipid_biomass_to_biomass,0.0,-5.90505897341517e-35
constituent_biomass_to_biomass,0.021374624087507243,-5.90505897341517e-35
prosthetic_group_biomass_to_biomass,4.769699517573013e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,-5.90505897341517e-35
DM_2HYMEPH,0.0,0.0
DM_HQN,0.0,0.0
DM_atp_c_,0.0,-0.01419546869468494
EX_12dhchol(e),0.0,-0.0070986264764098545
EX_3dhcdchol(e),0.0,-0.007097211131935294
EX_3dhchol(e),0.0,-0.007100109450002999
EX_7dhcdchol(e),0.0,-0.007099661184437428
EX_7ocholate(e),0.0,-0.007099661184437428
EX_C02528(e),0.0,0.0
EX_ac(e),7.123721258581992,0.0
EX_acald(e),-1.0,-0.007095896918084967
EX_acgam(e),-1.0,-0.05319277769162464
EX_ala_L(e),-0.09142475311011818,0.0
EX_alaasp(e),0.0,-0.003533926182955408
EX_alagln(e),0.0,-0.024820135231138175
EX_alaglu(e),0.0,-0.024823248224603918
EX_alagly(e),3.839464712552091e-23,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,-0.0070842393015451205
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,-0.04964935370018013
EX_arg_L(e),-0.06112878207631563,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-0.010628554124314599
EX_asp_L(e),-0.225,-0.01063151807726207
EX_biomass(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.05435959269560231
EX_cellb(e),-0.07449289,-0.09929452101502814
EX_cgly(e),0.0,0.0
EX_chol(e),0.0,0.0
EX_cholate(e),0.0,0.0
EX_chols(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.526036589694895,0.0
EX_cobalt2(e),-0.001502066869491783,0.0
EX_crn(e),0.0,0.0
EX_cro4(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.019363596892523302,0.0
EX_dextrin(e),0.0,-0.283677947928595
EX_etoh(e),3.2476569579225854,0.0
EX_fe2(e),-5.029603795506939e-08,0.0
EX_fe3(e),0.0,0.0
EX_fecrm(e),0.0,0.0
EX_for(e),7.431469872197558,0.0
EX_fru(e),-0.14898579,-0.0425542747420748
EX_gal(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_glc_D(e),-0.14898579,-0.049648996400891716
EX_gln_L(e),-0.18,-0.031917727125444835
EX_glu_L(e),-0.18,-0.031920840118910575
EX_gly(e),-0.45,-0.007086335160802771
EX_glyasn(e),0.0,-0.01061729739081071
EX_glyasp(e),0.0,-0.010620261343758179
EX_glyb(e),0.0,0.0
EX_glyc3p(e),-1.0,-0.01772231067506576
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,-0.03190647039194095
EX_glyglu(e),0.0,-0.03190958338540669
EX_glyleu(e),0.0,-0.01063555389104585
EX_glymet(e),0.0,-0.0035395905082271054
EX_glyphe(e),3.8436783865755263e-23,0.0
EX_glypro(e),3.871507917449223e-23,0.0
EX_glytyr(e),0.0,-0.007081820885983229
EX_h(e),10.812892311387667,0.0
EX_h2o(e),-8.979475388074606,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.025695733602941258,0.0
EX_hxan(e),-0.04661052287704476,0.0
EX_icdchol(e),0.0,0.0
EX_ile_L(e),-0.09965296637637938,0.0
EX_isochol(e),0.0,0.0
EX_k(e),-9.092337360995337e-07,0.0
EX_lac_D(e),0.0,-0.007091061570350717
EX_lac_L(e),0.0,-0.007092564893732676
EX_leu_L(e),-0.12242735419816334,0.0
EX_lys_L(e),-0.08211094291519289,0.0
EX_malt(e),-0.07449289,-0.08509560346960858
EX_malthx(e),0.0,-0.2836770348191711
EX_malttr(e),0.0,-0.1347407561258455
EX_man(e),-0.14898579,-0.04964893027033682
EX_met_D(e),0.0,0.0
EX_met_L(e),0.0,0.0
EX_metala(e),3.9366850171395216e-23,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-0.04610269550100524,0.0
EX_mg2(e),-0.0018278851050562018,0.0
EX_mn2(e),-4.61111400687476e-06,0.0
EX_na1(e),0.0,0.0
EX_nac(e),0.9984981424361835,0.0
EX_nh4(e),4.2873385854591,0.0
EX_nmn(e),-1.0,-0.05792712691234418
EX_o2(e),0.0,-0.014196359807574927
EX_orn(e),0.0,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),0.8814978622460186,0.0
EX_pi(e),1.863205946133251,0.0
EX_pnto_R(e),-0.0015016798523494546,0.0
EX_ppi(e),0.0,-0.007098676132580589
EX_pro_L(e),-0.048211546987217246,0.0
EX_ptrc(e),0.0,0.0
EX_pydx(e),-0.0015024796688612439,0.0
EX_ribflv(e),-0.003003448863015697,0.0
EX_salcn(e),0.0,-0.04964935370018013
EX_ser_L(e),-1.0,-0.014186855170938803
EX_so4(e),0.0,0.0
EX_spmd(e),0.0,0.0
EX_succ(e),0.0,-0.003539554426586661
EX_sucr(e),-0.07449289,-0.09929359977953457
EX_thr_L(e),-0.225,-0.014181831195851782
EX_thymd(e),-0.008967447905369378,0.0
EX_trp_L(e),-0.01568242460562135,0.0
EX_tyr_L(e),-1.0,-0.0070930776194871184
EX_ura(e),-0.039789984530141334,0.0
EX_urea(e),0.0,0.0
EX_val_L(e),-0.09320561583635256,0.0
EX_zn2(e),-3.373959569711377e-07,0.0
translation_545696.5.peg.8,0.0,1.1528863954338115e-33
transcription_TU_545696.5.peg.8,0.0,-52.66657935959384
translation_545696.5.peg.9,0.0,-1.3418626104039768e-32
transcription_TU_545696.5.peg.9,0.0,2.0652444900917098e-32
translation_545696.5.peg.10,0.0,1.5531804294699352e-31
transcription_TU_545696.5.peg.10,0.0,3.5992732895108104e-32
translation_545696.5.peg.22,0.0,1.0746081379127434e-32
transcription_TU_545696.5.peg.22,0.0,1.4447667712487657e-32
translation_545696.5.peg.29,4.003480828185097e-08,1.3971265549681552e-33
transcription_TU_545696.5.peg.29,7.385820496552319e-10,1.1674446331592555e-32
translation_545696.5.peg.32,0.0,1.8129588105441148e-32
