,fluxes,reduced_costs
biomass_dilution,0.2713175854599421,-0.15350912518059395
protein_biomass_to_biomass,0.09693506557408631,-1.5707894743631103e-35
mRNA_biomass_to_biomass,0.00039252828125469944,0.0
tRNA_biomass_to_biomass,0.0022859788981596653,0.0
rRNA_biomass_to_biomass,0.016985071971282708,-2.347183959650553e-35
ncRNA_biomass_to_biomass,0.0,-3.0276571396742737e-35
tmRNA_biomass_to_biomass,0.0,-3.0276571396742737e-35
DNA_biomass_to_biomass,0.015571924992279905,-3.0276571396742737e-35
lipid_biomass_to_biomass,0.0,-3.0276571396742737e-35
constituent_biomass_to_biomass,0.08456941336908873,-3.0276571396742737e-35
prosthetic_group_biomass_to_biomass,5.162798836655612e-05,-1.7340820913390091e-35
peptidoglycan_biomass_to_biomass,0.0,-3.0276571396742737e-35
DM_2HYMEPH,0.0,0.0
DM_5MTR,0.0,0.0
DM_GCALD,0.0,-0.0053295386108453205
DM_atp_c_,0.0,-0.005361009503624701
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-1.519258453856873e-05
EX_12dgr180(e),-0.001960106764396806,0.0
EX_26dap_M(e),-0.45733801719230405,-2.235922408033261e-36
EX_2dmmq8(e),-0.0021541802332763023,0.0
EX_2obut(e),0.0001514445315103978,0.0
EX_34dhphe(e),0.0,-0.0026776904951675375
EX_3mop(e),-0.38663209136715687,0.0
EX_4abz(e),0.0,0.0
EX_4hbz(e),0.0,0.0
EX_5htrp(e),0.0,-0.0026776904951675375
EX_5mthf(e),0.9935374593001711,0.0
EX_C02528(e),0.0,-1.1594768609399226e-06
EX_ac(e),7.732713618248804,0.0
EX_acald(e),-1.0,-0.0026831065121113
EX_acgam(e),-1.0,-0.013374026398149289
EX_ade(e),0.2825627160099251,0.0
EX_ala_D(e),-0.0352819217591425,0.0
EX_ala_L(e),-0.09338632564819872,0.0
EX_alaasp(e),0.0,-0.010701755108261619
EX_alagln(e),0.0,-4.888874174461895e-06
EX_alaglu(e),0.0,-4.888874174461895e-06
EX_alagly(e),0.0,-0.002651915039989992
EX_alahis(e),0.0,-0.0026825793693419997
EX_alaleu(e),0.0,-4.922292206216966e-06
EX_alathr(e),0.0,-4.888874174461895e-06
EX_amp(e),-0.30405251381061643,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,-0.010696455747494667
EX_arg_L(e),-0.15,-0.0053558182409110915
EX_asn_L(e),-0.225,-0.010693028406249704
EX_asp_L(e),-0.225,-0.010696866234087157
EX_biomass(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.008456146533545417
EX_cellb(e),-0.07449289,-0.021392231236723427
EX_cgly(e),-1.0,-0.0026495960862681126
EX_cholate(e),0.0,-1.1594768609399226e-06
EX_cl(e),0.0,0.0
EX_co2(e),2.0562306878732257,0.0
EX_cobalt2(e),-0.0021541802332763023,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.9933357133612861,0.0
EX_cytd(e),0.0,-0.024117376478048416
EX_dad_2(e),-0.01552910337488254,0.0
EX_dextrin(e),0.0,-0.05880493079112106
EX_dgchol(e),0.0,-0.002647145000607635
EX_dgsn(e),-0.009759636471276917,0.0
EX_dopa(e),0.0,0.0
EX_etoh(e),0.0,-1.9504787947949277e-05
EX_fe2(e),-2.5448978421706297e-06,0.0
EX_fe3(e),6.322036267226704e-24,0.0
EX_fol(e),-1.0,-0.005300531142855261
EX_for(e),3.4194421687032057,0.0
EX_fru(e),-0.14898579,-0.010698546776530352
EX_gal(e),-0.14898579,-0.005329527881784073
EX_galt(e),0.0,0.0
EX_gam(e),-1.0,-0.010695096131643142
EX_gcald(e),0.0,-0.005328379133984381
EX_gchola(e),0.0,-0.002647145000607635
EX_glc_D(e),-0.14898579,-0.010697705760188449
EX_gln_L(e),-0.06728610119900805,0.0
EX_glu_L(e),-0.17994182979821305,0.0
EX_gly(e),-0.45,-0.002647145000607635
EX_glyasn(e),0.0,-0.013344943446239696
EX_glyasp(e),0.0,-0.013348781274077149
EX_glyc(e),-1.79965486,-0.002679797662446858
EX_glyc3p(e),0.0,0.0
EX_glyclt(e),0.0,0.0
EX_glycys(e),0.0,-0.0026495960862681126
EX_glygln(e),0.0,-0.002651915039989992
EX_glyglu(e),0.0,-0.002651915039989992
EX_glyleu(e),0.0,-0.005332051335242683
EX_glymet(e),0.0,-0.002651915039989992
EX_glyphe(e),0.0,-0.002651915039989992
EX_glypro(e),0.0,-0.002651915039989992
EX_glytyr(e),0.0,-0.00532960553515753
EX_gua(e),-0.013262363615669624,0.0
EX_h(e),15.849896187010913,0.0
EX_h2o(e),-8.363545207023693,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.15,-0.0026776904951675375
EX_hista(e),0.10822924420341108,0.0
EX_hxan(e),0.0,0.0
