,fluxes,reduced_costs
biomass_dilution,0.3588852909441911,-0.3582528180298697
protein_biomass_to_biomass,0.1260481513111089,-3.0677628611174776e-35
mRNA_biomass_to_biomass,0.0006085031674115907,0.0
tRNA_biomass_to_biomass,0.003556669526895439,0.0
rRNA_biomass_to_biomass,0.026403494915534176,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.019418046220264763,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.11186417743801576,0.0
prosthetic_group_biomass_to_biomass,8.416325246168218e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_2HYMEPH,0.0,0.0
DM_5MTR,0.0,0.0
DM_HQN,0.0,0.0
DM_atp_c_,0.0,-0.014472091459541979
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-0.04827563840287259
EX_12dgr180(e),-0.0025927308958972163,0.0
EX_26dap_M(e),0.0,0.0
EX_2dmmq8(e),-0.002540468480260203,0.0
EX_2obut(e),1.207497492801329e-54,0.0
EX_34dhpha(e),0.0,-0.06287704520514142
EX_3hphac(e),0.0,0.0
EX_3mop(e),-0.14697925731752376,0.0
EX_4abz(e),-0.008548324633528781,0.0
EX_4hbz(e),0.0,0.0
EX_ac(e),15.170659694620767,0.0
EX_acald(e),-1.0,-0.004815393607330392
EX_acgam(e),-1.0,-0.0361094696109756
EX_ade(e),1.016804652714182,0.0
EX_adocbl(e),-0.0028494415445095935,0.0
EX_ala_D(e),-1.4578261027818993e-34,0.0
EX_ala_L(e),0.7030233624598696,0.0
EX_alaasp(e),2.455933273497589e-23,-2.0384739069298744e-35
EX_alagln(e),2.455933273497589e-23,0.0
EX_alaglu(e),0.0,-1.5773772932566038e-05
EX_alagly(e),2.1974990397680934e-23,0.0
EX_alahis(e),2.249916657048505e-23,0.0
EX_alaleu(e),0.0,-0.027451563636666856
EX_alathr(e),0.0,-1.1594822320081146e-06
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,-0.03609708032005864
EX_arg_L(e),-0.15,-2.555730358599052e-05
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-0.0024509248359963964
EX_asp_L(e),-0.225,-0.0072789231043493795
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),-1.992294386965242e-06,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-176955.1862097283
EX_cellb(e),-0.07449289,-0.07701841278013587
EX_cgly(e),0.0,0.0
EX_chor(e),5.277149501007616e-24,0.0
EX_chtbs(e),0.0,-0.06260672485227822
EX_cl(e),0.0,0.0
EX_co2(e),0.4041400222052032,0.0
EX_cobalt2(e),-0.0028509563268343963,0.0
EX_csn(e),1.550720477325175,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.009177315576187894,0.0
EX_cytd(e),0.0,-0.043357025175279965
EX_dad_2(e),-1.0,-0.03373726106190285
EX_dcyt(e),-1.0,-0.004776430242924617
EX_dgsn(e),-1.0,-0.0288972892734548
EX_drib(e),-0.17878295,-0.009619863646380858
EX_etoh(e),5.941491525545257,0.0
EX_fe2(e),-2.14456591800283e-07,0.0
EX_fe3(e),0.0,0.0
EX_for(e),9.729702572002523,0.0
EX_fru(e),-0.14898579,-0.03855493320003703
EX_gal(e),-0.14898579,-0.02643921648207603
EX_galt(e),0.0,0.0
EX_gam(e),-1.0,-0.036096509451914414
EX_gbbtn(e),0.0,0.0
EX_gcald(e),0.008548324633528781,0.0
EX_glc_D(e),-0.14898579,-0.04092066287350494
EX_glcn(e),-0.14898579,-0.02888671817718496
EX_gln_L(e),-0.18,-0.004809145711041739
EX_glu_L(e),-0.18,-0.00963270710793547
EX_gly(e),-0.45,-0.004797129726060318
EX_glyasn(e),2.455933273497589e-23,-1.1912242431894173e-33
EX_glyasp(e),0.0,-0.002462346522100817
EX_glyb(e),0.0,0.0
EX_glyc(e),-1.79965486,-0.014456119299320036
EX_glycys(e),0.0,0.0
EX_glygln(e),2.455933273497589e-23,0.0
EX_glyglu(e),0.0,-0.004816130525686907
EX_glyleu(e),0.0,-0.041884040060515125
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),2.455933273497589e-23,0.0
EX_glytyr(e),2.2392340596250866e-23,0.0
EX_gua(e),0.6660178283623852,0.0
EX_h(e),23.39207649487512,0.0
EX_h2o(e),-10.0,-0.004821279739235591
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.05057047789895841,0.0
EX_hxan(e),0.0,0.0
EX_k(e),-2.9270421243443947e-06,0.0
EX_lac_D(e),0.0,0.0
EX_lac_L(e),0.0,-0.009656658246121906
EX_lcts(e),-0.07449289,-0.06253399259273537
EX_leu_L(e),-0.15,-0.03706849697166976
EX_lys_L(e),-0.14250532499363092,0.0
EX_mal_L(e),0.0,-0.009658691219113454
EX_malt(e),-0.07449289,-0.07701151167308101
EX_malthx(e),0.0,0.0
EX_malttr(e),0.0,0.0
EX_man(e),-0.14898579,-0.04092290850516532
EX_met_D(e),0.0,0.0
EX_met_L(e),0.7133169525588668,0.0
EX_metala(e),2.284448901524339e-23,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-0.7765996935739008,0.0
