,fluxes,reduced_costs
biomass_dilution,0.30626654919927565,-0.4302037047118228
protein_biomass_to_biomass,0.1172635473895429,-1.325454208693126e-34
mRNA_biomass_to_biomass,0.000548171120909133,-7.535045253290183e-35
tRNA_biomass_to_biomass,0.003267338180635921,0.0
rRNA_biomass_to_biomass,0.0246923204240874,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.01724975209869073,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.07718106778502268,0.0
prosthetic_group_biomass_to_biomass,0.00010360679376901444,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_atp_c_,0.0,-0.010043190419711235
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-0.042687171886026706
EX_12dgr180(e),0.0,0.0
EX_26dap_M(e),0.0,0.0
EX_2dmmq8(e),-0.0007041944169419285,0.0
EX_2obut(e),-1.0,-0.010032992292056883
EX_4abz(e),1.335560174926013e-23,0.0
EX_ac(e),10.816063160178379,0.0
EX_acald(e),-1.0,-0.00940049006061236
EX_acgam(e),-1.0,-0.021270453352313583
EX_ade(e),0.9366727275495524,0.0
EX_adocbl(e),-0.0009505169502177806,0.0
EX_ala_D(e),-1.0,-0.009395704679196797
EX_ala_L(e),-1.0,-0.009396456649125424
EX_alaasp(e),0.0,-0.026953234369446022
EX_alagln(e),0.0,-0.026944141614699057
EX_alaglu(e),0.0,-0.026948170770247314
EX_alagly(e),0.0,-0.009385031721863689
EX_alahis(e),0.0,-0.004374733641451366
EX_alaleu(e),0.0,-0.01442625996327621
EX_alathr(e),0.0,-0.01878601074423424
EX_arab_L(e),-0.17878295,-0.012291547912359754
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.1302479421454769,0.0
EX_asn_L(e),-0.225,-0.022573775515594894
EX_asp_L(e),-0.225,-0.022578500727994655
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.021585465299436724
EX_cgly(e),-0.0009483543695955571,0.0
EX_chol(e),0.0,0.0
EX_cit(e),-1.6481905388587956e-08,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.0,-0.0006274896272959611
EX_cobalt2(e),-0.000958344048297249,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.007219139786338128,0.0
EX_cytd(e),0.0,-0.04052944732674904
EX_dad_2(e),-0.9691633964990327,0.0
EX_dcyt(e),-0.018600418341403253,0.0
EX_drib(e),-0.17878295,-0.008742464778699631
EX_etoh(e),0.0,-0.008769755184217553
EX_fe2(e),0.0,0.0
EX_fe3(e),-8.240952694293978e-09,0.0
EX_fol(e),-0.002845063108786671,0.0
EX_for(e),14.119966173068224,0.0
EX_fru(e),-0.14898579,-0.008728420917106263
EX_galt(e),0.0,0.0
EX_gam(e),-1.0,-0.018764846582553923
EX_gcald(e),0.0,0.0
EX_glc_D(e),-0.14898579,-0.018768077749252595
EX_gln_L(e),-0.18,-0.02256940797324769
EX_glu_L(e),-0.18,-0.022573437128795948
EX_gly(e),-0.45,-0.0050111722531702724
EX_glyasn(e),0.0,-0.02256235058833316
EX_glyasp(e),0.0,-0.02256707580073292
EX_glyb(e),0.0,0.0
EX_glyc(e),-1.79965486,-0.008752168979859509
EX_glyc3p(e),-1.0,-0.011262333415058496
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,-0.02255798304598596
EX_glyglu(e),0.0,-0.022562012201534212
EX_glyleu(e),0.0,-0.017572821417198244
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,-0.018780472983931325
EX_glytyr(e),0.0,-0.0006124184091643356
EX_gua(e),-0.03932518284163833,0.0
EX_h(e),19.435358688236203,0.0
EX_h2o(e),-9.030749137224209,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.03825074100458219,0.0
EX_hxan(e),0.0,0.0
EX_ile_L(e),-0.13318891685899117,0.0
EX_ins(e),0.0,-0.032382642809367417
EX_isocapr(e),0.0,0.0
EX_isoval(e),0.0,0.0
EX_k(e),-4.185810213996131e-07,0.0
EX_lac_D(e),0.0,-0.009402398408024924
EX_lac_L(e),0.0,-0.009401905510942905
EX_leu_L(e),-0.15,-0.010051526321824844
EX_lys_L(e),-0.06247890044038247,0.0
EX_malt(e),-0.07449289,-0.05762104916402075
EX_malthx(e),0.0,-0.06766279790325198
EX_malttr(e),0.0,0.0
EX_man(e),-0.14898579,-0.01876771910622785
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.034014320703496574,0.0
EX_metala(e),0.0,-0.004374733641451366
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,0.0
EX_mg2(e),-0.002805477094980346,0.0
EX_mn2(e),-7.776385749269311e-07,0.0
EX_mnl(e),-0.14898579,-0.018136026405815034
EX_mqn8(e),-0.0011925143222491854,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-0.0009680608985564019,0.0
EX_nh4(e),10.104158914914597,0.0
EX_no2(e),-1.0,-0.02824828223903761
EX_no3(e),-1.0,-0.01883649479397461
EX_o2(e),0.0,-0.028873633470527196
EX_ocdcea(e),0.0,0.0
EX_orn(e),-1.0,-0.018793944345413767
EX_pb(e),0.0,0.0
EX_phe_L(e),0.9076932046160862,0.0
EX_pheme(e),-0.0009483543695955571,0.0
EX_pi(e),-4.404040434886893e-34,0.0
EX_ppa(e),6.428014032185878,0.0
EX_ppi(e),0.3799365590548216,3.064332256331989e-35
EX_pro_L(e),-0.18,-0.018791897911193057
EX_pydam(e),0.0,0.0
EX_pydx(e),-0.000950804948946483,0.0
EX_pydxn(e),0.0,0.0
EX_q8(e),0.0,0.0
EX_raffin(e),-0.00470194,-0.0864351680356567
EX_rib_D(e),-0.17878295,-0.012289227820360158
EX_ribflv(e),-0.0019129843931237622,0.0
EX_salcn(e),0.0,0.0
EX_sbt_D(e),0.0,-0.018137044676485782
EX_ser_D(e),0.0,-0.010033546664716435
EX_ser_L(e),-1.0,-0.01003015348114519
EX_sheme(e),-0.0009483543695955571,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),-0.0009483543695955571,0.0
EX_succ(e),0.0,-0.013169026674509716
EX_sucr(e),-0.07449289,-0.04757923813745638
EX_thm(e),-0.0009501452114240602,0.0
EX_thr_L(e),-0.225,-0.014411277102782871
EX_thymd(e),0.9411623789335694,0.0
EX_tre(e),0.0,0.0
EX_trp_L(e),-0.04093935350162114,0.0
EX_tyr_L(e),-1.0,-0.0006238433364260706
EX_ura(e),0.0,0.0
EX_uri(e),-1.0,-0.017930045247993534
EX_val_L(e),-0.15262395290217792,0.0
EX_xyl_D(e),-0.17878295,-0.02233505936057864
EX_zn2(e),-9.236651007839374e-07,0.0
translation_g.27741.CDS.5,0.0,-7.102105167168567e-33
transcription_TU_g.27741.CDS.5,0.0,-5.2756214438137174e-33
translation_g.27741.CDS.9,0.0,-4.112923183624402e-33
transcription_TU_g.27741.CDS.9,0.0,3.4044203296129203e-32
translation_g.27741.CDS.15,0.0,-5.404674431194417e-33
transcription_TU_g.27741.CDS.15,0.0,-32.16292427136233
translation_g.27741.CDS.18,1.046830177103426e-06,-1.410108615804116e-32
transcription_TU_g.27741.CDS.18,1.4628198549257183e-08,-5.977259424176491e-33
translation_g.27741.CDS.26,0.0,1.8317154655396845e-32
transcription_TU_g.27741.CDS.26,0.0,-88.63518770340367
translation_g.27741.CDS.30,4.665556033159991e-06,-1.0530718695390143e-32
transcription_TU_g.27741.CDS.30,6.519556035783458e-08,1.0687442835732697e-33
translation_767029.3.peg.37,0.0,6.1085973810103836e-33
transcription_TU_767029.3.peg.37,0.0,-9.759488351653031e-33
translation_g.27741.CDS.41,2.6712201888424402e-08,-1.0347810849556712e-32
transcription_TU_g.27741.CDS.41,3.732710438219521e-10,-1.777336029057465e-32
translation_767029.3.peg.50,0.0,-3.4210363648434286e-33
transcription_TU_767029.3.peg.50,0.0,-2.819697923672956e-32
translation_g.27741.CDS.51,-9.563186858990887e-29,3.552260731610717e-33
transcription_TU_g.27741.CDS.51,0.0,-64.02871328471656
translation_g.27741.CDS.54,0.0,-2.9680284776183215e-33
transcription_TU_g.27741.CDS.54,0.0,-35.58402090455031
translation_g.27741.CDS.58,0.0,-2.2819205147270708e-32
transcription_TU_g.27741.CDS.58,0.0,-74.51343796458288
translation_g.27741.CDS.73,0.0,1.848811364130773e-33
transcription_TU_g.27741.CDS.73,0.0,-6.869468663169402e-33
translation_g.27741.CDS.76,1.1497986779208018e-06,-9.094194949256689e-33
transcription_TU_g.27741.CDS.76,1.6067060083077018e-08,-1.0107630785702658e-32
translation_g.27741.CDS.82,0.0,-2.1920710350977365e-33
transcription_TU_g.27741.CDS.82,0.0,6.053651728263797e-32
translation_g.27741.CDS.83,0.0,1.0355122124425653e-33
transcription_TU_g.27741.CDS.83,0.0,-125.5741888326046
translation_g.27741.CDS.85,0.0,-2.646350803817542e-33
