,fluxes,reduced_costs
biomass_dilution,0.42172709868543523,-0.9893676743231337
protein_biomass_to_biomass,0.1472056931118212,0.0
mRNA_biomass_to_biomass,0.0007756489851792215,0.0
tRNA_biomass_to_biomass,0.0044991677853596914,1.78937243082462e-34
rRNA_biomass_to_biomass,0.03355159439616412,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.021329319269983656,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.13145190451704328,0.0
prosthetic_group_biomass_to_biomass,0.00011056824448465126,-1.1286983637672247e-34
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_4HBA,2.316283893760899e-57,0.0
DM_5MTR,0.0,0.0
DM_atp_c_,0.0,-0.02496037323549752
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.46724571041832297,0.0
EX_26dap_M(e),-0.03790827915672351,0.0
EX_2dmmq8(e),-0.00334838664543275,0.0
EX_2obut(e),-1.0,-0.011047838199206149
EX_34dhphe(e),0.0,-0.012473182349093594
EX_3mop(e),-1.0,-0.015229952306100036
EX_5htrp(e),0.0,-0.012473182349093594
EX_ac(e),20.227838175470406,0.0
EX_acald(e),-1.0,-0.009695390186376593
EX_acgam(e),-1.0,-0.07338074573610578
EX_ade(e),0.9396086866602021,0.0
EX_adocbl(e),-0.00334838664543275,0.0
EX_ala_L(e),-1.0,-0.004164837602755425
EX_alaasp(e),0.0,-0.04023364270107796
EX_alagln(e),0.0,-0.02403456715553415
EX_alaglu(e),0.0,-0.029089059094727237
EX_alagly(e),0.0,-0.00829974010011968
EX_alahis(e),0.0,-0.011104094476950498
EX_alaleu(e),0.0,-0.041652060312802705
EX_alathr(e),0.0,-0.009674462767803373
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_asn_L(e),-0.225,-0.03605895530710973
EX_asp_L(e),-0.225,-0.04160273057322106
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.049031128098002884
EX_cgly(e),-0.4803882382392562,0.0
EX_chtbs(e),0.0,-0.1412250042967957
EX_cl(e),0.0,0.0
EX_co2(e),1.9720806087620968,0.0
EX_cobalt2(e),-0.003350771363153059,0.0
EX_csn(e),5.795095429650706e-36,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.0,0.0
EX_cytd(e),0.0,-0.040185030814778526
EX_dad_2(e),-1.0,-0.0637449561323071
EX_dcyt(e),0.8964894526455246,0.0
EX_dgsn(e),-1.0,-0.05126277389862165
EX_dopa(e),0.0,0.0
EX_etoh(e),3.8769048739774905,0.0
EX_fe2(e),-4.3142577633134856e-07,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-0.010045159936298249,0.0
EX_for(e),11.446660062191201,0.0
EX_fru(e),-0.14898579,-0.06927762546819673
EX_gal(e),-0.14898579,-0.04700655714510163
EX_galt(e),0.0,0.0
EX_gam(e),-1.0,-0.06644397472497722
EX_gcald(e),0.0,0.0
EX_glc_D(e),-0.14898579,-0.07198425206803155
EX_gln_L(e),-0.18,-0.02540365502767725
EX_glu_L(e),-0.18,-0.030458146966870332
EX_gly(e),-0.45,-0.009668827972262775
EX_glyasn(e),0.0,-0.04019385780447398
EX_glyasp(e),0.0,-0.045737633070585315
EX_glyb(e),0.0,0.0
EX_glyc(e),-1.79965486,-0.024927677645310124
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,-0.029538557525041503
EX_glyglu(e),0.0,-0.03459304946423459
EX_glyleu(e),0.0,-0.059634241684122125
EX_glymet(e),0.0,-0.004131297992247286
EX_glyphe(e),0.0,-0.004134902497364255
EX_glypro(e),0.0,-0.016613817558383804
EX_glytyr(e),0.0,-0.01660808484645785
EX_gua(e),0.9592417100151943,0.0
EX_h(e),27.278685102459107,0.0
EX_h2o(e),-10.0,-0.00553739860215066
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.15,-0.012473182349093594
EX_hista(e),0.1142624023127727,0.0
EX_ile_L(e),1.4706815574936751,0.0
EX_ins(e),0.0,-0.006367019784449625
EX_k(e),-1.900425111778727e-06,0.0
EX_lac_L(e),0.0,-0.009707925009595397
EX_lcts(e),-0.07449289,-0.13571666589016565
EX_leu_L(e),-0.15,-0.04302078808428257
EX_lys_L(e),-0.10256426208038842,0.0
EX_malt(e),-0.07449289,-0.1384193079159918
EX_malthx(e),0.0,-0.4790301088451171
EX_malttr(e),0.0,-0.20484143476906594
EX_man(e),-0.14898579,-0.0719828968679833
EX_mantr(e),0.0,-0.17987392108636355
EX_met_D(e),0.0,0.0
EX_met_L(e),0.9304356408621961,0.0
EX_metala(e),5.50162868682747e-23,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-1.0,-0.002750678740813772
EX_mg2(e),-0.004026408531573466,0.0
EX_mn2(e),-2.9581589034826937e-05,0.0
EX_mnl(e),0.0,0.0
EX_mqn8(e),-0.00334838664543275,0.0
EX_na1(e),0.0,0.0
EX_nac(e),0.4857991894512783,0.0
EX_nh4(e),2.768741728795212,0.0
EX_nmn(e),-0.4891477381875523,0.0
EX_no2(e),1.0,0.0
EX_no3(e),-1.0,-0.015234004399980289
EX_o2(e),0.0,-0.030473948523118286
EX_orn(e),-0.10150963446947721,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.08983571485918788,0.0
EX_pheme(e),-0.00334838664543275,0.0
EX_pi(e),0.0,0.0
EX_pnto_R(e),-0.00334838664543275,0.0
EX_ppa(e),-5.973765715661411e-57,0.0
EX_pro_L(e),-0.05255583589404593,0.0
EX_ptrc(e),3.0833451776392944e-34,0.0
EX_pullulan1200(e),-1.175e-05,-79.7271500631157
EX_pydam(e),0.0,0.0
EX_pydx(e),-0.003348714958211747,0.0
EX_pydxn(e),0.0,0.0
EX_q8(e),0.0,0.0
EX_ribflv(e),-0.006702717925691437,0.0
EX_salcn(e),0.0,0.0
EX_sbt_D(e),0.0,0.0
EX_ser_L(e),-1.0,-0.01940006992410813
EX_sheme(e),-0.00334838664543275,0.0
EX_so4(e),0.0,0.0
EX_spmd(e),-0.00334838664543275,0.0
EX_srtn(e),0.0,0.0
EX_strch1(e),-0.25733909,-0.7364373846038028
EX_strch2(e),0.0,-0.2048643591293142
