,maximum,minimum
EX_2hyoxplac(e),2.3566541809556773e-08,0.0
EX_4hphac(e),0.9717027434778098,0.9716929417180528
EX_Lcyst(e),0.0,0.0
EX_ac(e),10.511536013830154,10.511536013830154
EX_acald(e),0.0,0.0
EX_akg(e),0.0,0.0
EX_ala_D(e),-1.0,-1.0
EX_ala_L(e),-1.0,-1.0
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_arg_L(e),-0.05225443819509099,-0.05225443819509099
EX_asn_L(e),-0.225,-0.225
EX_asp_L(e),-0.225,-0.225
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),2.600141259069578e-26,2.600141259069578e-26
EX_cd2(e),0.0,0.0
EX_cgly(e),-1.0,-1.0
EX_chol(e),1.4732341970130336e-52,1.4732341970130336e-52
EX_cl(e),0.0,0.0
EX_co2(e),5.479860405482474,5.479848329013964
EX_cobalt2(e),-0.0011597539296753752,-0.0011598796500028887
EX_csn(e),6.552521941854453e-39,-2.0745243723537034e-05
EX_cu2(e),-9.357196103026893e-53,-3.570514340324306e-29
EX_cys_L(e),-0.9999971831736892,-1.0
EX_ddca(e),2.0607494254663266e-07,-1.1560924646734221e-06
EX_etha(e),0.0,0.0
EX_ethso3(e),0.0,0.0
EX_etoh(e),2.2630908602947644e-06,0.0
EX_fe2(e),3.2759991665749364e-37,-6.757432948164092e-07
EX_fe3(e),0.0,-5.74616788410288e-24
EX_for(e),0.017250419359341247,0.014511813061565381
EX_fru(e),-0.14898521139809054,-0.14898579
EX_fum(e),-0.999998490400571,-1.0
EX_gcald(e),4.726754864106762e-08,0.0
EX_glc_D(e),0.0,-2.127296631698665e-22
EX_glcn(e),-5.838238328370534e-25,-5.0996700760795465e-23
EX_gln_L(e),0.0234418984059604,-0.023652370770568126
EX_glu_L(e),-0.1352623962362303,-0.18
EX_gly(e),0.9707116996246463,0.970695616935442
EX_glyasn(e),2.4918835327550656e-23,0.0
EX_glyasp(e),2.5143874119312213e-23,0.0
EX_glyc(e),-1.7996536048391327,-1.79965486
EX_glycys(e),2.0958504376723663e-24,0.0
EX_glygln(e),0.0,0.0
EX_glyglu(e),0.0,0.0
EX_glyleu(e),2.897961716947345e-23,0.0
EX_glymet(e),2.4139443000080846e-23,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),2.464912157670343e-23,0.0
EX_h(e),-0.9999934985194433,-1.0
EX_h2(e),0.0,-4.427393890959825e-06
EX_h2o(e),-4.829756010983818,-4.874507819168965
EX_h2s(e),1.995874023866608,1.9958662226602328
EX_hdca(e),2.2622933229442e-06,-1.15601729669299e-06
EX_hexs(e),0.0,-1.1449229063998753e-23
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.02439257579274875,-0.027131114111642787
EX_hxan(e),-0.037804747271740206,-0.03784752978797862
EX_ile_L(e),-0.07576299986900127,-0.07579033190996051
EX_isetac(e),-4.129168158677163e-58,0.0
EX_k(e),-4.793432063236197e-09,-6.18764924580998e-09
EX_lac_D(e),3.4736117050516136e-06,0.0
EX_lac_L(e),3.4733547746934253e-06,0.0
EX_leu_L(e),-0.14999365304169385,-0.15
EX_lys_L(e),-0.046122062204613276,-0.046129809171605106
EX_mal_L(e),1.5094068608763132e-06,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),-2.4351836093804404e-36,-1.4865160049547279e-05
EX_metala(e),2.2197073605136924e-23,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-0.030750422674210756,-0.03076625046239707
EX_mg2(e),-0.00126064565749751,-0.0012620211241480665
EX_mn2(e),-1.934076584815707e-06,-3.2230551066523247e-06
EX_mops(e),0.0,0.0
EX_mso3(e),0.0,0.0
EX_na1(e),4.839531719981094e-27,-9.43498133369443e-10
EX_nac(e),-0.0011593869487173717,-0.0011598324002350159
EX_nh4(e),8.232742473662627,8.187981768111186
EX_no2(e),-0.8945409971017294,-0.8945773958320625
EX_no3(e),-0.9999984581088841,-1.0
EX_o2(e),2.3569599957623537e-08,0.0
EX_ocdca(e),1.156013628549094e-06,-4.1422776165920466e-07
EX_oxa(e),3.857606275831943e-06,-4.982987474308577e-40
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.02863966021643924,-0.028650639381337818
EX_pi(e),-0.10307510320467943,-0.10309312183600246
EX_ppa(e),-3.6271614342394645e-40,0.0
EX_ppi(e),6.498647426864401e-06,0.0
EX_pro_L(e),-0.03652733017468011,-0.03654653671328647
EX_ser_D(e),1.136329285843539e-23,0.0
EX_ser_L(e),-0.999997183474024,-1.0
EX_so4(e),-2.25551374908731e-54,-8.324828759270111e-07
EX_succ(e),4.438542797964864e-06,0.0
EX_sulfac(e),0.0,0.0
EX_taur(e),0.0,0.0
EX_thr_L(e),-0.051026794073613775,-0.051059189919604564
EX_trp_L(e),-0.014106674505313326,-0.014111356272103118
EX_tsul(e),0.0,0.0
EX_ttdca(e),1.1560887962909525e-06,-2.262293322944121e-06
EX_tyr_L(e),-0.9999985930107862,-1.0
EX_ura(e),-0.0354240731389164,-0.03545779293471542
EX_urea(e),0.0,0.0
EX_val_L(e),-0.08081241925126971,-0.08085502980680115
EX_xan(e),3.1562037721047036e-23,-2.6105113429449324e-05
EX_zn2(e),-2.91585157673808e-07,-3.2061190523202094e-07
