,maximum,minimum
EX_12dhchol(e),2.5328150503420626e-57,0.0
EX_3dhcdchol(e),3.1622554066945446e-24,0.0
EX_3dhchol(e),3.1622554066945446e-24,0.0
EX_7dhcdchol(e),3.1764136412056837e-24,0.0
EX_7ocholate(e),4.2266989593966966e-24,0.0
EX_C02528(e),0.0,0.0
EX_ac(e),6.655838979806682,6.64694188106943
EX_acald(e),1.0419712267910855e-05,0.0
EX_acgam(e),-0.9999986097267569,-1.0
EX_ala_L(e),-0.08834198167149873,-0.08843410363547101
EX_alaasp(e),3.025218323054309e-23,0.0
EX_alagln(e),2.992490646703887e-23,0.0
EX_alaglu(e),3.057595405281472e-23,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),2.987000164228819e-23,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),7.973618348944012e-24,0.0
EX_arg_L(e),-0.05901153062637579,-0.05908377443898716
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.22499304231448344,-0.225
EX_asp_L(e),-0.2249930441885134,-0.225
EX_biomass(e),0.0,0.0
EX_ca2(e),0.0,-3.7486192235361583e-10
EX_cd2(e),8.788576857992696e-31,0.0
EX_cellb(e),-0.0744921452204531,-0.07449289
EX_cgly(e),6.67268985742289e-57,-0.005912364692148343
EX_chol(e),0.0,0.0
EX_cholate(e),-2.960515711046498e-54,0.0
EX_chols(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.5233638918677507,0.5232534257009714
EX_cobalt2(e),-0.0014501431951648958,-0.001450463009264631
EX_crn(e),0.0,0.0
EX_cro4(e),-9.482329315720447e-52,-9.482329315720447e-52
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.01281121999826537,-0.018734754629555903
EX_dextrin(e),1.2275873716871309e-23,0.0
EX_etoh(e),2.7644925188312337,2.761513926540533
EX_fe2(e),-5.9542522361899015e-08,-1.6581328710972005e-07
EX_fe3(e),0.0,0.0
EX_fecrm(e),0.0,0.0
EX_for(e),7.460871604762383,7.460648729111505
EX_fru(e),-0.148984052160553,-0.14898579
EX_gal(e),0.0,-5.348615658020207e-23
EX_galt(e),0.0,0.0
EX_glc_D(e),-0.14898430049121394,-0.14898579
EX_gln_L(e),-0.17999768302235625,-0.18
EX_glu_L(e),-0.17999768324066118,-0.18
EX_gly(e),-0.4499895643711337,-0.45
EX_glyasn(e),2.83401812391429e-23,0.0
EX_glyasp(e),2.84064688423704e-23,0.0
EX_glyb(e),0.0,0.0
EX_glyc3p(e),-0.9999958272216751,-1.0
EX_glycys(e),0.0,0.0
EX_glygln(e),2.826538426005036e-23,0.0
EX_glyglu(e),2.84064688423704e-23,0.0
EX_glyleu(e),3.635473084777424e-23,0.0
EX_glymet(e),2.742876869044485e-23,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),2.817996771009857e-23,0.0
EX_h(e),10.220518035324366,10.21748476797253
EX_h2o(e),-8.588861014617102,-8.597811618135893
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.024827875144679358,-0.02484331172348544
EX_hxan(e),-0.04478103172470392,-0.04483589351681507
EX_icdchol(e),0.0,0.0
EX_ile_L(e),-0.0963544469613377,-0.09637177332500838
EX_isochol(e),0.0,0.0
EX_k(e),-8.66404293926285e-07,-9.028890484302281e-07
EX_lac_D(e),1.0426572985499327e-05,0.0
EX_lac_L(e),1.0425845894233449e-05,0.0
EX_leu_L(e),-0.11834495567851162,-0.11843511674860543
EX_lys_L(e),-0.07932580311046679,-0.07936481857181722
EX_malt(e),-0.07449202095257257,-0.07449289
EX_malthx(e),2.6513885981010884e-23,0.0
EX_malttr(e),2.6513885981010884e-23,0.0
EX_man(e),-0.1489843004892911,-0.14898579
EX_met_D(e),0.0,0.0
EX_met_L(e),5.2586284090589316e-36,-1.0420693852966782e-05
EX_metala(e),0.0,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-0.04456731967774833,-0.044617256549305706
EX_mg2(e),-0.0017469590662597468,-0.0017487444846506447
EX_mn2(e),-3.321660957899377e-06,-4.791101338459786e-06
EX_na1(e),2.649879690997672e-27,-1.4994196787009461e-09
EX_nac(e),0.9985497739528537,0.9985484973012312
EX_nh4(e),4.3139240045773235,4.307969626170166
EX_nmn(e),-0.9999987233483775,-1.0
EX_o2(e),2.5916705016613822e-23,0.0
EX_orn(e),-7.201382561886426e-35,-7.201382561886426e-35
EX_pb(e),0.0,0.0
EX_phe_L(e),0.8853661112901783,0.885268706290039
EX_pi(e),1.868391429249878,1.8683686589463975
