,maximum,minimum
EX_15dap(e),0.058951659578286644,1.717133158602136e-35
EX_26dap_M(e),1.358037107880321e-52,-4.2397219172349744e-05
EX_2dmmq8(e),-0.0003914426612179702,-0.0003914426612179702
EX_2obut(e),-0.9999787520122312,-1.0
EX_3mop(e),-0.9999575307331784,-1.0
EX_Lcyst(e),0.0,0.0
EX_ac(e),7.151568060943674,6.9937495605992055
EX_acald(e),8.488732052885367e-06,-1.048054906373374e-39
EX_acgam(e),-0.006312893205587098,-0.006323508735490168
EX_ade(e),-0.012149089203194565,-0.012187639626037462
EX_adocbl(e),-0.0003914426612179702,-0.0003914426612179702
EX_akg(e),5.308343000577611e-06,0.0
EX_ala_L(e),-0.052949013240851085,-0.05301006352617071
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.03953387420749842,-0.039577601288986915
EX_arsenb(e),7.214168550406926e-51,7.214168550406926e-51
EX_asp_L(e),-0.22498583815036985,-0.225
EX_biomass(e),0.0,0.0
EX_btn(e),1.03310463893956e-40,1.03310463893956e-40
EX_but(e),0.5741555227741733,0.4858327627594622
EX_butso3(e),0.0,0.0
EX_ca2(e),1.1069323727251539e-28,-7.683201241110259e-07
EX_cbl1(e),3.6280288587474515e-26,-4.58056468624275e-08
EX_cbl2(e),0.0,0.0
EX_cd2(e),2.2414606657180842e-30,0.0
EX_cgly(e),-0.9999574711537205,-1.0
EX_cit(e),-0.9999946911297383,-1.0
EX_cl(e),-2.638686939914066e-29,-2.638686939914066e-29
EX_co2(e),2.7709130762642618,2.4669828116754418
EX_cobalt2(e),-0.00039144541879383054,-0.0003914936197685186
EX_cro4(e),0.0,0.0
EX_csn(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.009206386757476604,-0.009270175968103225
EX_cytd(e),6.064339405305477e-06,0.0
EX_dad_2(e),2.599647673410355e-06,-4.54979126015866e-23
EX_dcyt(e),0.04083372974812712,-0.006880890896758634
EX_dgsn(e),2.769145371807428e-06,-4.54979126015866e-23
EX_ethso3(e),0.0,0.0
EX_fe2(e),-1.9958063150355077e-09,-6.546874308041938e-07
EX_fe3(e),0.0,0.0
EX_for(e),7.189755650252875,6.885217372759158
EX_fru(e),-0.14898154201983285,-0.14898579
EX_fum(e),-0.9999858350609859,-1.0
EX_galt(e),0.0,0.0
EX_gam(e),1.8020891317242457e-39,-1.061552990307054e-05
EX_gcald(e),0.0011743279836539107,0.0011743279836539107
EX_glc_D(e),-0.14898154203947372,-0.14898579
EX_gln_L(e),-0.1799939323278904,-0.18
EX_glu_L(e),-0.17999393261697158,-0.18
EX_glutar(e),2.4210713490838228e-24,0.0
EX_glyb(e),0.0,0.0
EX_glyc(e),-1.7996442357979763,-1.79965486
EX_gua(e),-0.01431947627941149,-0.01436576008909481
EX_h(e),5.863671174450115,5.559742522187356
EX_h2(e),2.230662503303318,1.8818243704951076
