,maximum,minimum
EX_12ppd_S(e),0.14898579,0.14898573851079366
EX_26dap_M(e),1.5828532278225003e-57,-3.591288324790864e-07
EX_2dmmq8(e),-0.0006206146846042073,-0.0006206359496066713
EX_2obut(e),-0.1380043339083025,-0.1380076407274291
EX_4abz(e),-0.002535915471124248,-0.002535926574335048
EX_ac(e),4.134018249040035,4.134014216967513
EX_acald(e),1.9890143543571017,1.989014224806427
EX_ade(e),1.9662754849837487,1.9662667793286799
EX_adn(e),-0.9999999816106421,-1.0
EX_adocbl(e),-0.0008453088581116826,-0.0008453092637667794
EX_ala_L(e),-0.9999999038458183,-1.0
EX_arab_L(e),-0.17878291888785938,-0.17878295
EX_arabttr(e),2.3282262653662714e-23,0.0
EX_arg_L(e),-0.14999996400629514,-0.15
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.2249999241157677,-0.225
EX_asp_L(e),-0.2249999241478326,-0.225
EX_biomass(e),0.0,0.0
EX_ca2(e),0.0,-1.1915974669405918e-07
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),5.108993471001799e-29,0.0
EX_cellb(e),-0.07449287970835154,-0.07449289
EX_cgly(e),-0.021022167248509863,-0.021022939696762496
EX_cl(e),0.0,-4.2182988699632135e-29
EX_co2(e),0.9456552854463012,0.9454370067947089
EX_cobalt2(e),-0.0008463392310358607,-0.00084654606350024
EX_cro4(e),1.0025980650212204e-51,1.0025980650212204e-51
EX_csn(e),0.0,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cytd(e),3.9957262774322166e-08,0.0
EX_dad_2(e),-0.9999999693488144,-1.0
EX_dcyt(e),-0.010985262726524721,-0.010986152590664069
EX_dgsn(e),-0.9999999664940988,-1.0
EX_din(e),7.627642805669587e-23,0.0
EX_duri(e),0.0,0.0
EX_fe2(e),-1.2822979230456668e-26,-2.5121817376657793e-07
EX_fe3(e),-5.299033620727831e-41,-2.1095171206781956e-07
EX_for(e),4.32177211511623,4.321554735786466
EX_galt(e),0.0,0.0
EX_galur(e),0.0,0.0
EX_gbbtn(e),0.0,0.0
EX_gcald(e),0.002535926574335048,0.002535926574335048
EX_glc_D(e),-0.14898576675678482,-0.14898579
EX_glcur(e),3.967820023435822e-23,0.0
EX_gln_L(e),-0.17999992413691757,-0.18
EX_glyb(e),0.0,0.0
EX_glyc(e),-1.7996548119482916,-1.79965486
EX_gsn(e),1.9377406401599545e-08,0.0
EX_gthrd(e),-0.0008453088581116826,-0.0008453088581116826
EX_gua(e),0.9717003303195391,0.9716916462764873
EX_h(e),10.474392444884804,10.473998006791073
EX_h2(e),0.00021613428980135608,-2.053825965884863e-07
EX_h2o(e),-1.0106774757989585,-1.0112750885576103
EX_hg2(e),0.0,0.0
EX_indole(e),-0.016717149395216388,-0.01671926333331539
EX_ins(e),1.9378284554678987e-08,0.0
EX_k(e),-1.37245641198045e-07,-2.5750319416857593e-07
EX_lac_D(e),9.604129566021388e-08,0.0
EX_lac_L(e),0.0,0.0
EX_lcts(e),-0.07449287970772614,-0.07449289
EX_lys_L(e),-0.10993623897247844,-0.1099375948620155
EX_malt(e),-0.07449288076512173,-0.07449289
EX_man(e),-0.1489857667566841,-0.14898579
EX_met_L(e),-0.03642791259737679,-0.036428915646465804
EX_mg2(e),-0.002293307058366622,-0.0022933978527305485
EX_mn2(e),-1.7548803029763684e-07,-4.377293937567447e-07
EX_mqn8(e),-0.001069981766616694,-0.001070003031619158
EX_na1(e),4.8591391944957857e-36,-1.178926960340951e-09
EX_nac(e),-0.0006407355121499082,-0.000847244249612206
EX_ncam(e),1.498347609608841e-08,-0.00020649375400367837
EX_nh4(e),2.3006093435002506,2.300402106565967
EX_o2(e),4.38766144798176e-24,0.0
EX_ocdca(e),-0.02325426506429042,-0.023254278914560254
EX_ocdcea(e),1.5751518178488628e-52,1.5751518178488628e-52
EX_orn(e),0.0868496829718347,0.0868467636725125
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.06562279809524837,-0.06562322535671193
EX_pheme(e),-0.0008453088581116826,-0.0008453088581116826
EX_pi(e),-0.20454387922483871,-0.20532622552729196
EX_ppa(e),4.723315970947128,4.723306081390556
EX_ppi(e),0.0003911477803981956,0.0
EX_pro_L(e),-0.033023789738270276,-0.03302537758986958
EX_ptrc(e),-1.3451169001970017e-41,-8.993292002723352e-08
EX_pydam(e),0.0,-2.9788421955856344e-23
EX_pydx(e),-0.0008443946672868303,-0.0008458191839646028
EX_pydxn(e),2.931380061535141e-23,-1.423887545150398e-06
EX_q8(e),-9.26419076530283e-24,-1.3535383064174113e-43
EX_raffin(e),-0.004701933390782955,-0.00470194
EX_ribflv(e),-0.001691566872248041,-0.0016915710169358258
EX_rmn(e),-0.14898573851079366,-0.14898579
EX_ser_L(e),-0.9999999099210773,-1.0
EX_sheme(e),-0.0008453088581116826,-0.0008453088581116826
EX_so4(e),-4.057641672788686e-56,-4.057641672788686e-56
EX_spmd(e),-0.0008453088581116826,-0.0008453088581116826
EX_succ(e),3.613966779282961e-07,0.0
EX_sucr(e),-0.07449288052207377,-0.07449289
EX_thm(e),-0.000845916534020129,-0.0008459168641303644
EX_thr_L(e),-0.22499993590655734,-0.225
EX_thymd(e),-0.014436847465951292,-0.014437258368943684
EX_ttdca(e),-0.04096644202501354,-0.040966443142131485
EX_ura(e),0.0,-2.8240737116950656e-08
EX_urea(e),3.598276688636609e-08,0.0
EX_uri(e),-0.03867137244820758,-0.03867188722459426
EX_val_L(e),-0.1799999519727957,-0.18
EX_xan(e),0.0,-1.7970594901904427e-07
EX_xyl_D(e),-0.17878292688598138,-0.17878295
EX_zn2(e),-4.906956861392777e-07,-4.935466014911637e-07
12PPDt_REV_CPLX_dummy,0.14929553063100554,0.14898573851079366
12PPDt_FWD_CPLX_dummy,0.0003097406310055171,0.0
1P4H2CBXLAH_REV_g.23927.CDS.1066-MONOMER,0.00026999712066652095,0.0
1P4H2CBXLAH_FWD_g.23927.CDS.1066-MONOMER,0.0002699971206665192,0.0
23DHMPO_REV_g.23927.CDS.4357-MONOMER,0.0010065560877401407,0.0
23DHMPO_FWD_g.23927.CDS.4357-MONOMER,0.000265355716018231,0.0
23PDE2_REV_g.23927.CDS.2000-MONOMER,0.0,0.0
23PDE2_FWD_g.23927.CDS.2000-MONOMER,3.5844153656782215e-23,0.0
23PDE2_REV_g.23927.CDS.1063-MONOMER,0.0,0.0
23PDE2_FWD_g.23927.CDS.1063-MONOMER,0.0,0.0
23PDE4_REV_g.23927.CDS.2000-MONOMER,0.0,0.0
23PDE4_FWD_g.23927.CDS.2000-MONOMER,3.5844153656782215e-23,0.0
23PDE4_REV_g.23927.CDS.1063-MONOMER,0.0,0.0
23PDE4_FWD_g.23927.CDS.1063-MONOMER,0.0,0.0
23PDE7_REV_g.23927.CDS.2000-MONOMER,0.0,0.0
23PDE7_FWD_g.23927.CDS.2000-MONOMER,3.5844153656782215e-23,0.0
23PDE7_REV_g.23927.CDS.1063-MONOMER,0.0,0.0
23PDE7_FWD_g.23927.CDS.1063-MONOMER,0.0,0.0
23PDE9_REV_g.23927.CDS.2000-MONOMER,0.0,0.0
23PDE9_FWD_g.23927.CDS.2000-MONOMER,3.5844153656782215e-23,0.0
23PDE9_REV_g.23927.CDS.1063-MONOMER,0.0,0.0
23PDE9_FWD_g.23927.CDS.1063-MONOMER,0.0,0.0
26DAPLLAT_REV_g.23927.CDS.2955-MONOMER,0.00026640279507428755,0.0
26DAPLLAT_FWD_g.23927.CDS.2955-MONOMER,0.00026640279507428267,0.0
26DAPt2r_REV_CPLX_dummy,0.000309740631005517,0.0
26DAPt2r_FWD_CPLX_dummy,0.0003097406310055172,0.0
2AHBUTI_REV_g.23927.CDS.4357-MONOMER,0.00026535571601823114,0.0
2AHBUTI_FWD_g.23927.CDS.4357-MONOMER,0.0010065560877401411,0.0
2DDPENTHL_REV_g.23927.CDS.3582-MONOMER_mod_nadp(1),0.0,0.0
2DDPENTHL_FWD_g.23927.CDS.3582-MONOMER_mod_nadp(1),2.8334092031976107e-35,0.0
2DDPENTHL_REV_g.23927.CDS.2088-MONOMER,0.0,0.0
2DDPENTHL_FWD_g.23927.CDS.2088-MONOMER,0.0,0.0
2DHPL_REV_g.23927.CDS.1909-MONOMER,0.00023742441773519756,0.0
2DHPL_FWD_g.23927.CDS.1909-MONOMER,0.0002374244177351961,0.0
2DHPL_REV_g.23927.CDS.3086-MONOMER,0.00026826408875167755,0.0
2DHPL_FWD_g.23927.CDS.3086-MONOMER,0.0002682640887516775,0.0
2DMMQ8abc_REV_CPLX_dummy,0.0,0.0
2DMMQ8abc_FWD_CPLX_dummy,0.0006206359496066713,0.0006206146846042073
2MBCOATA_REV_g.23927.CDS.3319-MONOMER,0.00025056672853910526,0.0
2MBCOATA_FWD_g.23927.CDS.3319-MONOMER,0.023504818228421417,0.023254251499882313
2OBUTt2r_REV_CPLX_dummy,0.0003097406310055175,0.0
2OBUTt2r_FWD_CPLX_dummy,0.1383143896002468,0.1380043339083025
34DHOXPEGOX_REV_g.23927.CDS.1596-MONOMER,0.0002900517067442419,0.0
34DHOXPEGOX_FWD_g.23927.CDS.1596-MONOMER,0.00029005170674424173,0.0
34DHOXPEGOX_REV_g.23927.CDS.1180-MONOMER,0.00028447207582978063,0.0
34DHOXPEGOX_FWD_g.23927.CDS.1180-MONOMER,0.0002844720758297808,0.0
3HACPR1_REV_1077285.3.peg.3928-MONOMER,0.0,0.0
3HACPR1_FWD_1077285.3.peg.3928-MONOMER,-3.9044652992659377e-57,-8.77532289596352e-24
3HACPR2_REV_1077285.3.peg.3928-MONOMER,0.0,0.0
3HACPR2_FWD_1077285.3.peg.3928-MONOMER,2.1153486838662757e-23,-8.896989047295097e-24
3HAD10M12_REV_CPLX_dummy,0.0,0.0
3HAD10M12_FWD_CPLX_dummy,0.023254251499882313,0.023254251499882313
3HAD11M12_REV_CPLX_dummy,0.0,0.0
3HAD11M12_FWD_CPLX_dummy,0.023254251499882313,0.023254251499882313
3HAD12M14_REV_CPLX_dummy,0.0,0.0
3HAD12M14_FWD_CPLX_dummy,0.023254251499882313,0.023254251499882313
3HAD13M14_REV_CPLX_dummy,0.0,0.0
3HAD13M14_FWD_CPLX_dummy,0.023254251499882313,0.023254251499882313
3HAD14M16_REV_CPLX_dummy,0.0,0.0
3HAD14M16_FWD_CPLX_dummy,0.023254251499882313,0.023254251499882313
3HAD15M16_REV_CPLX_dummy,0.0,0.0
3HAD15M16_FWD_CPLX_dummy,0.023254251499882313,0.023254251499882313
3HAD4M6_REV_CPLX_dummy,0.0,0.0
