,maximum,minimum
EX_26dap_M(e),1.062400271475339e-25,-4.967407219971001e-05
EX_34dhphe(e),6.592612045788536e-24,0.0
EX_5htrp(e),6.592612045788536e-24,0.0
EX_ac(e),1.6235257926570568,1.621928912633607
EX_acald(e),3.974022807264581e-05,0.0
EX_acgam(e),6.015755500670723e-37,6.015755500670723e-37
EX_adn(e),-0.008815874359804882,-0.00904299444487542
EX_akg(e),0.00019872431710374965,0.0
EX_ala_D(e),0.8380442560389741,-0.8633210225803277
EX_ala_L(e),0.8313941828831848,-0.8699711003217756
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.1499923572491901,-0.15
EX_asn_L(e),-0.22498580545024746,-0.225
EX_asp_L(e),-0.22498580582946132,-0.225
EX_biomass(e),0.0,0.0
EX_ca2(e),-1.8295537985976651e-41,-1.4039537139442491e-09
EX_cd2(e),2.618296531104559e-31,0.0
EX_cit(e),6.703725743629176e-23,-1.4772283037846059e-06
EX_cl(e),-1.0775308728040562e-29,-1.0775308728040562e-29
EX_co2(e),1.3286868737762083,1.3275702923459516
EX_cobalt2(e),-0.00014263618392113022,-0.00014286053306914655
EX_cu2(e),3.808226710573825e-23,0.0
EX_cytd(e),1.1039391272412992e-05,0.0
EX_dad_2(e),8.368910836303428e-05,-0.00019862822805857385
EX_dcyt(e),-0.00423710872820654,-0.004475483205536983
EX_dgsn(e),3.015479479356338e-56,-8.368910836303429e-05
EX_din(e),0.0,0.0
EX_dopa(e),-6.698110282767911e-58,0.0
EX_duri(e),0.0,0.0
EX_fe2(e),-2.0157673551971792e-45,-6.274818212608747e-07
EX_fe3(e),0.0,-7.386141518923029e-07
EX_fol(e),-0.0004279030679810532,-0.0004279030679810532
EX_fru(e),-0.14888634488149902,-0.14898579
EX_fum(e),-0.9999751574771065,-1.0
EX_gal(e),-0.14895265864407567,-0.14898579
EX_galt(e),0.0,0.0
EX_gam(e),-0.002284293621045753,-0.002304167852580682
EX_glc_D(e),-0.14896591550198704,-0.14898579
EX_gln_L(e),-0.01635386215855483,-0.019100009442430062
EX_glu_L(e),-0.013679820571822305,-0.0169116297513911
EX_gly(e),-0.00899978378822612,-0.00945973113230624
EX_glyc(e),0.07199046097050184,0.0705895624099171
EX_gsn(e),0.0,0.0
EX_gthox(e),-7.131717799684221e-05,-7.131717799684221e-05
EX_h(e),1.0851526706207812,1.0822885590523528
EX_h2o(e),-2.984577795208085,-2.9886495513058327
EX_h2s(e),-0.002651539001223429,-0.0027173777318015694
EX_hdca(e),0.0,-4.274559525179329e-07
EX_hg2(e),3.808226710573825e-23,-1.099271440861756e-23
EX_hista(e),7.831761802428325e-06,0.0
EX_hxan(e),-0.9951264488867774,-0.995308537773557
EX_ile_L(e),-0.01764449499666091,-0.017863601261728354
EX_ins(e),0.995308537773557,0.9951264488867774
EX_k(e),-7.144775267540898e-09,-5.576889374685524e-07
EX_lac_D(e),4.9668448249663725e-05,0.0
EX_lac_L(e),4.966983963887601e-05,0.0
EX_leu_L(e),-0.030376505364099173,-0.030838170528146937
EX_lys_L(e),-0.010382289108100242,-0.010489049012029532
EX_mal_L(e),2.4841897802412195e-05,0.0
EX_malt(e),0.0,0.0
EX_man(e),0.0,-1.4574767801736995e-22
EX_met_D(e),0.0,0.0
EX_met_L(e),0.0,-0.00019885917294871735
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-0.00752307407253656,-0.007735334324974486
EX_mg2(e),-0.0002757038883254541,-0.00027655154045488217
EX_mn2(e),-2.1060413085795303e-08,-2.9514016787100457e-07
EX_mnl(e),0.0,0.0
EX_mqn7(e),-0.00028526871198736884,-0.00028526871198736884
EX_n2(e),0.0,0.0
EX_n2o(e),0.0,0.0
EX_na1(e),3.969081268499607e-27,-6.66424242732042e-12
EX_nac(e),0.9998573519499175,0.9998407907109284
EX_nh4(e),1.9020182776651704,1.8984161922827636
EX_nmn(e),-0.9999834387652132,-1.0
EX_o2(e),6.475372990969974e-24,0.0
EX_ocdca(e),-0.003923838198277414,-0.003924266271122805
EX_orn(e),0.13782259869180838,0.13774472168426893
EX_pb(e),3.808226710573825e-23,0.0
EX_phe_L(e),-0.01444970922049438,-0.014612358212885703
EX_pheme(e),-0.00014263435599368442,-0.00014263435599368442
EX_pi(e),0.9683962675180676,0.9683422778366714
EX_ppa(e),4.1253637263522925e-32,4.1253637263522925e-32
EX_ppi(e),2.4840253851466763e-05,0.0
EX_pppn(e),0.0,0.0
EX_pro_L(e),-0.013412806478608126,-0.013614149426768864
EX_ptrc(e),4.919458253406425e-38,-2.4840030150596927e-05
EX_pydam(e),0.0,-3.3225910357587114e-23
EX_pydx(e),0.0,-0.0001429382666588418
EX_pydxn(e),4.0100848386072784e-23,-0.00014272192406181245
EX_salcn(e),0.0,0.0
EX_sbt_D(e),0.0,0.0
EX_ser_D(e),0.0,0.0
EX_ser_L(e),-0.02546343070239121,-0.02594263287140775
EX_so4(e),0.0,0.0
EX_spmd(e),-0.0001293885463695605,-0.00014263435599368442
EX_srtn(e),-6.698110282767911e-58,0.0
EX_succ(e),0.8621318112230862,0.8618997685052207
EX_sucr(e),0.0,0.0
EX_thm(e),-0.00014265271231554824,-0.0001427180410451105
EX_thymd(e),3.972973311898355e-05,-6.626592180908692e-05
EX_tre(e),0.0,0.0
EX_trp_L(e),-0.08171880137928512,-0.08181818
EX_trypta(e),0.07806989505093927,0.07790342363412062
EX_tsul(e),0.0,0.0
EX_ttdca(e),-0.006912507866727567,-0.006912935322680085
EX_tym(e),4.621282069671401e-06,0.0
EX_uri(e),-0.004767593239266583,-0.004984331662002145
EX_val_L(e),-0.017665457953370527,-0.017975155814944806
EX_zn2(e),-1.2094863229108033e-07,-3.1143990143371803e-07
1P4H2CBXLAH_REV_g.2656.peg.2674-MONOMER,0.9105733741800027,0.0
1P4H2CBXLAH_FWD_g.2656.peg.2674-MONOMER,0.9105733741800027,0.0
23DHMPO_REV_g.2656.peg.273-MONOMER,0.9119956809702087,0.0
23DHMPO_FWD_g.2656.peg.273-MONOMER,0.9119956809702087,0.0
2AHBUTI_REV_g.2656.peg.273-MONOMER,0.9119956809702087,0.0
2AHBUTI_FWD_g.2656.peg.273-MONOMER,0.9119956809702087,0.0
2DHPL_REV_g.2656.peg.3-MONOMER,0.9308023216956719,0.0
2DHPL_FWD_g.2656.peg.3-MONOMER,0.9308023216956719,0.0
2HBO_REV_g.2656.peg.135-MONOMER_mod_fmn(1),0.9874937592556401,0.0
2HBO_FWD_g.2656.peg.135-MONOMER_mod_fmn(1),0.9874937592556401,0.0
2HBO_REV_g.2656.peg.2807-MONOMER,0.9750959551188345,0.0
2HBO_FWD_g.2656.peg.2807-MONOMER,0.9750959551188345,0.0
2MBCOATA_REV_g.2656.peg.446-MONOMER,1.6832409140619513,0.0
2MBCOATA_FWD_g.2656.peg.446-MONOMER,1.6871647522602284,0.003923838198277414
34DHOXPEGOX_REV_g.2656.peg.2737-MONOMER,0.7658302806463315,0.0
34DHOXPEGOX_FWD_g.2656.peg.2737-MONOMER,0.7658302806463315,0.0
34DHPHEt2_REV_CPLX_dummy,0.0,0.0
34DHPHEt2_FWD_CPLX_dummy,0.0,-6.592612045788536e-24
3CARLPDH_REV_g.2656.peg.79-MONOMER,0.6592291047942612,0.0
3CARLPDH_FWD_g.2656.peg.79-MONOMER,0.6592291047942612,0.0
3HAD10M12_REV_CPLX_dummy,0.0,0.0
3HAD10M12_FWD_CPLX_dummy,0.003923838198277414,0.003923838198277414
3HAD11M12_REV_CPLX_dummy,0.0,0.0
3HAD11M12_FWD_CPLX_dummy,0.003923838198277414,0.003923838198277414
3HAD12M14_REV_CPLX_dummy,0.0,0.0
3HAD12M14_FWD_CPLX_dummy,0.003923838198277414,0.003923838198277414
3HAD13M14_REV_CPLX_dummy,0.0,0.0
3HAD13M14_FWD_CPLX_dummy,0.003923838198277414,0.003923838198277414
3HAD14M16_REV_CPLX_dummy,0.0,0.0
3HAD14M16_FWD_CPLX_dummy,0.003923838198277414,0.003923838198277414
3HAD15M16_REV_CPLX_dummy,0.0,0.0
3HAD15M16_FWD_CPLX_dummy,0.003923838198277414,0.003923838198277414
3HAD4M6_REV_CPLX_dummy,0.0,0.0
3HAD4M6_FWD_CPLX_dummy,0.003923838198277414,0.003923838198277414
3HAD5M6_REV_CPLX_dummy,0.0,0.0
3HAD5M6_FWD_CPLX_dummy,0.003923838198277414,0.003923838198277414
3HAD6M8_REV_CPLX_dummy,0.0,0.0
3HAD6M8_FWD_CPLX_dummy,0.003923838198277414,0.003923838198277414
3HAD7M8_REV_CPLX_dummy,0.0,0.0
3HAD7M8_FWD_CPLX_dummy,0.003923838198277414,0.003923838198277414
3HAD8M10_REV_CPLX_dummy,0.0,0.0
3HAD8M10_FWD_CPLX_dummy,0.003923838198277414,0.003923838198277414
3HAD9M10_REV_CPLX_dummy,0.0,0.0
3HAD9M10_FWD_CPLX_dummy,0.003923838198277414,0.003923838198277414
3HLYTCL_REV_g.2656.peg.2937-MONOMER_mod_mg2(1),0.0,0.0
3HLYTCL_FWD_g.2656.peg.2937-MONOMER_mod_mg2(1),-7.257841077205003e-58,-6.592612045788536e-24
3MOBS_REV_629741.3.peg.2609-MONOMER,0.9916250613912483,0.0
3MOBS_FWD_629741.3.peg.2609-MONOMER,0.9916250613912484,0.0
3OAR100_REV_g.2656.peg.1987-MONOMER,3.995961021055673e-17,1.3700348670926932e-19
3OAR100_FWD_g.2656.peg.1987-MONOMER,1.3700351367851652e-19,-1.9908247650397815e-19
3OAR10M11_REV_g.2656.peg.1987-MONOMER,0.793128758742787,0.0
3OAR10M11_FWD_g.2656.peg.1987-MONOMER,0.793128758742787,0.0
3OAR10M12_REV_g.2656.peg.1987-MONOMER,0.793128758742787,0.0
3OAR10M12_FWD_g.2656.peg.1987-MONOMER,0.7970525969410645,0.003923838198277414
3OAR11M12_REV_g.2656.peg.1987-MONOMER,0.793128758742787,0.0
3OAR11M12_FWD_g.2656.peg.1987-MONOMER,0.7970525969410645,0.003923838198277414
3OAR120_REV_g.2656.peg.1987-MONOMER,3.995961021055673e-17,-3.75763511165903e-45
3OAR120_FWD_g.2656.peg.1987-MONOMER,-3.75763511165903e-45,-3.75763511165903e-45
3OAR12M13_REV_g.2656.peg.1987-MONOMER,0.793128758742787,0.0
3OAR12M13_FWD_g.2656.peg.1987-MONOMER,0.793128758742787,0.0
3OAR12M14_REV_g.2656.peg.1987-MONOMER,0.793128758742787,0.0
3OAR12M14_FWD_g.2656.peg.1987-MONOMER,0.7970525969410645,0.003923838198277414
3OAR13M14_REV_g.2656.peg.1987-MONOMER,0.793128758742787,0.0
3OAR13M14_FWD_g.2656.peg.1987-MONOMER,0.7970525969410645,0.003923838198277414
3OAR140_REV_g.2656.peg.1987-MONOMER,1.0033609798874905,0.0
3OAR140_FWD_g.2656.peg.1987-MONOMER,1.0079695140122271,0.004608336612315976
3OAR14M15_REV_g.2656.peg.1987-MONOMER,0.793128758742787,0.0
3OAR14M15_FWD_g.2656.peg.1987-MONOMER,0.793128758742787,0.0
3OAR14M16_REV_g.2656.peg.1987-MONOMER,0.793128758742787,0.0
3OAR14M16_FWD_g.2656.peg.1987-MONOMER,0.7970525969410645,0.003923838198277414
3OAR15M16_REV_g.2656.peg.1987-MONOMER,0.793128758742787,0.0
3OAR15M16_FWD_g.2656.peg.1987-MONOMER,0.7970525969410645,0.003923838198277414
3OAR160_REV_g.2656.peg.1987-MONOMER,0.9799831574957665,0.0
3OAR160_FWD_g.2656.peg.1987-MONOMER,0.979983054572541,0.0
3OAR180_REV_g.2656.peg.1987-MONOMER,0.9799828616621219,-1.238852798833239e-34
3OAR180_FWD_g.2656.peg.1987-MONOMER,0.979983054572541,0.0
3OAR40_REV_g.2656.peg.1987-MONOMER,0.9838050196625222,0.0
3OAR40_FWD_g.2656.peg.1987-MONOMER,0.9838052133253362,0.0
3OAR4M5_REV_g.2656.peg.1987-MONOMER,0.793128758742787,0.0
3OAR4M5_FWD_g.2656.peg.1987-MONOMER,0.793128758742787,0.0
3OAR4M6_REV_g.2656.peg.1987-MONOMER,0.793128758742787,0.0
3OAR4M6_FWD_g.2656.peg.1987-MONOMER,0.7970525969410645,0.003923838198277414
3OAR5M6_REV_g.2656.peg.1987-MONOMER,0.793128758742787,0.0
3OAR5M6_FWD_g.2656.peg.1987-MONOMER,0.7970525969410645,0.003923838198277414
3OAR60_REV_g.2656.peg.1987-MONOMER,3.995961021055673e-17,3.594916159863771e-19
3OAR60_FWD_g.2656.peg.1987-MONOMER,3.594916867525926e-19,3.594916867525926e-19
3OAR6M7_REV_g.2656.peg.1987-MONOMER,0.793128758742787,0.0
3OAR6M7_FWD_g.2656.peg.1987-MONOMER,0.793128758742787,0.0
3OAR6M8_REV_g.2656.peg.1987-MONOMER,0.793128758742787,0.0
3OAR6M8_FWD_g.2656.peg.1987-MONOMER,0.003923838198277414,0.003923838198277414
3OAR7M8_REV_g.2656.peg.1987-MONOMER,0.793128758742787,0.0
3OAR7M8_FWD_g.2656.peg.1987-MONOMER,0.7970525969410645,0.003923838198277414
3OAR80_REV_g.2656.peg.1987-MONOMER,3.995961021055673e-17,-1.7535699291220542e-45
3OAR80_FWD_g.2656.peg.1987-MONOMER,-1.7535630521075474e-45,-1.7535630521075474e-45
3OAR8M10_REV_g.2656.peg.1987-MONOMER,0.793128758742787,0.0
3OAR8M10_FWD_g.2656.peg.1987-MONOMER,0.7970525969410645,0.003923838198277414
3OAR8M9_REV_g.2656.peg.1987-MONOMER,0.793128758742787,0.0
3OAR8M9_FWD_g.2656.peg.1987-MONOMER,0.793128758742787,0.0
3OAR9M10_REV_g.2656.peg.1987-MONOMER,0.793128758742787,0.0
3OAR9M10_FWD_g.2656.peg.1987-MONOMER,0.7970525969410645,0.003923838198277414
3OAS100_REV_g.2656.peg.3014-MONOMER,0.0,0.0
3OAS100_FWD_g.2656.peg.3014-MONOMER,3.930129175032413e-23,0.0
3OAS100_REV_CPLX_3OAS100-1,0.0,0.0
3OAS100_FWD_CPLX_3OAS100-1,0.0,0.0
3OAS100_REV_CPLX_3OAS100-0,0.0,0.0
3OAS100_FWD_CPLX_3OAS100-0,3.9930210449297167e-57,0.0
3OAS10M11_REV_CPLX_3OAS100-1,0.0,0.0
3OAS10M11_FWD_CPLX_3OAS100-1,3.930129175032413e-23,0.0
3OAS10M11_REV_CPLX_3OAS100-0,0.0,0.0
3OAS10M11_FWD_CPLX_3OAS100-0,0.0,0.0
3OAS10M12_REV_CPLX_3OAS100-1,0.0,0.0
3OAS10M12_FWD_CPLX_3OAS100-1,0.003923838198277414,0.0
3OAS10M12_REV_CPLX_3OAS100-0,0.0,0.0
3OAS10M12_FWD_CPLX_3OAS100-0,0.003923838198277414,0.0
3OAS11M12_REV_CPLX_3OAS100-1,0.0,0.0
3OAS11M12_FWD_CPLX_3OAS100-1,0.003923838198277414,0.0
3OAS11M12_REV_CPLX_3OAS100-0,0.0,0.0
3OAS11M12_FWD_CPLX_3OAS100-0,0.003923838198277414,0.0
3OAS120_REV_g.2656.peg.3014-MONOMER,0.0,0.0
