,fluxes,reduced_costs
1P4H2CBXLAH,0.0,0.03481542404927532
23DHMPO,0.0,-0.017407712024637534
2AHBUTI,0.0,0.0
2DHPL,0.0,0.0
2HBO,0.0,-0.017407712024637534
2MBCOATA,0.00013345726869960504,-5.551115123125783e-17
2MEBCOADH,0.00013345726869960515,0.0
34DHOXPEGOX,0.0,0.017407712024637534
34DHPHEt2,0.0,0.0
3HAD10M12,0.00013345726869960504,0.0
3HAD11M12,0.00013345726869960515,0.0
3HAD12M14,0.00013345726869960504,0.0
3HAD13M14,0.00013345726869960515,-1.5265566588595902e-16
3HAD14M16,0.00013345726869960515,0.0
3HAD15M16,0.00013345726869960515,0.0
3HAD4M6,0.00013345726869960504,0.0
3HAD5M6,0.00013345726869960515,0.0
3HAD6M8,0.00013345726869960504,0.0
3HAD7M8,0.00013345726869960515,0.0
3HAD8M10,0.00013345726869960504,0.0
3HAD9M10,0.00013345726869960515,0.0
3HBCOAHL,0.0,0.5918622088376839
3HLYTCL,0.0,0.01740771202463777
3HPCOAHYD,0.0,0.5918622088376839
3MEBCOADH,-0.00013345726869960515,-0.0
3MOBS,0.0,0.052223136073913046
3MOPt2r,0.18186418892140738,0.0
3OAR100,0.0,-6.938893903907228e-18
3OAR10M11,0.0,-6.938893903907228e-18
3OAR10M12,0.00013345726869960504,-6.938893903907228e-18
3OAR11M12,0.00013345726869960515,-6.938893903907228e-18
3OAR120,0.0,-6.938893903907228e-18
3OAR12M13,0.0,-6.938893903907228e-18
3OAR12M14,0.00013345726869960504,-6.938893903907228e-18
3OAR13M14,0.00013345726869960515,0.0
3OAR140,0.0001567383427613554,5.551115123125783e-17
3OAR14M15,0.0,-6.938893903907228e-18
3OAR14M16,0.00013345726869960515,-5.551115123125783e-17
3OAR15M16,0.00013345726869960515,-4.3021142204224816e-16
3OAR160,0.0,-6.938893903907228e-18
3OAR180,0.0,-6.938893903907228e-18
3OAR40,0.0,-6.938893903907228e-18
3OAR4M5,0.0,-6.938893903907228e-18
3OAR4M6,0.00013345726869960504,1.1102230246251565e-16
3OAR5M6,0.00013345726869960515,0.0
3OAR60,0.0,-6.938893903907228e-18
3OAR6M7,0.0,-6.938893903907228e-18
3OAR6M8,0.00013345726869960504,-2.7755575615628914e-16
3OAR7M8,0.00013345726869960515,0.0
3OAR80,0.0,-6.938893903907228e-18
3OAR8M10,0.00013345726869960504,0.0
3OAR8M9,0.0,-6.938893903907228e-18
3OAR9M10,0.00013345726869960515,0.0
3OAS10M12,0.00013345726869960504,0.0
3OAS11M12,0.00013345726869960515,1.3877787807814457e-17
3OAS12M14,0.00013345726869960515,6.938893903907228e-18
3OAS13M14,0.00013345726869960515,1.3877787807814457e-17
3OAS140,0.0001567383427613554,0.0
3OAS3M4,0.00013345726869960515,5.551115123125783e-17
3OAS4M3O6,0.00013345726869960504,0.0
3OAS4M6,0.00013345726869960504,0.0
3OAS5M6,0.00013345726869960515,0.0
3OAS6M8,0.00013345726869960504,0.0
3OAS7M8,0.00013345726869960515,0.0
3OAS8M10,0.00013345726869960504,0.0
3OAS9M10,0.00013345726869960515,0.0
4ABZt2,1.4553804676758334e-05,0.0
4C2HM6SADH,0.0,-0.03481542404927529
4HBZt2,4.851268225586112e-06,0.0
4HTHRS,0.0,0.01740771202463777
4NTPPH2,0.0,0.0
5AIZCDC,0.0,0.01740771202463777
5C2O3EDDC,0.0,0.01740771202463777
5CM2HMUDI,0.0,0.0
5HLTDL,0.0,0.01740771202463777
5HTRPt2,0.0,0.0
5HXKYNDCL,0.0,0.01740771202463777
5MTHCYST,0.0,0.3829696645420308
AACGLYDH,0.0,-0.01740771202463752
AACOAT,0.0,-2.0816681711721685e-17
AACPS7,0.0,3.469446951953614e-17
