,fluxes,reduced_costs
12DGR180ti,0.0,0.0
1P4H2CBXLAH,0.0,0.01760151069541937
23DHMPO,0.0,0.0
26DAPLLAT,0.0,3.469446951953614e-18
26DAPt2r,0.00546440659690364,0.0
2AHBUTI,0.0,0.0
2DHPL,0.0,0.0
2DMMQ8abc,5.450307786836608e-05,3.469446951953614e-18
2HBO,0.0,-0.0
2HYOXPLACt2r,0.0,-0.0
2MBCOATA,0.0014993670870786038,5.551115123125783e-17
2MEBCOADH,0.0014993670870786008,0.0
2MECOAOX,0.0,-0.1408120855633549
2OBUTt2r,0.0,-0.0
34HPPOR,0.0,-0.05280453208625813
3HAD100,0.0,0.0
3HAD10M12,0.0014993670870786038,0.0
3HAD11M12,0.0014993670870786008,0.0
3HAD120,0.0,0.0
3HAD121,0.0,0.0
3HAD12M14,0.0014993670870786038,0.0
3HAD13M14,0.0014993670870786008,0.0
3HAD140,0.0,0.0
3HAD141,0.0,0.0
3HAD14M16,0.0014993670870786038,5.412337245047638e-16
3HAD15M16,0.0014993670870786008,0.0
3HAD160,0.0,0.0
3HAD161,0.0,0.0
3HAD180,0.0,0.0
3HAD181,0.0,0.0
3HAD40,0.0,0.0
3HAD4M6,0.0014993670870786038,0.0
3HAD5M6,0.0014993670870786008,0.0
3HAD60,0.0,0.0
3HAD6M8,0.0014993670870786038,0.0
3HAD7M8,0.0014993670870786008,0.0
3HAD80,0.0,0.0
3HAD8M10,0.0014993670870786038,0.0
3HAD9M10,0.0014993670870786008,0.0
3HBCOAE,0.0,0.0
3HBCOAHL,0.0,0.598451363644259
3HPCOAHYD,0.0,0.598451363644259
3MEBCOADH,-0.0014993670870786008,-0.0
3MOBS,0.0,0.140812085563355
3MOPt2r,0.007254779460309608,0.0
3OAR100,0.0,-0.0
3OAR10M11,0.0,-0.0
3OAR10M12,0.0014993670870786038,0.0
3OAR11M12,0.0014993670870786008,0.0
3OAR120,0.0,-0.0
3OAR12M13,0.0,-0.0
3OAR12M14,0.0014993670870786038,0.0
3OAR13M14,0.0014993670870786008,0.0
3OAR140,0.0017609255360125356,1.1102230246251565e-16
3OAR14M15,0.0,-0.0
3OAR14M16,0.0014993670870786038,-5.412337245047638e-16
3OAR15M16,0.0014993670870786008,0.0
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,-0.0
3OAR4M5,0.0,-0.0
3OAR4M6,0.0014993670870786038,0.0
3OAR5M6,0.0014993670870786008,0.0
3OAR60,0.0,-0.0
3OAR6M7,0.0,-0.0
3OAR6M8,0.0014993670870786038,0.0
3OAR7M8,0.0014993670870786008,0.0
3OAR80,0.0,-0.0
3OAR8M10,0.0014993670870786038,0.0
3OAR8M9,0.0,-0.0
3OAR9M10,0.0014993670870786008,0.0
3OAS100,0.0,0.0
3OAS10M12,0.0014993670870786038,-1.1102230246251565e-16
3OAS11M12,0.0014993670870786008,-1.1102230246251565e-16
3OAS120,0.0,0.0
3OAS121,0.0,0.0
3OAS12M14,0.0014993670870786038,-2.7755575615628914e-17
3OAS13M14,0.0014993670870786008,-2.7755575615628914e-17
3OAS140,0.0017609255360125356,-2.220446049250313e-16
3OAS141,0.0,0.0
3OAS160,0.0,0.0
3OAS161,0.0,0.0
3OAS180,0.0,0.0
3OAS181,0.0,0.0
3OAS3M4,0.0014993670870786008,-1.1102230246251565e-16
3OAS4M3O6,0.0014993670870786038,0.0
3OAS4M6,0.0014993670870786038,0.0
3OAS5M6,0.0014993670870786008,0.0
3OAS60,0.0,0.0
3OAS6M8,0.0014993670870786038,1.1102230246251565e-16
3OAS7M8,0.0014993670870786008,1.1102230246251565e-16
3OAS80,0.0,0.0
3OAS8M10,0.0014993670870786038,0.0
3OAS9M10,0.0014993670870786008,0.0
4ABZt2,0.0,0.0
4HBZt2,0.0,-0.0
4HTHRS,0.0,0.01760151069541937
5AIZCDC,0.0,0.01760151069541937
5C2O3EDDC,0.0,0.01760151069541937
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.01760151069541937
5MTHCYST,0.0,0.0
6PHBG,0.0,0.08800755347709685
6PHBG2,0.0,0.08800755347709685
AACGLYDH,0.0,-0.03520302139083873
AACOAT,0.0,-6.938893903907228e-18
AACPS6,0.0014993670870786038,5.898059818321144e-17
AACPS7,0.0,1.1102230246251565e-16
AB6PGH,0.0,0.08800755347709685
AB6PGH2,0.0,0.08800755347709685
ABTOXy,0.0,-0.03520302139083878
ABUTD,0.0,0.0
ABUTR,0.0,-2.7755575615628914e-17
ABUTt2r,0.0,0.03520302139083873
ACACT1r,0.0,-0.8448725133801303
ACACT2r,0.0,-0.03520302139083875
ACACT3r,0.0,-0.0704060427816775
ACACT4r,0.0,-0.0704060427816775
ACACT5r,0.0,-0.0704060427816775
ACACT6r,0.0,-0.0704060427816775
ACACT7r,0.0,-0.7568649599030335
ACALDt,0.0,-0.0
ACBIPGT,5.450307786836608e-05,-6.938893903907228e-18
ACCOACL,0.0,0.3168271925175489
ACCOALYS2,0.0,0.0
ACGAMT,0.0,-2.3586024331861952
ACGApts,0.0,-0.05280453208625813
ACGK,0.0,-0.035203021390838744
ACGS,0.0,-0.10560906417251625
ACHBPL,0.0,0.10560906417251623
ACKr,0.0,-0.035203021390838744
ACLDC,0.0,-0.01760151069541941
ACLS_a,0.0,-0.15841359625877433
ACLS_b,0.0,-0.10560906417251628
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,1.1102230246251565e-16
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,0.0007496835435393019,0.0
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,0.0007496835435393019,0.0
ACOAD1,0.0,-0.0
ACOAD20,0.0,0.0
ACOADH2,0.0,0.0
ACOATA,0.0,-0.0
ACOCT,0.0,0.03520302139083874
ACODAr,0.0,0.01760151069541937
ACONT,0.0,0.0
ACONTa,0.0,0.0
ACONTb,0.0,0.0
ACOTA,0.0,-0.03520302139083876
ACPS1,5.450307786836608e-05,1.0408340855860843e-16
ACTD,0.0,-0.03520302139083875
ACTNDH,0.0,0.03520302139083875
