,fluxes,reduced_costs
12DGR180ti,0.0,-0.6666964366234337
12PPDSDH,0.0,0.0
1P4H2CBXLAH,0.0,0.03921743744843731
23DHMPO,0.0,0.0
26DAPLLAT,0.0,-0.0
26DAPt2r,0.006382757557917386,0.0
2AHBUTI,0.0,0.0
2DHPL,0.0,-0.0
2DMMQ8abc,0.00031137468810935753,0.0
2MBCOATA,0.0016303786835563903,0.0
2MECOAOX,0.0,-0.0
2OBUTt2r,-0.00015568734405467876,-0.0
34DHOXPEGOX,0.0,0.0
3ABUTCOAL,0.0,0.0
3BTCOAI,0.0,0.6666964366234336
3HAD100,0.0016303786835563936,0.0
3HAD10M12,0.0016303786835563936,0.0
3HAD11M12,0.0016303786835563936,0.0
3HAD120,0.0016303786835563936,0.0
3HAD121,0.0,0.0
3HAD12M14,0.0016303786835563936,0.0
3HAD13M14,0.0016303786835563936,0.0
3HAD140,0.0016303786835563936,0.0
3HAD141,0.0,0.0
3HAD14M16,0.0016303786835563936,0.0
3HAD15M16,0.0016303786835563936,0.0
3HAD160,0.0016303786835563936,0.0
3HAD161,0.0,0.0
3HAD180,0.0016303786835563936,0.0
3HAD181,0.0,0.0
3HAD40,0.0016303786835563936,0.0
3HAD4M6,0.0016303786835563903,0.0
3HAD5M6,0.0016303786835563936,0.0
3HAD60,0.0016303786835563936,0.0
3HAD6M8,0.0016303786835563903,0.0
3HAD7M8,0.0016303786835563936,0.0
3HAD80,0.0016303786835563936,0.0
3HAD8M10,0.0016303786835563936,0.0
3HAD9M10,0.0016303786835563936,0.0
3HBCD,0.0,0.0
3HBCOAE,0.0,-0.0
3HBCOAHL,0.0,0.0
3MOBS,0.0,-0.03921743744843731
3MOPt2r,0.006933164488146838,0.0
3OAR100,0.0016303786835563936,0.0
3OAR10M11,0.0,-0.0
3OAR10M12,0.0016303786835563936,0.0
3OAR11M12,0.0016303786835563936,0.0
3OAR120,0.0016303786835563936,2.220446049250313e-16
3OAR12M13,0.0,-0.0
3OAR12M14,0.0016303786835563936,0.0
3OAR13M14,0.0016303786835563936,0.0
3OAR140,0.0016303786835563936,0.0
3OAR14M15,0.0,-0.0
3OAR14M16,0.0016303786835563936,0.0
3OAR15M16,0.0016303786835563936,0.0
3OAR160,0.0016303786835563936,0.0
3OAR180,0.0016303786835563936,0.0
3OAR40,0.0016303786835563936,0.0
3OAR4M5,0.0,-0.0
3OAR4M6,0.0016303786835563903,0.0
