,fluxes,reduced_costs
12PPDSDH,0.0,-5.551115123125783e-17
15DAPt,0.0,0.0
2HYDOGCOAD,0.13183102051621837,0.0
2HYDOGCOAT,0.13183102051621837,0.0
2HYDOGDH,0.13183102051621837,0.0
2MBCOATA,0.0,0.4546420464318311
35DACAPDH,0.0,0.0
36DAHXI,0.0,-0.0
3ABUTCOAL,0.0,0.0
3HACPR1,0.0,0.0
3HACPR2,0.0,0.0
3HAD100,0.0,0.0
3HAD10M11,0.0,0.0
3HAD10M12,0.0,0.0
3HAD11M12,0.0,0.0
3HAD120,0.0,0.0
3HAD12M13,0.0,0.0
3HAD12M14,0.0,0.0
3HAD13M14,0.0,0.0
3HAD140,0.0,0.0
3HAD14M15,0.0,0.0
3HAD14M16,0.0,0.0
3HAD15M16,0.0,0.0
3HAD160,0.0,0.0
3HAD180,0.0,0.0
3HAD40,0.0,0.0
3HAD4M5,0.0,0.0
3HAD4M6,0.0,0.0
3HAD5M6,0.0,0.0
3HAD60,0.0,0.0
3HAD6M7,0.0,0.0
3HAD6M8,0.0,0.0
3HAD7M8,0.0,0.0
3HAD80,0.0,0.0
3HAD8M10,0.0,0.0
3HAD8M9,0.0,0.0
3HAD9M10,0.0,0.0
3OAACPR1,0.0,0.0
3OAACPR2,0.0,0.0
3OAR100,0.0,-0.0
3OAR10M11,0.0,-0.0
3OAR10M12,0.0,-0.0
3OAR11M12,0.0,-0.0
3OAR120,0.0,-0.0
3OAR12M13,0.0,-0.0
3OAR12M14,0.0,-0.0
3OAR13M14,0.0,-0.0
3OAR140,0.0,-0.0
3OAR14M15,0.0,-0.0
3OAR14M16,0.0,-0.0
3OAR15M16,0.0,-0.0
3OAR160,0.0,-0.0
3OAR180,0.0,-0.0
3OAR40,0.0,-0.0
3OAR4M5,0.0,-0.0
3OAR4M6,0.0,-0.0
3OAR5M6,0.0,-0.0
3OAR60,0.0,-0.0
3OAR6M7,0.0,-0.0
3OAR6M8,0.0,-0.0
3OAR7M8,0.0,-0.0
3OAR80,0.0,-0.0
3OAR8M10,0.0,-0.0
3OAR8M9,0.0,-0.0
3OAR9M10,0.0,-0.0
3OAS100,0.0,0.07372573725921588
3OAS10M11,0.0,0.07372573725921588
3OAS10M12,0.0,0.07372573725921588
3OAS11M12,0.0,0.07372573725921588
3OAS120,0.0,0.07372573725921588
3OAS12M13,0.0,0.07372573725921588
3OAS12M14,0.0,0.07372573725921588
3OAS13M14,0.0,0.07372573725921588
3OAS140,0.0,0.07372573725921588
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.07372573725921588
3OAS3M4,0.0,0.07372573725921588
3OAS4M3O6,0.0,0.07372573725921588
3OAS4M5,0.0,0.07372573725921588
3OAS4M6,0.0,0.07372573725921588
3OAS5M6,0.0,0.07372573725921588
3OAS60,0.0,0.07372573725921588
3OAS6M7,0.0,0.07372573725921588
3OAS6M8,0.0,0.07372573725921588
3OAS7M8,0.0,0.07372573725921588
3OAS80,0.0,0.07372573725921588
3OAS8M10,0.0,0.07372573725921588
3OAS8M9,0.0,0.07372573725921588
3OAS9M10,0.0,0.07372573725921588
5A3OHEXCLE,0.0,0.0
5AIZCDC,0.0,0.0
A5PISO,0.0,-0.0
AACPS7,0.0,0.0
AADSACYCL,0.0,0.0
ACACT1r,-0.006134898592584037,-0.0
ACACT2r,0.0,-0.0
ACACT3r,0.0,-0.0
ACACT4r,0.0,-0.0
ACACT5r,0.0,-0.0
ACACT6r,0.0,-0.0
ACACT7r,0.0,-0.0
ACACt2,0.0,-0.0
ACBIPGT,0.0,-0.3440534405430072
ACCOAC,0.0,-0.8355583556044464
ACCOACL,0.0,0.0
ACCOAT,0.0,-0.4546420464318311
ACGApts,0.0,-0.036862868629607914
ACKr,0.0,-0.036862868629607914
