,fluxes,reduced_costs
12DGR180ti,2.0413950772648968e-05,0.0
12PPDSDH,0.0,0.0
12PPDt,-0.14898579,-0.0
23DHMPO,0.0,0.0
2AHBUTI,0.0,0.0
2HMCOXT,0.0,0.0
2INSD,0.0,0.0
2MBCOATA,0.00023494410405879547,0.0
2MEBCOADH,-0.00023494410405879547,-2.7755575615628914e-17
3HAD100,0.0,0.0
3HAD10M11,0.0,0.0
3HAD10M12,0.00023494410405879547,0.0
3HAD11M12,0.0005118786005753023,0.0
3HAD120,0.0,0.0
3HAD12M13,0.0,0.0
3HAD12M14,0.00023494410405879547,0.0
3HAD13M14,0.0005118786005753023,0.0
3HAD140,0.00019411620251349754,0.0
3HAD14M15,0.0,0.0
3HAD14M16,0.00023494410405879547,0.0
3HAD15M16,0.0005118786005753023,0.0
3HAD160,0.00019411620251349754,0.0
3HAD180,0.00019411620251349754,0.0
3HAD40,0.0,0.0
3HAD4M5,0.0,0.0
3HAD4M6,0.00023494410405879547,0.0
3HAD5M6,0.0005118786005753023,0.0
3HAD60,0.0,0.0
3HAD6M7,0.0,0.0
3HAD6M8,0.00023494410405879547,0.0
3HAD7M8,0.0005118786005753023,0.0
3HAD80,0.0,0.0
3HAD8M10,0.00023494410405879547,0.0
3HAD8M9,0.0,0.0
3HAD9M10,0.0005118786005753023,0.0
3MEBCOADH,-0.0005118786005753023,-0.0
3MOBDC2,0.0,0.0
3MOBS,0.0,-0.3034592734615833
3MOPDC2,0.0007468227046340978,0.0
3OAR100,0.0,-0.0
3OAR10M11,0.0,0.0
3OAR10M12,0.00023494410405879547,0.0
3OAR11M12,0.0005118786005753023,0.0
3OAR120,0.0,-3.8163916471489756e-17
3OAR12M13,0.0,0.0
3OAR12M14,0.00023494410405879547,0.0
3OAR13M14,0.0005118786005753023,0.0
3OAR140,0.00019411620251349754,0.0
3OAR14M15,0.0,0.0
3OAR14M16,0.00023494410405879547,0.0
3OAR15M16,0.0005118786005753023,2.7755575615628914e-16
3OAR160,0.00019411620251349754,0.0
3OAR180,0.00019411620251349754,0.0
3OAR40,0.0,-0.0
3OAR4M5,0.0,0.0
3OAR4M6,0.00023494410405879547,0.0
3OAR5M6,0.0005118786005753023,0.0
3OAR60,0.0,-0.0
3OAR6M7,0.0,0.0
3OAR6M8,0.00023494410405879547,1.942890293094024e-16
3OAR7M8,0.0005118786005753023,0.0
3OAR80,0.0,-0.0
3OAR8M10,0.00023494410405879547,0.0
3OAR8M9,0.0,0.0
3OAR9M10,0.0005118786005753023,0.0
3OAS100,0.0,-0.03793240918269788
3OAS10M11,0.0,0.0
3OAS10M12,0.00023494410405879547,1.8041124150158794e-16
3OAS11M12,0.0005118786005753023,0.0
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,0.00023494410405879547,6.938893903907228e-17
3OAS13M14,0.0005118786005753023,0.0
3OAS140,0.00019411620251349754,0.0
3OAS160,0.00019411620251349754,-6.938893903907228e-18
3OAS180,0.00019411620251349754,2.914335439641036e-16
3OAS2M3,0.0,0.0
3OAS3M4,0.0005118786005753023,0.0
3OAS4M3O6,0.00023494410405879547,0.0
3OAS4M5,0.0,0.0
3OAS4M6,0.00023494410405879547,0.0
3OAS5M6,0.0005118786005753023,-8.326672684688674e-17
3OAS60,0.0,-0.03793240918269788
3OAS6M7,0.0,0.0
3OAS6M8,0.00023494410405879547,0.0
3OAS7M8,0.0005118786005753023,0.0
3OAS80,0.0,-0.03793240918269788
3OAS8M10,0.00023494410405879547,6.938893903907228e-17
3OAS8M9,0.0,0.0
3OAS9M10,0.0005118786005753023,0.0
4HTHRS,0.0,0.0
4MOPDC2,0.0,0.0
5AIZCDC,0.0,0.0
5DGCLURI,0.0,0.0
5MTHCYST,0.0,1.024175047932843
6PHBG,0.0,0.05689861377404681
6PHBG2,0.0,0.03793240918269791
AACOAT,0.0,-0.7207157744712591
AACPS7,0.00019411620251349868,0.0
AB6PGH,0.0,0.05689861377404681
AB6PGH2,0.0,0.03793240918269791
ABTOXy,0.0,0.0
ACACCTr,0.0,0.6448509561058634
ACACT1r,0.0,-0.6448509561058634
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,-0.758648183653957
ACALD,0.0,0.0
ACALDt,0.0,0.0
ACBIPGT,2.243517038779705e-05,0.0
ACCOACL,0.005063284835345077,0.0
ACEDIPIT,-6.730551116339114e-05,-0.0
