,fluxes,reduced_costs
26DAPt2r,0.0,-0.0
2DHPL,0.0,0.0
2DMMQ8abc,0.0,0.0
2HBO,0.0,0.0
2MBCOATA,0.0,0.0
34DHOXPEGOX,0.0,0.0
34DHPHEt2,0.0,0.0
3HAD10M12,0.0,-0.023163673707689958
3HAD11M12,0.0,-0.023163673707689958
3HAD12M14,0.0,-0.023163673707689958
3HAD13M14,0.0,-0.023163673707689958
3HAD14M16,0.0,-0.023163673707689958
3HAD15M16,0.0,-0.023163673707689958
3HAD4M6,0.0,-0.023163673707689958
3HAD5M6,0.0,-0.023163673707689958
3HAD6M8,0.0,-0.023163673707689958
3HAD7M8,0.0,-0.023163673707689958
3HAD8M10,0.0,-0.023163673707689958
3HAD9M10,0.0,-0.023163673707689958
3HLYTCL,0.0,0.0
3MOPt2r,0.0,-0.0
3OAR10M12,0.0,0.0
3OAR11M12,0.0,0.0
3OAR12M14,0.0,0.0
3OAR13M14,0.0,0.0
3OAR14M16,0.0,0.0
3OAR15M16,0.0,0.0
3OAR4M6,0.0,0.0
3OAR5M6,0.0,0.0
3OAR6M8,0.0,0.0
3OAR7M8,0.0,0.0
3OAR8M10,0.0,0.0
3OAR9M10,0.0,0.0
3OAS10M12,0.0,0.0
3OAS11M12,0.0,0.0
3OAS12M14,0.0,0.0
3OAS13M14,0.0,0.0
3OAS3M4,0.0,0.0
3OAS4M3O6,0.0,0.0
3OAS4M6,0.0,0.0
3OAS5M6,0.0,0.0
3OAS6M8,0.0,0.0
3OAS7M8,0.0,0.0
3OAS8M10,0.0,0.0
3OAS9M10,0.0,0.0
4HBZCL,0.0,0.0
4HTHRS,0.0,3.469446951953614e-18
5AIZCDC,0.0,0.023163673707689958
5APTLPO,0.0,0.0
5HLTDL,0.0,0.0
5HTRPt2,0.0,0.0
5HXKYNDCL,0.0,0.0
5MTHCYST,0.0,0.0
AACPS7,0.0,-1.734723475976807e-18
ABTOXy,0.0,-3.469446951953614e-18
ABUTD,0.0,0.023163673707689958
ACACT1r,0.0,0.0
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,0.0,0.0
ACALDt,0.0,-0.0
ACBIPGT,0.0,-3.469446951953614e-18
ACCOALYS2,0.0,-0.023163673707689954
ACEDIPIT,0.0,-0.023163673707689958
ACGAMT,0.0,0.0
ACGApts,0.0,0.0
ACKr,0.0,-0.023163673707689954
ACLDC,0.0,0.0
ACNML,0.0,0.0
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,3.469446951953614e-18
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,0.0,3.469446951953614e-18
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,0.0,0.0
ACOCT,0.0,0.0
ACPS1,0.0,0.0
ACTNDH,0.0,0.0
ACTNdiff,0.0,-0.0
ACt2r,0.0,-0.0
ADAD,0.0,-0.0
ADEt2r,0.0,-0.0
ADK1,0.0,0.0
ADK10,0.0,0.0
ADK11,0.0,0.0
ADK2,0.0,-3.469446951953614e-18
ADK3,0.0,0.0
ADK5,0.0,0.0
ADK7,0.0,0.0
ADK8,0.0,0.0
ADK9,0.0,0.0
ADNCYC,0.0,-3.469446951953614e-18
ADNK1,0.0,0.0
ADOCBIK,0.0,0.0
ADOCBLS,0.0,0.0
ADPRDP,0.0,0.023163673707689958
ADPT,0.0,-3.469446951953614e-18
ADSL1r,0.0,0.0
ADSL2r,0.0,0.0
ADSS,0.0,-0.023163673707689954
AGDC,0.0,0.023163673707689958
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,3.469446951953614e-18
AGPAT181,0.0,0.0
AHCYSNS_r,0.0,0.046327347415379916
AHSERL2,0.0,0.0
AHSERL3,0.0,0.0
AICART,0.0,0.0
AIHDUDPMG,0.0,-0.023163673707689958
AIHDUPDG,0.0,-0.023163673707689958
AIHPDCOATA,0.0,0.0
AIPDUDPG,0.0,-0.023163673707689958
AIPDUDPMG,0.0,-0.023163673707689958
AIRC4,0.0,-0.046327347415379916
ALAALA,0.0,-0.023163673707689954
ALAASP1c,0.0,0.023163673707689958
ALAASPabc,0.0,3.469446951953614e-18
ALAD_R,0.0,0.023163673707689958
ALAGLN1c,0.0,0.023163673707689958
ALAGLNabc,0.0,3.469446951953614e-18
ALAGLU1c,0.0,0.0
ALAGLUabc,0.0,3.469446951953614e-18
ALAGLY1c,0.0,0.023163673707689958
ALAGLYabc,0.0,3.469446951953614e-18
ALAHIS1c,0.0,0.023163673707689958
ALAHISabc,0.0,3.469446951953614e-18
ALALEU1c,0.0,0.023163673707689958
ALALEUabc,0.0,3.469446951953614e-18
ALAPGPL,0.0,-1.0423653168460483
ALAR,0.0,0.0
ALATHR1c,0.0,0.023163673707689958
ALATHRabc,0.0,3.469446951953614e-18
ALAt2r,0.0,-0.0
ALCD19,0.0,0.0
ALCD2x,0.0,0.0
AMALT1,0.0,0.02316367370768996
AMALT2,0.0,0.023163673707689958
AMALT3,0.0,0.023163673707689958
AMALT4,0.0,0.023163673707689958
AMANAPEr,0.0,0.0
AMANK,0.0,0.0
AMPMS2,0.0,0.0
AMPTASECG,0.0,0.023163673707689958
AMPTASEGC,0.0,0.023163673707689958
APAT,0.0,0.023163673707689958
ARAI,0.0,3.469446951953614e-18
ARBTpts,0.0,0.0
ARBabc,0.0,0.0
ARGt2,0.0,0.0
ASAD,0.0,0.023163673707689954
ASNt2r,0.0,-0.0
ASPCT,0.0,0.0
ASPKi,0.0,0.0
ASPT,0.0,0.0
ASPTA,0.0,-0.023163673707689958
ASPt2r,0.0,-0.0
ATPS4,0.0,-3.469446951953614e-18
BAMPPALDOX,0.0,0.023163673707689958
BPNT,0.0,3.469446951953614e-18
C180SNrev,0.0,0.18530938966151966
CAt4i,0.0,0.0
CBIAT,0.0,0.0
CBPS,0.0,-0.04632734741537991
CD2abc1,0.0,0.0
CDPEAS,0.0,0.0
CDPGLYCGPT,0.0,0.0
CGLYabc,0.0,3.469446951953614e-18
CHOLD,0.0,0.0
CHOLK,0.0,0.0
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,0.0,6.938893903907228e-18
CLPNSAI15,0.0,0.0
CLPNSAI17,0.0,0.0
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,0.0,0.0
CO2t,0.0,0.0
COBALTt5,0.0,0.0
CPPPGO,0.0,-0.046327347415379916
CTPS1,0.0,-0.023163673707689954
CTPS2,0.0,-0.023163673707689954
CYSS,0.0,0.0
CYSS3r,0.0,0.0
CYSt2r,0.0,-0.0
CYTBD,0.0,-0.02316367370768996
CYTBD2,0.0,-0.023163673707689958
CYTD,0.0,0.023163673707689958
CYTDK1,0.0,0.0
CYTDK2,0.0,0.0
CYTDK3,0.0,0.0
CYTDK4,0.0,0.0
CYTK1,0.0,0.0
CYTK2,0.0,0.0
Cuabc,0.0,1.734723475976807e-18
Cut1,0.0,1.734723475976807e-18
DAPDAi,0.0,0.023163673707689958
DAPDC,0.0,0.0
