,fluxes,reduced_costs
12PPDSDH,0.0,0.0
2MBCOATA,0.0,0.0
3HAD100,0.0,0.0
3HAD10M11,0.0,0.0
3HAD10M12,0.0,0.0
3HAD11M12,0.0,0.0
3HAD120,0.0,0.0
3HAD12M13,0.0,0.0
3HAD12M14,0.0,0.0
3HAD13M14,0.0,0.0
3HAD140,0.0,0.0
3HAD14M15,0.0,0.0
3HAD14M16,0.0,0.0
3HAD15M16,0.0,0.0
3HAD160,0.0,0.047965474604868934
3HAD180,0.0,0.0
3HAD40,0.0,0.0
3HAD4M5,0.0,0.0
3HAD4M6,0.0,0.0
3HAD5M6,0.0,0.0
3HAD60,0.0,0.0
3HAD6M7,0.0,0.0
3HAD6M8,0.0,0.0
3HAD7M8,0.0,0.0
3HAD80,0.0,0.0
3HAD8M10,0.0,0.0
3HAD8M9,0.0,0.0
3HAD9M10,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,0.0,0.0
3OAR11M12,0.0,0.0
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,0.0,0.0
3OAR13M14,0.0,0.0
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,0.0,0.0
3OAR15M16,0.0,0.0
3OAR160,0.0,-0.047965474604868934
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,0.0,0.0
3OAR5M6,0.0,0.0
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,0.0,0.0
3OAR7M8,0.0,0.0
3OAR80,0.0,0.0
3OAR8M10,0.0,0.0
3OAR8M9,0.0,0.0
3OAR9M10,0.0,0.0
3OAS100,0.0,0.047965474604868934
3OAS10M11,0.0,0.047965474604868934
3OAS10M12,0.0,0.047965474604868934
3OAS11M12,0.0,0.047965474604868934
3OAS120,0.0,0.047965474604868934
3OAS12M13,0.0,0.047965474604868934
3OAS12M14,0.0,0.047965474604868934
3OAS13M14,0.0,0.047965474604868934
3OAS140,0.0,0.047965474604868934
3OAS160,0.0,0.047965474604868934
3OAS180,0.0,0.047965474604868934
3OAS2M3,0.0,0.047965474604868934
3OAS3M4,0.0,0.047965474604868934
3OAS4M3O6,0.0,0.047965474604868934
3OAS4M5,0.0,0.047965474604868934
3OAS4M6,0.0,0.047965474604868934
3OAS5M6,0.0,0.047965474604868934
3OAS60,0.0,0.047965474604868934
3OAS6M7,0.0,0.047965474604868934
3OAS6M8,0.0,0.047965474604868934
3OAS7M8,0.0,0.047965474604868934
3OAS80,0.0,0.047965474604868934
3OAS8M10,0.0,0.047965474604868934
3OAS8M9,0.0,0.047965474604868934
3OAS9M10,0.0,0.047965474604868934
4ABZt2,0.0,0.0
4HBZt2,0.0,-0.0
4NTPPH2,0.0,-0.047965474604868934
5AIZCDC,0.0,0.047965474604868934
AACPS7,0.0,0.0
AADSACYCL,0.0,0.0
ABTOXy,0.0,0.047965474604868934
ACACT1r,0.0,0.0
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,0.0,0.0
ACALDt,0.0,-0.0
ACBIPGT,0.0,0.047965474604868934
ACCOACL,0.0,0.0
ACEDIPIT,0.0,0.0
ACKr,0.0,-0.09593094920973787
ACLDC,0.0,0.047965474604868934
ACLS_a,0.0,0.0
ACLS_b,0.0,0.047965474604868934
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,0.0
ACOAAGPATAI15,0.0,-0.047965474604868934
ACOAAGPATAI17,0.0,0.0
ACOAAGPATI14,0.0,-0.047965474604868934
ACOAAGPATI15,0.0,-0.047965474604868934
ACOAAGPATI16,0.0,-0.047965474604868934
ACOAAGPATI17,0.0,0.0
ACOATA,0.0,0.0
ACODAr,0.0,0.047965474604868934
ACPS1,0.0,-0.047965474604868934
ACTD,0.0,-0.047965474604868934
ACt2r,0.0,-0.0
ADCPS1,0.0,-0.047965474604868934
ADCPS2,0.0,-0.047965474604868934
ADCYRS,0.0,-0.19186189841947573
ADK1,0.0,0.0
ADK10,0.0,0.0
ADK11,0.0,0.0
ADK2,0.0,0.0
ADK3,0.0,0.0
ADK5,0.0,0.0
ADK7,0.0,0.0
ADK8,0.0,0.0
ADK9,0.0,0.0
ADNUC,0.0,0.0
ADOCBIK,0.0,-0.047965474604868934
ADOCBIK2,0.0,-0.047965474604868934
ADOCBLS,0.0,-0.047965474604868934
ADPRDP,0.0,-0.09593094920973787
ADSL1r,0.0,0.047965474604868934
ADSL2r,0.0,0.047965474604868934
ADSS,0.0,-0.09593094920973787
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,0.0
AGPAT181,0.0,0.0
AHCYSNS_r,0.0,0.0
AICART,0.0,0.0
AIHPDCOATA,0.0,0.0
AIPDCOATA,0.0,0.0
AIRC4,0.0,-0.09593094920973787
AKP1,0.0,-0.09593094920973787
ALAALA,0.0,-0.047965474604868934
ALAASP1c,0.0,0.047965474604868934
ALAGLN1c,0.0,0.047965474604868934
ALAGLU1c,0.0,0.047965474604868934
ALAGLY1c,0.0,0.047965474604868934
ALAHIS1c,0.0,0.09593094920973787
ALALEU1c,0.0,0.047965474604868934
ALAPGPL,0.0,0.0
ALAR,0.0,-0.047965474604868934
ALATHR1c,0.0,0.047965474604868934
ALATHRabc,0.0,0.0
ALAt2r,0.0,-0.0
ALCD19,0.0,0.0
ALCD2x,0.0,0.0
ALKP,0.0,0.0
ALLTNRS,0.0,0.0
ALLTNS,0.0,0.0
ALLTNt2r,0.0,-0.047965474604868934
AMAA,0.0,0.047965474604868934
AMMQT8r,0.0,-0.047965474604868934
AMOPBHL,0.0,0.0
AMPTASECG,0.0,0.0
AMPTASEGC,0.0,0.047965474604868934
AOBUTDs,0.0,0.0
AOXHEXCYCL,0.0,-0.0
APAT,0.0,-0.047965474604868934
APPLDH,0.0,0.0
APRAUR,0.0,0.0
ARAI,0.0,-0.047965474604868934
ARBabc,0.0,0.0
ARBt2r,0.0,0.0
ARGDA,0.0,0.0
ARGSL,0.0,0.047965474604868934
ARGSSr,0.0,-0.047965474604868934
ASAD,0.0,0.0
ASNS1,0.0,0.0
ASNS2,0.0,0.0
ASNt2r,0.0,-0.0
ASPCT,0.0,-0.047965474604868934
ASPKi,0.0,0.0
ASPT,0.0,0.047965474604868934
ASPTA,0.0,0.0
ASPt2r,0.0,-0.047965474604868934
ATPS4,0.0,-0.1438964238146068
BACCLi,0.0,-0.047965474604868934
BPNT,0.0,0.0
BTDD_RR,0.0,0.0
BTNCLi,0.0,-0.09593094920973787
BTNabc,0.0,-0.047965474604868934
CA2abc,0.0,0.0
CBIAT,0.0,0.047965474604868934
CBLAT,0.0,0.047965474604868934
CBLTDe,0.0,0.0
CBMK,0.0,-0.09593094920973787
CBMTHL2,0.0,-0.0
CBPS,0.0,-0.1438964238146068
CBl1te,0.0,0.0
CD2abc1,0.0,-0.047965474604868934
CD2t6r,0.0,-0.047965474604868934
CDPMEK,0.0,-0.047965474604868934
CGLYabc,0.0,0.0
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,0.0,0.0
CLPNSAI15,0.0,0.0
CLPNSAI17,0.0,0.0
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,0.0,0.0
CMLDC,0.0,0.047965474604868934
CO2t,0.0,-0.0
CPC2MT,0.0,-0.047965474604868934
CPC3MT,0.0,0.0
CPC4MT,0.0,-0.047965474604868934
CPC5MT,0.0,-0.047965474604868934
CPC5MT2,0.0,0.0
CPC6MT,0.0,-0.047965474604868934
CPC6R,0.0,0.0
CPC8MM,0.0,0.0
CSND,0.0,0.047965474604868934
CSNt2,0.0,-0.047965474604868934
CTPS1,0.0,-0.1438964238146068
CTPS2,0.0,-0.1438964238146068
CYRDAAT,0.0,0.047965474604868934
CYRDAR,0.0,-0.09593094920973787
CYRDAS,0.0,-0.047965474604868934
CYSDS,0.0,0.0
CYSS,0.0,0.047965474604868934
CYSS3r,0.0,0.047965474604868934
CYSTGL,0.0,0.047965474604868934
CYSTS,0.0,0.0
CYSt2r,0.0,-0.0
CYTBD,0.0,0.09593094920973787
CYTBD2,0.0,0.09593094920973787
CYTDK1,0.0,0.0
CYTDK2,0.0,0.0
CYTDK3,0.0,0.0
CYTDK4,0.0,-0.047965474604868934
CYTK1,0.0,-0.0
CYTK2,0.0,-0.0
Coabc,0.0,0.0
Cuabc,0.0,-0.047965474604868934
Cut1,0.0,-0.047965474604868934
DACTt3,0.0,0.0
DADNK,0.0,-0.047965474604868934
DAGK120,0.0,-0.047965474604868934
DAGK140,0.0,-0.047965474604868934
DAGK141,0.0,-0.047965474604868934
DAGK160,0.0,-0.047965474604868934
DAGK161,0.0,-0.047965474604868934
DAGK180,0.0,-0.047965474604868934
DAGK181,0.0,-0.047965474604868934
DALAt2r,0.0,-0.047965474604868934
DAPDAi,0.0,0.047965474604868934
DAPDC,0.0,0.09593094920973787
DAPE,0.0,-0.047965474604868934
