,fluxes,reduced_costs
1P4H2CBXLAH,0.0,0.0
23DHMPO,0.0,0.025412420394163672
23PDE2,0.0,-0.05082484078832733
23PDE4,0.0,-0.05082484078832733
23PDE7,0.0,-0.05082484078832733
23PDE9,0.0,-0.05082484078832733
26DAPLLAT,0.0,3.469446951953614e-18
26DAPt2r,0.0,-0.0
2AHBUTI,0.0,0.0
2DDPENTHL,0.0,0.025412420394163665
2DHPL,0.0,0.025412420394163665
2DMMQ8abc,0.0,0.0
2MBCOATA,0.0,0.0
2OBUTt2r,0.0,-0.0
3HAD10M12,0.0,0.05082484078832733
3HAD11M12,0.0,0.05082484078832733
3HAD12M14,0.0,0.05082484078832733
3HAD13M14,0.0,0.05082484078832733
3HAD14M16,0.0,0.05082484078832733
3HAD15M16,0.0,0.05082484078832733
3HAD4M6,0.0,0.05082484078832733
3HAD5M6,0.0,0.05082484078832733
3HAD6M8,0.0,0.05082484078832733
3HAD7M8,0.0,0.05082484078832733
3HAD8M10,0.0,0.05082484078832733
3HAD9M10,0.0,0.05082484078832733
3MOBS,0.0,0.05082484078832733
3OAR100,0.0,-0.025412420394163672
3OAR10M11,0.0,-0.025412420394163672
3OAR10M12,0.0,-0.025412420394163672
3OAR11M12,0.0,-0.025412420394163672
3OAR120,0.0,-0.025412420394163672
3OAR12M13,0.0,-0.025412420394163672
3OAR12M14,0.0,-0.025412420394163672
3OAR13M14,0.0,-0.025412420394163672
3OAR140,0.0,-0.025412420394163672
3OAR14M15,0.0,-0.025412420394163672
3OAR14M16,0.0,-0.025412420394163672
3OAR15M16,0.0,-0.025412420394163672
3OAR160,0.0,0.025412420394163665
3OAR180,0.0,-0.025412420394163672
3OAR40,0.0,-0.025412420394163672
3OAR4M5,0.0,-0.025412420394163672
3OAR4M6,0.0,-0.025412420394163672
3OAR5M6,0.0,-0.025412420394163672
3OAR60,0.0,-0.025412420394163672
3OAR6M7,0.0,-0.025412420394163672
3OAR6M8,0.0,-0.025412420394163672
3OAR7M8,0.0,-0.025412420394163672
3OAR80,0.0,-0.025412420394163672
3OAR8M10,0.0,-0.025412420394163672
3OAR8M9,0.0,-0.025412420394163672
