,fluxes,reduced_costs
15DAPt,0.0,0.0
26DAPLLAT,0.0,0.09128050006123326
2MBCOATA,0.0,-0.04564025003061663
3HAD100,0.0,0.0
3HAD10M11,0.0,0.0
3HAD10M12,0.0,0.0
3HAD11M12,0.0,0.0
3HAD120,0.0,0.0
3HAD12M13,0.0,0.0
3HAD12M14,0.0,0.0
3HAD13M14,0.0,0.0
3HAD140,0.0,0.0
3HAD14M15,0.0,0.0
3HAD14M16,0.0,0.0
3HAD15M16,0.0,0.0
3HAD160,0.0,0.09128050006123327
3HAD180,0.0,0.0
3HAD40,0.0,0.0
3HAD4M5,0.0,0.0
3HAD4M6,0.0,0.0
3HAD5M6,0.0,0.0
3HAD60,0.0,0.0
3HAD6M7,0.0,0.0
3HAD6M8,0.0,0.0
3HAD7M8,0.0,0.0
3HAD80,0.0,0.0
3HAD8M10,0.0,0.0
3HAD8M9,0.0,0.0
3HAD9M10,0.0,0.0
3MOBS,0.0,-0.04564025003061663
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,0.0,0.0
3OAR11M12,0.0,0.0
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,0.0,0.0
3OAR13M14,0.0,0.0
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,0.0,0.0
3OAR15M16,0.0,0.0
3OAR160,0.0,-0.09128050006123327
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,0.0,0.0
3OAR5M6,0.0,0.0
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,0.0,0.0
3OAR7M8,0.0,0.0
3OAR80,0.0,0.0
3OAR8M10,0.0,0.0
3OAR8M9,0.0,0.0
3OAR9M10,0.0,0.0
3OAS100,0.0,0.09128050006123326
3OAS10M11,0.0,0.09128050006123326
3OAS10M12,0.0,0.09128050006123326
3OAS11M12,0.0,0.09128050006123326
3OAS120,0.0,0.09128050006123326
3OAS12M13,0.0,0.09128050006123326
3OAS12M14,0.0,0.09128050006123326
3OAS13M14,0.0,0.09128050006123326
3OAS140,0.0,0.04564025003061663
3OAS160,0.0,0.09128050006123326
3OAS180,0.0,0.09128050006123326
3OAS2M3,0.0,0.09128050006123326
3OAS3M4,0.0,0.09128050006123326
3OAS4M3O6,0.0,0.09128050006123326
3OAS4M5,0.0,0.09128050006123326
3OAS4M6,0.0,0.09128050006123326
3OAS5M6,0.0,0.09128050006123326
3OAS60,0.0,0.09128050006123326
3OAS6M7,0.0,0.09128050006123326
3OAS6M8,0.0,0.09128050006123326
3OAS7M8,0.0,0.09128050006123326
3OAS80,0.0,0.09128050006123326
3OAS8M10,0.0,0.09128050006123326
3OAS8M9,0.0,0.09128050006123326
3OAS9M10,0.0,0.09128050006123326
4HTHRS,0.0,0.0
4NTPPH2,0.0,-0.04564025003061663
5AIZCDC,0.0,0.04564025003061663
AACPS7,0.0,0.0
AADSACYCL,0.0,0.0
ACALD,0.0,-0.0
ACALDt,0.0,-0.0
ACCOACL,0.0,0.0
ACCOAL,0.0,0.0
ACGAM2E,0.0,0.0
ACGK,0.0,0.0
ACGS,0.0,-0.04564025003061663
ACHBPL,0.0,0.0
ACKr,0.0,-0.04564025003061663
ACLS_a,0.0,0.0
ACLS_b,0.0,0.04564025003061663
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,0.0
ACOAAGPATAI15,0.0,-0.04564025003061663
ACOAAGPATAI17,0.0,0.0
ACOAAGPATI14,0.0,-0.04564025003061663
ACOAAGPATI15,0.0,-0.04564025003061663
ACOAAGPATI16,0.0,-0.04564025003061663
ACOAAGPATI17,0.0,0.0
ACOATA,0.0,-0.04564025003061663
ACOCT,0.0,0.0
ACONT,0.0,0.0
ACONTa,0.0,0.0
ACONTb,0.0,0.0
ACOTA,0.0,0.09128050006123326
ACPS1,0.0,0.0
ACS,0.0,-0.04564025003061663
ACt2r,0.0,-0.0
ADCS,0.0,-0.04564025003061663
ADEt2r,0.0,-0.0
ADK1,0.0,0.0
ADK10,0.0,0.0
ADK11,0.0,0.0
ADK2,0.0,0.0
ADK3,0.0,0.0
ADK5,0.0,0.0
ADK7,0.0,0.0
ADK8,0.0,0.0
ADK9,0.0,0.0
ADMDCr,0.0,0.04564025003061663
ADPRDP,0.0,-0.09128050006123326
ADPT,0.0,-0.04564025003061663
ADSL1r,0.0,0.09128050006123326
ADSL2r,0.0,0.09128050006123326
ADSS,0.0,-0.1369207500918499
AGMT,0.0,0.0
AGPAT120,0.0,0.0
AGPAT140,0.0,0.04564025003061663
AGPAT141,0.0,0.04564025003061663
AGPAT160,0.0,0.04564025003061663
AGPAT161,0.0,0.04564025003061663
AGPAT180,0.0,0.04564025003061663
AGPAT181,0.0,0.04564025003061663
AGPR,0.0,0.0
AHCYSNS_r,0.0,0.04564025003061663
AHMMPS,0.0,0.0
AHSERL2,0.0,0.0
AHSERL3,0.0,0.0
AICART,0.0,0.0
AIHPDCOATA,0.0,0.04564025003061663
AIPDCOATA,0.0,0.04564025003061663
AIRC4,0.0,-0.09128050006123326
AKP1,0.0,-0.09128050006123326
ALAALA,0.0,-0.04564025003061663
ALAASP1c,0.0,0.09128050006123326
ALAASPabc,0.0,-0.04564025003061663
ALAGLN1c,0.0,0.09128050006123326
ALAGLNabc,0.0,-0.04564025003061663
ALAGLU1c,0.0,0.04564025003061663
ALAGLUabc,0.0,-0.04564025003061663
ALAGLY1c,0.0,0.09128050006123326
ALAGLYabc,0.0,-0.04564025003061663
ALAHIS1c,0.0,0.09128050006123326
ALAHISabc,0.0,-0.04564025003061663
ALALEU1c,0.0,0.09128050006123326
ALALEUabc,0.0,-0.04564025003061663
ALAR,0.0,-0.04564025003061663
ALATHR1c,0.0,0.09128050006123326
ALATHRabc,0.0,-0.04564025003061663
ALAt2r,0.0,-0.0
ALCD19,0.0,-0.0
ALCD2x,0.0,0.0
ALCD4,0.0,0.0
ALKP,0.0,0.0
ALLTNRS,0.0,0.0
ALLTNS,0.0,0.0
AMALT1,0.0,-0.09128050006123326
AMALT2,0.0,-0.09128050006123326
AMALT3,0.0,-0.09128050006123326
AMALT4,0.0,-0.09128050006123326
AMAOTr,0.0,0.0
AMOPBHL,0.0,0.0
AMPTASECG,0.0,0.09128050006123326
AMPTASEGC,0.0,0.09128050006123326
ANPRT,0.0,0.0
ANS,0.0,-0.04564025003061663
ANS2,0.0,-0.09128050006123326
AOBUTDs,0.0,0.0
AOXHEXCYCL,0.0,-0.0
ARBabc,0.0,0.0
ARGDC,0.0,0.0
ARGN,0.0,0.0
ARGSL,0.0,0.04564025003061664
ARGSSr,0.0,-0.0
ARGt2,0.0,0.0
ASAD,0.0,0.0
ASNS1,0.0,-0.09128050006123326
ASNt2r,0.0,-0.0
ASPCT,0.0,-0.09128050006123326
ASPKi,0.0,-0.04564025003061663
ASPO1,0.0,0.09128050006123326
ASPO5,0.0,6.938893903907228e-18
ASPO6,0.0,0.04564025003061664
ASPO7,0.0,0.04564025003061664
ASPT,0.0,0.1369207500918499
ASPTA,0.0,0.09128050006123326
ASPt2r,0.0,-0.0
ATPPRT,0.0,0.0
ATPS4,0.0,-0.1369207500918499
BACCLi,0.0,-0.04564025003061663
BGLA,0.0,-0.1369207500918499
BGLAr,0.0,-0.1369207500918499
BPNT,0.0,0.0
BTNCLi,0.0,-0.09128050006123326
BTNabc,0.0,-0.04564025003061663
BUP2,0.0,0.1825610001224665
CA2abc,0.0,0.0
CBIAT,0.0,0.04564025003061663
CBLAT,0.0,0.04564025003061663
CBMTHL2,0.0,-0.0
CBPS,0.0,-0.1825610001224665
CD2abc1,0.0,-0.04564025003061663
CDPGLYCGPT,0.0,-2.0538112513777484
CDPMEK,0.0,-0.04564025003061663
CELLBabc,0.0,0.0
CELLUL_DEGe,0.0,0.0
CGLYabc,0.0,-0.04564025003061663
CHORM,0.0,0.0
CHORS,0.0,0.0
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,0.0,0.0
CLPNSAI15,0.0,0.0
CLPNSAI17,0.0,0.0
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,0.0,0.0
CMLDC,0.0,0.04564025003061663
CO2t,0.0,-0.0
COBCOMOX,0.0,0.0
CPPPGO,0.0,0.09128050006123326
CRO4t3,0.0,-0.04564025003061663
CSNt6,0.0,-0.0
CTPS1,0.0,-0.1825610001224665
CTPS2,0.0,-0.1369207500918499
CYRDAAT,0.0,0.04564025003061663
CYSS,0.0,0.04564025003061663
CYSS3r,0.0,0.04564025003061663
CYSt2r,0.0,-0.0
CYTD,0.0,0.1369207500918499
CYTDK1,0.0,-0.04564025003061663
CYTDK2,0.0,-0.04564025003061663
CYTDK3,0.0,-0.04564025003061663
CYTDK4,0.0,-0.04564025003061663
CYTK1,0.0,0.0
CYTK2,0.0,0.0
Coabc,0.0,0.0
Cuabc,0.0,-0.04564025003061663
Cut1,0.0,-0.04564025003061663
DAPDC,0.0,0.04564025003061663
DAPE,0.0,0.04564025003061663
DAPabc,0.0,0.0
