,fluxes,C-fluxes
EX_12ppd_S(e),0.2838663551471638,0.8515990654414913
EX_2omfuc(e),0.00053398,0.00373786
EX_2omxyl(e),0.00053398,0.00320388
EX_3ddlhept(e),0.00053398,0.00373786
EX_4abut(e),0.18,0.72
EX_ac(e),11.963360869468644,23.92672173893729
EX_acerA(e),0.00026699,0.00160194
EX_apio-D(e),0.00080097,0.00400485
EX_cys_L(e),0.98028992795514,2.94086978386542
EX_dad_2(e),0.024241403702954332,0.2424140370295433
EX_for(e),11.941178096930921,11.941178096930921
EX_gcald(e),0.0020056811433607677,0.0040113622867215355
EX_indole(e),0.07320833658278571,0.5856666926622857
EX_kdo(e),0.00053398,0.00427184
EX_meoh(e),0.00907565,0.00907565
EX_pac(e),0.9489435366016834,7.591548292813467
EX_ppa(e),4.323815078142051,12.971445234426152
EX_ptrc(e),0.09787924107714312,0.39151696430857247
