,fluxes,C-fluxes
EX_13ppd(e),0.008310167316160235,0.024930501948480704
EX_ac(e),8.269197929181129,16.538395858362257
EX_adn(e),0.00024898540183587037,0.0024898540183587036
EX_ala_L(e),0.2123230644224152,0.6369691932672455
EX_arab_L(e),0.0055197,0.027598499999999998
EX_for(e),8.579947432703928,8.579947432703928
EX_gal(e),0.00091995,0.0055197
EX_nac(e),0.9974387608959571,5.984632565375742
EX_orn(e),0.09841797323186371,0.4920898661593186
EX_phe_L(e),0.5853334053155009,5.268000647839508
EX_strch2(e),0.02611435838279237,0.47005845089026266
EX_xyl_D(e),0.0091995,0.0459975
