,fluxes,C-fluxes
EX_ac(e),20.140725950620403,40.28145190124081
EX_for(e),15.555159201093693,15.555159201093693
EX_gly(e),2.640700520711385,5.28140104142277
EX_hxan(e),0.942958671451638,4.71479335725819
EX_ile_L(e),0.7979362569734322,4.787617541840593
EX_indole(e),0.029149584143578707,0.23319667314862966
EX_lys_L(e),0.8825825589757696,5.2954953538546174
EX_nac(e),0.9982911039797839,5.989746623878704
EX_phe_L(e),0.7970420808663864,7.173378727797478
EX_ppa(e),0.18695772112581757,0.5608731633774527
EX_ptrc(e),0.9982918688411653,3.993167475364661
