,fluxes,C-fluxes
EX_ac(e),1.3993511691467067,2.7987023382934133
EX_ade(e),1.6927042141938946,8.463521070969474
EX_cytd(e),0.6510455360463171,5.859409824416854
EX_dgsn(e),0.9964055671652137,9.964055671652137
EX_for(e),2.6307372260567794,2.6307372260567794
EX_gln_L(e),0.15384311466303544,0.7692155733151772
EX_glyc(e),0.0011004349204401334,0.0033013047613204
EX_hista(e),0.1457802038958576,0.728901019479288
EX_ppa(e),1.2161160395689699,3.6483481187069096
EX_trypta(e),0.07658113009841114,0.7658113009841114
EX_tym(e),0.9905981029887936,7.924784823910349
