,fluxes,C-fluxes
EX_ac(e),3.509017370538371,7.018034741076742
EX_ade(e),1.0651678830137226,5.325839415068613
EX_dcyt(e),0.4869357199308687,4.382421479377818
EX_dgsn(e),0.9945491594049899,9.9454915940499
EX_for(e),3.7949655307572554,3.7949655307572554
EX_glyc(e),0.00193492147768351,0.00580476443305053
EX_hista(e),0.13965750907704913,0.6982875453852456
EX_orn(e),0.13879697221459014,0.6939848610729507
EX_ppa(e),1.1968479862764048,3.5905439588292145
EX_tma(e),1.0,3.0
EX_trypta(e),0.0769660028967997,0.7696600289679969
EX_tym(e),0.9899185708849456,7.919348567079565
