,fluxes,C-fluxes
EX_ac(e),4.519666352059179,9.039332704118358
EX_ala_L(e),7.208410385105364,21.625231155316094
EX_dad_2(e),0.010087357820564075,0.10087357820564075
EX_gly(e),0.13088072123517536,0.2617614424703507
EX_ins(e),0.9736757341629851,9.73675734162985
EX_lac_L(e),0.3174775749941249,0.9524327249823746
EX_lys_L(e),0.9721816979787914,5.833090187872749
EX_orn(e),0.09647322336924213,0.48236611684621067
EX_phe_L(e),0.9305866276455962,8.375279648810366
EX_ppa(e),1.012470215460661,3.037410646381983
EX_succ(e),0.012470215460661144,0.04988086184264458
TS_for_c,0.006647998306888923,0.006647998306888923
