,subsystem
6x7.58845.peg.1,Metabolic:Exchange/demand reaction
6x7.58845.peg.2,Metabolic:Exchange/demand reaction
6x7.58845.peg.5,Metabolic:Exchange/demand reaction
6x7.58845.peg.6,Metabolic:Exchange/demand reaction
6x7.58845.peg.9,Metabolic:Nucleotide interconversion
6x7.58845.peg.11,Metabolic:Vitamin B6 metabolism
6x7.58845.peg.12,Metabolic:Vitamin B6 metabolism
6x7.58845.peg.13,tRNA-Charging
6x7.58845.peg.15,Metabolic:Nucleotide interconversion
6x7.58845.peg.16,Metabolic:Nucleotide interconversion
6x7.58845.peg.17,Metabolic:NAD metabolism
6x7.58845.peg.19,Metabolic:Exchange/demand reaction
6x7.58845.peg.26,Metabolic:Lysine metabolism
6x7.58845.peg.27,Metabolic:Nucleotide interconversion
6x7.58845.peg.28,Metabolic:Exchange/demand reaction
6x7.58845.peg.33,Translation
6x7.58845.peg.35,tRNA-Charging
6x7.58845.peg.38,Translation
6x7.58845.peg.42,Metabolic:Terpenoid backbone biosynthesis
6x7.58845.peg.46,Metabolic:Cell wall biosynthesis
6x7.58845.peg.47,Metabolic:Pentose phosphate pathway
6x7.58845.peg.50,Transcription
6x7.58845.peg.60,tRNA-Charging
6x7.58845.peg.61,Metabolic:Purine catabolism
6x7.58845.peg.63,Metabolic:CoA synthesis
6x7.58845.peg.65,Metabolic:Methionine and cysteine metabolism
6x7.58845.peg.66,Metabolic:Folate metabolism
6x7.58845.peg.67,Metabolic:Folate metabolism
6x7.58845.peg.68,Metabolic:Folate metabolism
6x7.58845.peg.69,Metabolic:Folate metabolism
6x7.58845.peg.70,Metabolic:Folate metabolism
6x7.58845.peg.71,Metabolic:Folate metabolism
6x7.58845.peg.74,tRNA-Charging
6x7.58845.peg.83,Metabolic:Terpenoid backbone biosynthesis
6x7.58845.peg.84,Metabolic:Terpenoid backbone biosynthesis
6x7.58845.peg.85,tRNA-Charging
6x7.58845.peg.86,Metabolic:Methionine and cysteine metabolism
6x7.58845.peg.87,tRNA-Charging
6x7.58845.peg.89,Translation
6x7.58845.peg.93,Transcription
6x7.58845.peg.94,Translation
6x7.58845.peg.95,tRNA-Charging
6x7.58845.peg.96,tRNA-Charging
6x7.58845.peg.97,tRNA-Charging
6x7.58845.peg.99,Metabolic:Exchange/demand reaction
6x7.58845.peg.100,Metabolic:Exchange/demand reaction
6x7.58845.peg.101,Translation
6x7.58845.peg.102,tRNA-Charging
6x7.58845.peg.103,tRNA-Charging
6x7.58845.peg.104,Translation
6x7.58845.peg.105,Translation
6x7.58845.peg.106,tRNA-Charging
6x7.58845.peg.107,tRNA-Charging
6x7.58845.peg.108,tRNA-Charging
6x7.58845.peg.109,tRNA-Charging
6x7.58845.peg.110,tRNA-Charging
6x7.58845.peg.111,tRNA-Charging
6x7.58845.peg.112,tRNA-Charging
6x7.58845.peg.113,tRNA-Charging
6x7.58845.peg.114,tRNA-Charging
6x7.58845.peg.115,tRNA-Charging
6x7.58845.peg.116,tRNA-Charging
6x7.58845.peg.117,tRNA-Charging
6x7.58845.peg.118,tRNA-Charging
6x7.58845.peg.119,tRNA-Charging
6x7.58845.peg.120,tRNA-Charging
6x7.58845.peg.121,tRNA-Charging
6x7.58845.peg.122,tRNA-Charging
6x7.58845.peg.123,tRNA-Charging
6x7.58845.peg.124,tRNA-Charging
6x7.58845.peg.125,tRNA-Charging
6x7.58845.peg.126,tRNA-Charging
6x7.58845.peg.128,Metabolic:Nucleotide interconversion
6x7.58845.peg.129,Metabolic:Glutathione metabolism
6x7.58845.peg.130,Translation
6x7.58845.peg.131,tRNA-Charging
6x7.58845.peg.132,tRNA-Charging
6x7.58845.peg.133,tRNA-Charging
6x7.58845.peg.134,Metabolic:Exchange/demand reaction
6x7.58845.peg.135,tRNA-Charging
6x7.58845.peg.139,Metabolic:Pyrimidine synthesis
6x7.58845.peg.140,tRNA-Charging
6x7.58845.peg.141,tRNA-Charging
6x7.58845.peg.150,Metabolic:Unassigned
6x7.58845.peg.151,Metabolic:Urea cycle
6x7.58845.peg.154,Metabolic:Cell wall biosynthesis
6x7.58845.peg.155,Metabolic:Aminosugar metabolism
6x7.58845.peg.160,"Metabolic:Transport, extracellular"
6x7.58845.peg.162,"Metabolic:Transport, extracellular"
6x7.58845.peg.173,"Metabolic:Transport, extracellular"
6x7.58845.peg.174,"Metabolic:Transport, extracellular"
6x7.58845.peg.175,"Metabolic:Transport, extracellular"
6x7.58845.peg.176,"Metabolic:Transport, extracellular"
6x7.58845.peg.179,"Metabolic:Transport, extracellular"
6x7.58845.peg.180,"Metabolic:Transport, extracellular"
6x7.58845.peg.181,Metabolic:Pentose and glucuronate interconversions
6x7.58845.peg.182,Metabolic:Arginine and proline metabolism
6x7.58845.peg.183,"Metabolic:Transport, extracellular"
6x7.58845.peg.187,"Metabolic:Transport, extracellular"
6x7.58845.peg.191,Metabolic:Glycerophospholipid metabolism
6x7.58845.peg.200,Metabolic:Galactose metabolism
6x7.58845.peg.204,"Metabolic:Transport, extracellular"
6x7.58845.peg.206,"Metabolic:Transport, extracellular"
6x7.58845.peg.207,"Metabolic:Transport, extracellular"
6x7.58845.peg.208,"Metabolic:Transport, extracellular"
6x7.58845.peg.214,Metabolic:Phenylalanine metabolism
6x7.58845.peg.219,Metabolic:Alanine and aspartate metabolism
6x7.58845.peg.220,Metabolic:Cell wall biosynthesis
6x7.58845.peg.224,Metabolic:CoA synthesis
6x7.58845.peg.226,Metabolic:Alanine and aspartate metabolism
6x7.58845.peg.234,Translation
6x7.58845.peg.240,Translation
6x7.58845.peg.241,Translation
6x7.58845.peg.242,Metabolic:Nucleotide interconversion
6x7.58845.peg.251,Metabolic:Alanine and aspartate metabolism
6x7.58845.peg.252,Metabolic:Arginine and proline metabolism
6x7.58845.peg.255,Metabolic:Cell wall biosynthesis
6x7.58845.peg.262,Metabolic:Galactose metabolism
6x7.58845.peg.264,Metabolic:Purine synthesis
6x7.58845.peg.265,Metabolic:Purine synthesis
6x7.58845.peg.266,Metabolic:Purine synthesis
6x7.58845.peg.267,Metabolic:Purine synthesis
6x7.58845.peg.268,Metabolic:Purine synthesis
6x7.58845.peg.269,Metabolic:Purine synthesis
6x7.58845.peg.270,Metabolic:Purine synthesis
6x7.58845.peg.271,Metabolic:Purine synthesis
6x7.58845.peg.272,Metabolic:Purine synthesis
6x7.58845.peg.273,Metabolic:Purine synthesis
6x7.58845.peg.274,Metabolic:Purine synthesis
6x7.58845.peg.275,Metabolic:Purine synthesis
6x7.58845.peg.280,Metabolic:Exchange/demand reaction
6x7.58845.peg.281,Metabolic:Exchange/demand reaction
6x7.58845.peg.284,Metabolic:Glutamate metabolism
6x7.58845.peg.285,Metabolic:Biosynthesis of siderophore group nonribosomal peptides
6x7.58845.peg.287,"Metabolic:Transport, extracellular"
6x7.58845.peg.288,"Metabolic:Transport, extracellular"
6x7.58845.peg.294,tRNA-Charging
6x7.58845.peg.295,tRNA-Charging
6x7.58845.peg.296,tRNA-Charging
6x7.58845.peg.299,Metabolic:Glutamate metabolism
6x7.58845.peg.301,Metabolic:Butanoate metabolism
6x7.58845.peg.308,"Metabolic:Transport, extracellular"
6x7.58845.peg.309,Translation
6x7.58845.peg.317,"Metabolic:Transport, extracellular"
6x7.58845.peg.322,Metabolic:Arginine and proline metabolism
6x7.58845.peg.323,Metabolic:Arginine and proline metabolism
6x7.58845.peg.328,Metabolic:Sulfur metabolism
6x7.58845.peg.337,Metabolic:Tryptophan metabolism
6x7.58845.peg.348,Metabolic:Arginine and proline metabolism
6x7.58845.peg.349,Metabolic:Arginine and proline metabolism
6x7.58845.peg.350,"Metabolic:Transport, extracellular"
6x7.58845.peg.351,Metabolic:Arginine and proline metabolism
6x7.58845.peg.355,Metabolic:Starch and sucrose metabolism
6x7.58845.peg.356,"Metabolic:Transport, extracellular"
6x7.58845.peg.360,Metabolic:Thiamine metabolism
6x7.58845.peg.361,Metabolic:Thiamine metabolism
6x7.58845.peg.364,Metabolic:Propanoate metabolism
6x7.58845.peg.372,Metabolic:ROS detoxification
6x7.58845.peg.381,tRNA-Charging
6x7.58845.peg.383,Metabolic:Aminosugar metabolism
6x7.58845.peg.396,"Metabolic:Transport, extracellular"
6x7.58845.peg.405,"Metabolic:Transport, extracellular"
6x7.58845.peg.409,Metabolic:Citric acid cycle
6x7.58845.peg.413,Metabolic:Cell wall biosynthesis
6x7.58845.peg.414,Metabolic:Pyrimidine synthesis
6x7.58845.peg.417,Metabolic:Fatty acid oxidation
6x7.58845.peg.418,"Metabolic:Transport, extracellular"
6x7.58845.peg.424,Metabolic:Glutamate metabolism
6x7.58845.peg.426,"Metabolic:Transport, extracellular"
6x7.58845.peg.432,Metabolic:Nucleotide sugar metabolism
6x7.58845.peg.434,Metabolic:Pyruvate metabolism
6x7.58845.peg.435,Metabolic:Pyruvate metabolism
6x7.58845.peg.436,Metabolic:Cell wall biosynthesis
6x7.58845.peg.454,Metabolic:Glutamate metabolism
6x7.58845.peg.455,Metabolic:Heme synthesis
6x7.58845.peg.477,"Metabolic:Transport, extracellular"
6x7.58845.peg.485,Metabolic:Fatty acid oxidation
6x7.58845.peg.490,"Metabolic:Transport, extracellular"
6x7.58845.peg.491,"Metabolic:Transport, extracellular"
6x7.58845.peg.492,"Metabolic:Transport, extracellular"
6x7.58845.peg.493,"Metabolic:Transport, extracellular"
6x7.58845.peg.503,"Metabolic:Transport, extracellular"
6x7.58845.peg.504,Metabolic:Citric acid cycle
6x7.58845.peg.515,Metabolic:Glyoxylate and dicarboxylate metabolism
6x7.58845.peg.516,Metabolic:Glyoxylate and dicarboxylate metabolism
6x7.58845.peg.518,Metabolic:Glycerophospholipid metabolism
6x7.58845.peg.519,Metabolic:Alanine and aspartate metabolism
6x7.58845.peg.523,Metabolic:NAD metabolism
6x7.58845.peg.532,"Metabolic:Transport, extracellular"
6x7.58845.peg.535,Metabolic:Alanine and aspartate metabolism
6x7.58845.peg.541,"Metabolic:Transport, extracellular"
6x7.58845.peg.543,"Metabolic:Transport, extracellular"
6x7.58845.peg.545,Metabolic:Cell wall biosynthesis
6x7.58845.peg.546,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
6x7.58845.peg.547,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
6x7.58845.peg.551,Metabolic:Glycerophospholipid metabolism
