,subsystem
411903.6.peg.1,Metabolic:Pentose and glucuronate interconversions
411903.6.peg.7,Metabolic:Starch and sucrose metabolism
411903.6.peg.8,Metabolic:Glycolysis/gluconeogenesis
411903.6.peg.9,Metabolic:Glycolysis/gluconeogenesis
411903.6.peg.10,Metabolic:Starch and sucrose metabolism
411903.6.peg.11,Metabolic:Starch and sucrose metabolism
411903.6.peg.14,tRNA-Charging
411903.6.peg.15,Translation
411903.6.peg.16,Metabolic:Exchange/demand reaction
411903.6.peg.17,tRNA-Charging
411903.6.peg.18,Metabolic:Methionine and cysteine metabolism
411903.6.peg.19,Metabolic:Methionine and cysteine metabolism
411903.6.peg.24,Metabolic:Vitamin B12 metabolism
411903.6.peg.25,Metabolic:Vitamin B12 metabolism
411903.6.peg.26,Metabolic:Vitamin B12 metabolism
411903.6.peg.27,Metabolic:Vitamin B12 metabolism
411903.6.peg.28,Metabolic:Vitamin B12 metabolism
411903.6.peg.29,Metabolic:Vitamin B12 metabolism
411903.6.peg.31,Metabolic:Vitamin B12 metabolism
411903.6.peg.32,Metabolic:Vitamin B12 metabolism
411903.6.peg.33,Metabolic:NAD metabolism
411903.6.peg.34,Metabolic:Vitamin B12 metabolism
411903.6.peg.35,Metabolic:Vitamin B12 metabolism
411903.6.peg.36,Metabolic:Vitamin B12 metabolism
411903.6.peg.39,Metabolic:Vitamin B12 metabolism
411903.6.peg.40,Metabolic:Vitamin B12 metabolism
411903.6.peg.41,Metabolic:Vitamin B12 metabolism
411903.6.peg.44,"Metabolic:Transport, extracellular"
411903.6.peg.49,Metabolic:Exchange/demand reaction
411903.6.peg.53,"Metabolic:Transport, extracellular"
411903.6.peg.58,Metabolic:NAD metabolism
411903.6.peg.64,Metabolic:Glutathione metabolism
411903.6.peg.66,Metabolic:Phenylalanine metabolism
411903.6.peg.70,tRNA-Charging
411903.6.peg.76,Metabolic:Nucleotide interconversion
411903.6.peg.79,Translation
411903.6.peg.81,tRNA-Charging
411903.6.peg.82,Metabolic:Glycerophospholipid metabolism
411903.6.peg.86,Metabolic:Vitamin B12 metabolism
411903.6.peg.89,Metabolic:Folate metabolism
411903.6.peg.90,Metabolic:Nucleotide interconversion
411903.6.peg.93,Post-translation
411903.6.peg.94,Metabolic:Exchange/demand reaction
411903.6.peg.95,Metabolic:Exchange/demand reaction
411903.6.peg.97,Metabolic:Cell wall biosynthesis
411903.6.peg.98,tRNA-Charging
411903.6.peg.101,Metabolic:CoA synthesis
411903.6.peg.102,Translation
411903.6.peg.106,Metabolic:Exchange/demand reaction
411903.6.peg.107,Metabolic:Exchange/demand reaction
411903.6.peg.108,Metabolic:Vitamin B2 metabolism
411903.6.peg.109,Metabolic:Pyrimidine synthesis
411903.6.peg.111,Translation
411903.6.peg.112,Translation
411903.6.peg.113,Metabolic:Exchange/demand reaction
411903.6.peg.115,tRNA-Charging
411903.6.peg.116,Metabolic:Nucleotide interconversion
411903.6.peg.119,Metabolic:Starch and sucrose metabolism
411903.6.peg.120,"Metabolic:Transport, extracellular"
411903.6.peg.144,tRNA-Charging
411903.6.peg.150,Metabolic:Glutathione metabolism
411903.6.peg.154,Metabolic:Folate metabolism
411903.6.peg.155,tRNA-Charging
411903.6.peg.158,Translation
411903.6.peg.161,Metabolic:Glutamate metabolism
411903.6.peg.166,Metabolic:Glyoxylate and dicarboxylate metabolism
411903.6.peg.170,Metabolic:Respiration
411903.6.peg.172,Metabolic:Respiration
411903.6.peg.177,Metabolic:Respiration
411903.6.peg.179,Metabolic:Respiration
411903.6.peg.184,"Metabolic:Transport, extracellular"
411903.6.peg.185,Metabolic:Thiamine metabolism
411903.6.peg.188,Metabolic:Selenoamino acid metabolism
411903.6.peg.202,Metabolic:Purine catabolism
411903.6.peg.204,Metabolic:Methionine and cysteine metabolism
411903.6.peg.207,Translation
411903.6.peg.210,Metabolic:Pentose phosphate pathway
411903.6.peg.211,Metabolic:Nucleotide interconversion
411903.6.peg.212,Metabolic:Alanine and aspartate metabolism
411903.6.peg.214,Metabolic:Alanine and aspartate metabolism
411903.6.peg.220,Metabolic:Thiamine metabolism
411903.6.peg.221,Metabolic:Thiamine metabolism
411903.6.peg.262,Metabolic:Exchange/demand reaction
411903.6.peg.279,"Metabolic:Transport, extracellular"
411903.6.peg.288,"Metabolic:Transport, extracellular"
411903.6.peg.289,"Metabolic:Transport, extracellular"
