,subsystem
445975.6.peg.1,Metabolic:Exchange/demand reaction
445975.6.peg.2,Metabolic:Glycolysis/gluconeogenesis
445975.6.peg.6,Metabolic:Exchange/demand reaction
445975.6.peg.7,Metabolic:Exchange/demand reaction
445975.6.peg.8,Metabolic:Methionine and cysteine metabolism
445975.6.peg.11,Metabolic:Histidine metabolism
445975.6.peg.13,Metabolic:Oxidative phosphorylation
445975.6.peg.14,"Metabolic:Transport, extracellular"
445975.6.peg.23,Metabolic:Folate metabolism
445975.6.peg.36,"Metabolic:Transport, extracellular"
445975.6.peg.37,"Metabolic:Transport, extracellular"
445975.6.peg.41,Metabolic:Methionine and cysteine metabolism
445975.6.peg.51,Metabolic:Pentose phosphate pathway
445975.6.peg.52,Metabolic:Pentose phosphate pathway
445975.6.peg.54,Metabolic:Methionine and cysteine metabolism
445975.6.peg.55,Metabolic:Galactose metabolism
445975.6.peg.62,"Metabolic:Transport, extracellular"
445975.6.peg.69,Metabolic:Pentose phosphate pathway
445975.6.peg.71,Metabolic:Cell wall biosynthesis
445975.6.peg.72,Metabolic:Nucleotide interconversion
445975.6.peg.74,Metabolic:Pentose phosphate pathway
445975.6.peg.75,Metabolic:Pentose phosphate pathway
445975.6.peg.76,Metabolic:Pyrimidine catabolism
445975.6.peg.77,Metabolic:Pyrimidine catabolism
445975.6.peg.82,Metabolic:Nucleotide interconversion
445975.6.peg.85,Metabolic:Pyruvate metabolism
445975.6.peg.86,Metabolic:Pyruvate metabolism
445975.6.peg.89,Metabolic:Pyruvate metabolism
445975.6.peg.92,"Metabolic:Transport, extracellular"
445975.6.peg.93,"Metabolic:Transport, extracellular"
445975.6.peg.95,"Metabolic:Transport, extracellular"
445975.6.peg.96,Metabolic:Glycolysis/gluconeogenesis
445975.6.peg.98,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
445975.6.peg.99,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
445975.6.peg.100,Metabolic:Alanine and aspartate metabolism
445975.6.peg.101,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
445975.6.peg.107,Metabolic:Terpenoid backbone biosynthesis
445975.6.peg.108,"Metabolic:Transport, extracellular"
445975.6.peg.130,"Metabolic:Transport, extracellular"
445975.6.peg.135,Metabolic:Aminosugar metabolism
445975.6.peg.136,Metabolic:Galactose metabolism
445975.6.peg.137,Metabolic:Galactose metabolism
445975.6.peg.138,Metabolic:Glycolysis/gluconeogenesis
445975.6.peg.142,Metabolic:Starch and sucrose metabolism
445975.6.peg.143,"Metabolic:Transport, extracellular"
445975.6.peg.147,"Metabolic:Transport, extracellular"
445975.6.peg.148,"Metabolic:Transport, extracellular"
445975.6.peg.152,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
445975.6.peg.154,Metabolic:Galactose metabolism
445975.6.peg.155,Metabolic:Galactose metabolism
445975.6.peg.156,Metabolic:Galactose metabolism
445975.6.peg.159,Metabolic:Glycolysis/gluconeogenesis
445975.6.peg.161,Metabolic:Galactose metabolism
445975.6.peg.171,Metabolic:Exchange/demand reaction
445975.6.peg.172,Metabolic:Exchange/demand reaction
445975.6.peg.180,Metabolic:Glyoxylate and dicarboxylate metabolism
445975.6.peg.183,Metabolic:Citric acid cycle
445975.6.peg.185,Metabolic:Nucleotide interconversion
445975.6.peg.189,Translation
445975.6.peg.190,Translation
445975.6.peg.195,"Metabolic:Transport, extracellular"
445975.6.peg.196,Metabolic:Starch and sucrose metabolism
445975.6.peg.208,Metabolic:Exchange/demand reaction
445975.6.peg.221,Metabolic:Alanine and aspartate metabolism
445975.6.peg.222,Metabolic:Nucleotide interconversion
445975.6.peg.266,Metabolic:Exchange/demand reaction
445975.6.peg.267,Metabolic:Exchange/demand reaction
445975.6.peg.279,Metabolic:Nucleotide interconversion
445975.6.peg.284,Metabolic:Aminosugar metabolism
445975.6.peg.289,tRNA-Charging
445975.6.peg.290,tRNA-Charging
445975.6.peg.291,Metabolic:Cell wall biosynthesis
445975.6.peg.292,"Metabolic:Transport, extracellular"
445975.6.peg.294,Metabolic:Aminosugar metabolism
445975.6.peg.295,Metabolic:Histidine metabolism
445975.6.peg.296,Metabolic:Histidine metabolism
445975.6.peg.298,Metabolic:Histidine metabolism
445975.6.peg.299,Metabolic:Histidine metabolism
445975.6.peg.300,Metabolic:Histidine metabolism
445975.6.peg.301,Metabolic:Tyrosine metabolism
445975.6.peg.302,Metabolic:Histidine metabolism
445975.6.peg.303,Metabolic:Histidine metabolism
445975.6.peg.304,Translation
445975.6.peg.312,Metabolic:Phenylalanine metabolism
445975.6.peg.321,Metabolic:Alanine and aspartate metabolism
445975.6.peg.325,Metabolic:NAD metabolism
445975.6.peg.335,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
445975.6.peg.338,Metabolic:Nucleotide interconversion
445975.6.peg.359,Metabolic:Galactose metabolism
445975.6.peg.361,Metabolic:Exchange/demand reaction
445975.6.peg.362,Metabolic:Exchange/demand reaction
445975.6.peg.363,Metabolic:Aminosugar metabolism
445975.6.peg.364,tRNA-Charging
445975.6.peg.365,tRNA-Charging
445975.6.peg.366,Translation
445975.6.peg.367,tRNA-Charging
445975.6.peg.370,Metabolic:Purine synthesis
445975.6.peg.371,tRNA-Charging
445975.6.peg.372,tRNA-Charging
445975.6.peg.375,Metabolic:Glycolysis/gluconeogenesis
445975.6.peg.377,Metabolic:Cell wall biosynthesis
445975.6.peg.378,Metabolic:Cell wall biosynthesis
445975.6.peg.379,Metabolic:Cell wall biosynthesis
445975.6.peg.383,tRNA-Charging
445975.6.peg.384,tRNA-Charging
445975.6.peg.385,tRNA-Charging
445975.6.peg.386,tRNA-Charging
445975.6.peg.387,tRNA-Charging
445975.6.peg.388,tRNA-Charging
445975.6.peg.389,tRNA-Charging
445975.6.peg.390,tRNA-Charging
445975.6.peg.391,tRNA-Charging
445975.6.peg.392,tRNA-Charging
445975.6.peg.393,tRNA-Charging
445975.6.peg.394,tRNA-Charging
445975.6.peg.408,tRNA-Charging
445975.6.peg.409,tRNA-Charging
445975.6.peg.410,tRNA-Charging
445975.6.peg.411,tRNA-Charging
445975.6.peg.412,tRNA-Charging
445975.6.peg.413,tRNA-Charging
445975.6.peg.414,tRNA-Charging
445975.6.peg.415,tRNA-Charging
445975.6.peg.417,Metabolic:Nucleotide interconversion
445975.6.peg.418,Metabolic:Glutathione metabolism
445975.6.peg.419,Translation
445975.6.peg.420,tRNA-Charging
445975.6.peg.421,tRNA-Charging
445975.6.peg.422,tRNA-Charging
445975.6.peg.423,tRNA-Charging
445975.6.peg.424,Metabolic:Exchange/demand reaction
445975.6.peg.425,tRNA-Charging
445975.6.peg.427,Metabolic:Pyrimidine synthesis
445975.6.peg.429,Metabolic:Cell wall biosynthesis
445975.6.peg.432,tRNA-Charging
445975.6.peg.434,Metabolic:Nucleotide interconversion
445975.6.peg.437,Metabolic:Citric acid cycle
445975.6.peg.438,tRNA-Charging
445975.6.peg.440,Post-translation
445975.6.peg.441,Translation
445975.6.peg.450,"Metabolic:Transport, extracellular"
445975.6.peg.455,Metabolic:Bile acid metabolism
445975.6.peg.462,Metabolic:Pyruvate metabolism
445975.6.peg.464,Metabolic:Pyruvate metabolism
445975.6.peg.465,Metabolic:Aminosugar metabolism
445975.6.peg.473,Metabolic:Alanine and aspartate metabolism
445975.6.peg.484,Translation
445975.6.peg.486,tRNA-Charging
445975.6.peg.487,Translation
445975.6.peg.492,Metabolic:Nucleotide interconversion
445975.6.peg.496,Metabolic:Glycolysis/gluconeogenesis
445975.6.peg.497,Metabolic:Glycolysis/gluconeogenesis
445975.6.peg.498,"Metabolic:Transport, extracellular"
445975.6.peg.499,"Metabolic:Transport, extracellular"
445975.6.peg.501,Metabolic:Starch and sucrose metabolism
445975.6.peg.503,"Metabolic:Transport, extracellular"
445975.6.peg.505,Translation
445975.6.peg.506,Metabolic:Glyoxylate and dicarboxylate metabolism
445975.6.peg.508,"Metabolic:Transport, extracellular"
445975.6.peg.509,"Metabolic:Transport, extracellular"
445975.6.peg.510,"Metabolic:Transport, extracellular"
445975.6.peg.511,"Metabolic:Transport, extracellular"
445975.6.peg.517,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
445975.6.peg.518,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
445975.6.peg.527,"Metabolic:Transport, extracellular"
445975.6.peg.528,Metabolic:Glycolysis/gluconeogenesis
445975.6.peg.532,"Metabolic:Transport, extracellular"
445975.6.peg.535,Metabolic:Aminosugar metabolism
445975.6.peg.536,Metabolic:Aminosugar metabolism
445975.6.peg.541,"Metabolic:Transport, extracellular"
445975.6.peg.542,Metabolic:Citric acid cycle
445975.6.peg.547,"Metabolic:Transport, extracellular"
445975.6.peg.552,Metabolic:Glycolysis/gluconeogenesis
445975.6.peg.553,Metabolic:Aminosugar metabolism
445975.6.peg.555,"Metabolic:Transport, extracellular"
445975.6.peg.556,"Metabolic:Transport, extracellular"
445975.6.peg.557,"Metabolic:Transport, extracellular"
445975.6.peg.565,Metabolic:Nucleotide interconversion
445975.6.peg.577,Metabolic:Pentose phosphate pathway
445975.6.peg.580,Metabolic:Thiamine metabolism
445975.6.peg.583,Metabolic:Nucleotide salvage pathway
445975.6.peg.585,Metabolic:Alanine and aspartate metabolism
445975.6.peg.594,"Metabolic:Transport, extracellular"
445975.6.peg.598,Metabolic:Pentose phosphate pathway
445975.6.peg.600,Metabolic:Pentose phosphate pathway
445975.6.peg.601,Metabolic:Pentose phosphate pathway
445975.6.peg.606,Metabolic:Cell wall biosynthesis
445975.6.peg.609,Metabolic:Alanine and aspartate metabolism
445975.6.peg.612,Translation
445975.6.peg.624,Metabolic:Cholesterol metabolism
445975.6.peg.625,Metabolic:Galactose metabolism
445975.6.peg.629,"Metabolic:Transport, extracellular"
445975.6.peg.631,Metabolic:Cell wall biosynthesis
445975.6.peg.633,Metabolic:Terpenoid backbone biosynthesis
445975.6.peg.635,Metabolic:Aminosugar metabolism
445975.6.peg.636,Metabolic:Aminosugar metabolism
445975.6.peg.642,Metabolic:Fructose and mannose metabolism
445975.6.peg.643,Metabolic:Pentose phosphate pathway
