,subsystem
g.27062.CDS.2,Metabolic:Pentose and glucuronate interconversions
g.27062.CDS.16,Metabolic:Citric acid cycle
g.27062.CDS.21,Metabolic:Cell wall biosynthesis
g.27062.CDS.22,Metabolic:Aminophosphonate metabolism
g.27062.CDS.23,Metabolic:Glycolysis/gluconeogenesis
g.27062.CDS.30,Metabolic:Nucleotide interconversion
g.27062.CDS.33,Metabolic:Lipopolysaccharide biosynthesis
g.27062.CDS.34,tRNA-Charging
g.27062.CDS.35,Metabolic:Pentose and glucuronate interconversions
g.27062.CDS.41,Translation
g.27062.CDS.44,Metabolic:Tyrosine metabolism
g.27062.CDS.48,Metabolic:Pyruvate metabolism
g.27062.CDS.54,Metabolic:Biotin metabolism
g.27062.CDS.63,Metabolic:Purine catabolism
g.27062.CDS.65,Metabolic:Tyrosine metabolism
g.27062.CDS.66,Metabolic:Pentose and glucuronate interconversions
g.27062.CDS.68,Metabolic:Pentose phosphate pathway
g.27062.CDS.73,Metabolic:Citric acid cycle
g.27062.CDS.74,tRNA-Charging
g.27062.CDS.76,tRNA-Charging
g.27062.CDS.78,Metabolic:Lipopolysaccharide biosynthesis
g.27062.CDS.79,Metabolic:O-Glycan degradation
g.27062.CDS.85,"Metabolic:Transport, extracellular"
g.27062.CDS.94,"Metabolic:Transport, extracellular"
g.27062.CDS.96,Translation
g.27062.CDS.103,"Metabolic:Transport, extracellular"
g.27062.CDS.106,Metabolic:Arginine and proline metabolism
g.27062.CDS.110,"Metabolic:Transport, extracellular"
g.27062.CDS.111,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.27062.CDS.113,Metabolic:Folate metabolism
g.27062.CDS.115,Metabolic:Phosphonate and phosphinate metabolism
g.27062.CDS.120,Metabolic:Aminosugar metabolism
g.27062.CDS.121,Translation
g.27062.CDS.122,"Metabolic:Transport, extracellular"
g.27062.CDS.127,Metabolic:Methionine and cysteine metabolism
g.27062.CDS.129,Metabolic:Fructose and mannose metabolism
g.27062.CDS.138,"Metabolic:Transport, extracellular"
g.27062.CDS.139,Metabolic:Lipopolysaccharide biosynthesis
g.27062.CDS.143,"Metabolic:Transport, extracellular"
g.27062.CDS.144,Metabolic:Nucleotide interconversion
g.27062.CDS.146,Metabolic:Biotin metabolism
g.27062.CDS.154,"Metabolic:Transport, extracellular"
g.27062.CDS.155,tRNA-Charging
g.27062.CDS.157,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.27062.CDS.158,Translation
g.27062.CDS.159,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.27062.CDS.162,"Metabolic:Transport, extracellular"
g.27062.CDS.166,"Metabolic:Transport, extracellular"
g.27062.CDS.171,Translation
g.27062.CDS.173,Metabolic:Tyrosine metabolism
g.27062.CDS.183,Metabolic:Cell wall biosynthesis
g.27062.CDS.187,tRNA-Charging
640513.3.peg.192,"Metabolic:Valine, leucine, and isoleucine metabolism"
640513.3.peg.193,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.27062.CDS.197,Metabolic:Phenylalanine metabolism
g.27062.CDS.199,Metabolic:Glyoxylate and dicarboxylate metabolism
g.27062.CDS.204,Metabolic:Vitamin B6 metabolism
g.27062.CDS.206,Metabolic:Nucleotide interconversion
g.27062.CDS.209,tRNA-Charging
g.27062.CDS.212,Metabolic:Pyruvate metabolism
g.27062.CDS.215,tRNA-Charging
g.27062.CDS.218,"Metabolic:Transport, extracellular"
g.27062.CDS.219,tRNA-Charging
g.27062.CDS.220,Metabolic:Galactose metabolism
g.27062.CDS.221,Metabolic:Pyruvate metabolism
g.27062.CDS.225,Metabolic:Lipopolysaccharide biosynthesis
g.27062.CDS.237,Metabolic:Urea cycle
g.27062.CDS.238,tRNA-Charging
g.27062.CDS.242,"Metabolic:Transport, extracellular"
g.27062.CDS.246,"Metabolic:Transport, extracellular"
g.27062.CDS.249,"Metabolic:Transport, extracellular"
g.27062.CDS.255,Metabolic:Propanoate metabolism
640513.3.peg.262,Metabolic:Pyrimidine synthesis
g.27062.CDS.263,Metabolic:Exchange/demand reaction
640513.3.peg.265,Metabolic:CoA synthesis
g.27062.CDS.266,Transcription
g.27062.CDS.267,Metabolic:Exchange/demand reaction
g.27062.CDS.270,Metabolic:Heme synthesis
640513.3.peg.270,Metabolic:CoA synthesis
g.27062.CDS.271,"Metabolic:Transport, extracellular"
g.27062.CDS.273,Metabolic:Exchange/demand reaction
g.27062.CDS.275,Metabolic:Pentose and glucuronate interconversions
g.27062.CDS.277,Translation
g.27062.CDS.280,Translation
640513.3.peg.280,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
640513.3.peg.281,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.27062.CDS.285,Post-translation
g.27062.CDS.288,Metabolic:Citric acid cycle
640513.3.peg.288,Metabolic:Glycolysis/gluconeogenesis
g.27062.CDS.289,Metabolic:Respiration
g.27062.CDS.293,Metabolic:Fructose and mannose metabolism
640513.3.peg.293,Metabolic:Methionine and cysteine metabolism
g.27062.CDS.296,Metabolic:Oxidative phosphorylation
g.27062.CDS.301,"Metabolic:Transport, extracellular"
g.27062.CDS.304,Metabolic:Pentose phosphate pathway
g.27062.CDS.308,Metabolic:Cell wall biosynthesis
640513.3.peg.327,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.27062.CDS.328,"Metabolic:Transport, extracellular"
g.27062.CDS.330,Metabolic:Arginine and proline metabolism
g.27062.CDS.335,"Metabolic:Transport, extracellular"
g.27062.CDS.338,"Metabolic:Transport, extracellular"
g.27062.CDS.339,Metabolic:Pyruvate metabolism
g.27062.CDS.342,Metabolic:Aminobenzoate degradation
g.27062.CDS.348,Transcription
g.27062.CDS.350,"Metabolic:Transport, extracellular"
g.27062.CDS.356,Metabolic:Tyrosine metabolism
g.27062.CDS.358,Metabolic:NAD metabolism
g.27062.CDS.362,Metabolic:Lipopolysaccharide biosynthesis
g.27062.CDS.368,"Metabolic:Transport, extracellular"
640513.3.peg.369,Metabolic:CoA synthesis
g.27062.CDS.371,Metabolic:Others
g.27062.CDS.373,Metabolic:Respiration
640513.3.peg.384,Metabolic:Thiamine metabolism
g.27062.CDS.387,Metabolic:Glycerophospholipid metabolism
640513.3.peg.387,Metabolic:Thiamine metabolism
640513.3.peg.388,Metabolic:Thiamine metabolism
g.27062.CDS.392,Transcription
640513.3.peg.396,Metabolic:Purine synthesis
640513.3.peg.397,Metabolic:Purine synthesis
640513.3.peg.399,Metabolic:Methionine and cysteine metabolism
g.27062.CDS.400,"Metabolic:Transport, extracellular"
640513.3.peg.400,Metabolic:Citric acid cycle
640513.3.peg.401,Metabolic:Citric acid cycle
640513.3.peg.404,Metabolic:Methionine and cysteine metabolism
g.27062.CDS.406,Metabolic:Exchange/demand reaction
g.27062.CDS.409,Metabolic:Pentose phosphate pathway
640513.3.peg.411,Metabolic:Alanine and aspartate metabolism
640513.3.peg.412,Metabolic:Glycolysis/gluconeogenesis
g.27062.CDS.414,Metabolic:Lysine metabolism
g.27062.CDS.415,Post-translation
g.27062.CDS.417,Metabolic:Lipopolysaccharide biosynthesis
g.27062.CDS.418,Metabolic:Cell wall biosynthesis
g.27062.CDS.420,"Metabolic:Transport, extracellular"
g.27062.CDS.421,"Metabolic:Transport, extracellular"
g.27062.CDS.425,"Metabolic:Transport, extracellular"
g.27062.CDS.436,Metabolic:Lipopolysaccharide biosynthesis
g.27062.CDS.444,Metabolic:Lipoate metabolism
640513.3.peg.444,Metabolic:Alanine and aspartate metabolism
g.27062.CDS.448,Metabolic:Respiration
g.27062.CDS.449,Metabolic:Aminosugar metabolism
g.27062.CDS.453,Metabolic:Tyrosine metabolism
640513.3.peg.453,Metabolic:Phenylalanine metabolism
g.27062.CDS.457,Metabolic:NAD metabolism
g.27062.CDS.460,Metabolic:Ascorbate and aldarate metabolism
g.27062.CDS.464,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.27062.CDS.471,Metabolic:Pyrimidine catabolism
g.27062.CDS.472,"Metabolic:Transport, extracellular"
g.27062.CDS.476,Metabolic:Pentose and glucuronate interconversions
g.27062.CDS.485,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.27062.CDS.491,"Metabolic:Transport, extracellular"
g.27062.CDS.493,Metabolic:Vitamin B12 metabolism
g.27062.CDS.494,"Metabolic:Transport, extracellular"
g.27062.CDS.496,tRNA-Charging
g.27062.CDS.497,"Metabolic:Transport, extracellular"
g.27062.CDS.501,Metabolic:Nucleotide interconversion
g.27062.CDS.502,Metabolic:Nucleotide interconversion
