,subsystem
411463.4.peg.1,"Metabolic:Transport, extracellular"
411463.4.peg.11,Metabolic:NAD metabolism
411463.4.peg.14,tRNA-Charging
411463.4.peg.15,tRNA-Charging
411463.4.peg.18,Transcription
411463.4.peg.21,Metabolic:Methionine and cysteine metabolism
411463.4.peg.22,Metabolic:Histidine metabolism
411463.4.peg.23,Metabolic:Histidine metabolism
411463.4.peg.24,Metabolic:Histidine metabolism
411463.4.peg.25,Metabolic:Histidine metabolism
411463.4.peg.26,Metabolic:Histidine metabolism
411463.4.peg.29,Translation
411463.4.peg.30,Translation
411463.4.peg.37,Metabolic:CoA synthesis
411463.4.peg.58,Metabolic:Terpenoid backbone biosynthesis
411463.4.peg.70,Metabolic:Cell wall biosynthesis
411463.4.peg.71,Metabolic:Alanine and aspartate metabolism
411463.4.peg.74,Translation
411463.4.peg.75,Translation
411463.4.peg.79,tRNA-Charging
411463.4.peg.86,Metabolic:Alanine and aspartate metabolism
411463.4.peg.94,Metabolic:Oxidative phosphorylation
411463.4.peg.97,Metabolic:Citric acid cycle
411463.4.peg.99,Metabolic:Arginine and proline metabolism
411463.4.peg.100,Metabolic:Arginine and proline metabolism
411463.4.peg.112,Metabolic:Pyruvate metabolism
411463.4.peg.152,Metabolic:Glycerophospholipid metabolism
411463.4.peg.155,Metabolic:Glutamate metabolism
411463.4.peg.157,Metabolic:Terpenoid backbone biosynthesis
411463.4.peg.162,Metabolic:Exchange/demand reaction
411463.4.peg.164,"Metabolic:Transport, extracellular"
411463.4.peg.165,Metabolic:Methionine and cysteine metabolism
411463.4.peg.167,"Metabolic:Valine, leucine, and isoleucine metabolism"
411463.4.peg.168,Metabolic:Aminosugar metabolism
411463.4.peg.170,Metabolic:Phenylalanine metabolism
411463.4.peg.174,Metabolic:Exchange/demand reaction
411463.4.peg.176,Metabolic:Starch and sucrose metabolism
411463.4.peg.177,Metabolic:Methionine and cysteine metabolism
411463.4.peg.178,Metabolic:Methionine and cysteine metabolism
411463.4.peg.182,"Metabolic:Transport, extracellular"
411463.4.peg.183,Metabolic:Pentose phosphate pathway
411463.4.peg.184,Metabolic:Pentose phosphate pathway
411463.4.peg.188,Metabolic:Exchange/demand reaction
411463.4.peg.195,"Metabolic:Transport, extracellular"
411463.4.peg.196,"Metabolic:Transport, extracellular"
411463.4.peg.197,Metabolic:Exchange/demand reaction
411463.4.peg.202,Metabolic:Cell wall biosynthesis
411463.4.peg.203,Metabolic:Glycolysis/gluconeogenesis
411463.4.peg.207,Metabolic:Nucleotide interconversion
411463.4.peg.209,Metabolic:NAD metabolism
411463.4.peg.210,Metabolic:NAD metabolism
411463.4.peg.211,Metabolic:Glutathione metabolism
