,subsystem
665951.3.peg.14,Metabolic:Pyrimidine catabolism
665951.3.peg.59,tRNA-Charging
665951.3.peg.60,tRNA-Charging
665951.3.peg.61,Metabolic:Glutamate metabolism
665951.3.peg.94,Metabolic:Exchange/demand reaction
665951.3.peg.112,Metabolic:Exchange/demand reaction
665951.3.peg.119,Metabolic:Exchange/demand reaction
665951.3.peg.120,Metabolic:Exchange/demand reaction
665951.3.peg.122,"Metabolic:Valine, leucine, and isoleucine metabolism"
665951.3.peg.128,Metabolic:Pyruvate metabolism
665951.3.peg.131,Metabolic:Unassigned
665951.3.peg.132,Metabolic:Unassigned
665951.3.peg.136,Metabolic:Nucleotide interconversion
665951.3.peg.137,Metabolic:Terpenoid backbone biosynthesis
665951.3.peg.138,Metabolic:Terpenoid backbone biosynthesis
665951.3.peg.146,Metabolic:Terpenoid backbone biosynthesis
665951.3.peg.162,Translation
665951.3.peg.163,Metabolic:CoA synthesis
665951.3.peg.172,Translation
665951.3.peg.177,Translation
665951.3.peg.179,Metabolic:Histidine metabolism
665951.3.peg.180,Metabolic:Histidine metabolism
665951.3.peg.181,Metabolic:Histidine metabolism
665951.3.peg.182,Metabolic:Histidine metabolism
665951.3.peg.183,Metabolic:Histidine metabolism
665951.3.peg.184,Metabolic:Histidine metabolism
665951.3.peg.189,Transcription
665951.3.peg.190,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
665951.3.peg.191,Metabolic:Nucleotide interconversion
665951.3.peg.192,tRNA-Charging
665951.3.peg.194,tRNA-Charging
665951.3.peg.197,Metabolic:NAD metabolism
665951.3.peg.214,Metabolic:Pyruvate metabolism
665951.3.peg.223,Translation
665951.3.peg.224,Metabolic:Nucleotide interconversion
665951.3.peg.237,Translation
665951.3.peg.238,tRNA-Charging
665951.3.peg.239,Metabolic:Vitamin B2 metabolism
665951.3.peg.240,Metabolic:Pyrimidine synthesis
665951.3.peg.242,Translation
665951.3.peg.243,Translation
665951.3.peg.246,Metabolic:Exchange/demand reaction
665951.3.peg.248,Metabolic:Exchange/demand reaction
665951.3.peg.249,Metabolic:Exchange/demand reaction
665951.3.peg.252,tRNA-Charging
665951.3.peg.254,"Metabolic:Valine, leucine, and isoleucine metabolism"
665951.3.peg.255,"Metabolic:Valine, leucine, and isoleucine metabolism"
665951.3.peg.274,Metabolic:Glycerophospholipid metabolism
665951.3.peg.275,Translation
665951.3.peg.276,Transcription
665951.3.peg.277,Metabolic:Nucleotide interconversion
665951.3.peg.281,Metabolic:Phenylalanine metabolism
665951.3.peg.283,Metabolic:Pyrimidine synthesis
665951.3.peg.285,Metabolic:Phenylalanine metabolism
665951.3.peg.290,Metabolic:Nucleotide interconversion
665951.3.peg.292,Metabolic:Glycerophospholipid metabolism
665951.3.peg.293,Metabolic:Cell wall biosynthesis
665951.3.peg.296,Metabolic:Pentose phosphate pathway
665951.3.peg.297,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
665951.3.peg.298,Post-translation
665951.3.peg.299,Metabolic:Exchange/demand reaction
665951.3.peg.300,Metabolic:Exchange/demand reaction
665951.3.peg.301,Metabolic:Fatty acid synthesis
665951.3.peg.302,Metabolic:Cell wall biosynthesis
665951.3.peg.304,tRNA-Charging
665951.3.peg.306,Metabolic:Pyruvate metabolism
665951.3.peg.307,Metabolic:Pyruvate metabolism
665951.3.peg.308,"Metabolic:Transport, extracellular"
665951.3.peg.310,Metabolic:Citric acid cycle
665951.3.peg.313,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
665951.3.peg.314,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
665951.3.peg.315,"Metabolic:Valine, leucine, and isoleucine metabolism"
665951.3.peg.316,"Metabolic:Valine, leucine, and isoleucine metabolism"
665951.3.peg.317,"Metabolic:Valine, leucine, and isoleucine metabolism"
