,subsystem
g.25584.CDS.0,Metabolic:Pentose phosphate pathway
g.25584.CDS.7,Metabolic:Biotin metabolism
g.25584.CDS.13,Metabolic:Glutamate metabolism
g.25584.CDS.17,"Metabolic:Transport, extracellular"
g.25584.CDS.18,Metabolic:Glycerophospholipid metabolism
g.25584.CDS.19,"Metabolic:Transport, extracellular"
g.25584.CDS.20,Metabolic:Exchange/demand reaction
g.25584.CDS.21,Metabolic:Tyrosine metabolism
g.25584.CDS.23,"Metabolic:Transport, extracellular"
1215915.3.peg.23,Metabolic:Glutamate metabolism
1215915.3.peg.24,Metabolic:Glutamate metabolism
g.25584.CDS.27,tRNA-Charging
g.25584.CDS.30,Metabolic:Vitamin B6 metabolism
g.25584.CDS.31,Metabolic:Glycerophospholipid metabolism
g.25584.CDS.35,tRNA-Charging
g.25584.CDS.36,Metabolic:Pyruvate metabolism
g.25584.CDS.37,Metabolic:ROS detoxification
g.25584.CDS.42,Translation
g.25584.CDS.50,Metabolic:Respiration
g.25584.CDS.54,Metabolic:Fatty acid synthesis
1215915.3.peg.69,Metabolic:Methionine and cysteine metabolism
g.25584.CDS.77,Transcription
g.25584.CDS.78,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.25584.CDS.79,Metabolic:Terpenoid backbone biosynthesis
1215915.3.peg.79,Metabolic:Pentose phosphate pathway
g.25584.CDS.82,Translation
g.25584.CDS.85,Metabolic:Fructose and mannose metabolism
1215915.3.peg.87,Metabolic:Phenylalanine metabolism
g.25584.CDS.88,tRNA-Charging
1215915.3.peg.88,Metabolic:Tyrosine metabolism
g.25584.CDS.89,Metabolic:Exchange/demand reaction
1215915.3.peg.91,Metabolic:Phenylalanine metabolism
1215915.3.peg.92,Metabolic:Urea cycle
1215915.3.peg.93,Metabolic:Arginine and proline metabolism
g.25584.CDS.94,Translation
g.25584.CDS.96,tRNA-Charging
g.25584.CDS.97,Metabolic:Arginine and proline metabolism
g.25584.CDS.98,Metabolic:Nucleotide interconversion
g.25584.CDS.99,Translation
1215915.3.peg.104,Metabolic:Methionine and cysteine metabolism
g.25584.CDS.109,Post-translation
g.25584.CDS.110,Metabolic:Phenylalanine metabolism
1215915.3.peg.111,Metabolic:CoA synthesis
g.25584.CDS.113,"Metabolic:Transport, extracellular"
g.25584.CDS.114,Metabolic:Folate metabolism
g.25584.CDS.116,tRNA-Charging
g.25584.CDS.119,tRNA-Charging
1215915.3.peg.121,Metabolic:Methionine and cysteine metabolism
g.25584.CDS.127,tRNA-Charging
g.25584.CDS.128,tRNA-Charging
g.25584.CDS.129,Metabolic:Methionine and cysteine metabolism
g.25584.CDS.133,"Metabolic:Transport, extracellular"
g.25584.CDS.134,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.25584.CDS.136,Metabolic:Histidine metabolism
g.25584.CDS.138,Metabolic:Exchange/demand reaction
1215915.3.peg.139,Metabolic:Thiamine metabolism
1215915.3.peg.143,Metabolic:CoA synthesis
g.25584.CDS.148,"Metabolic:Transport, extracellular"
g.25584.CDS.154,"Metabolic:Transport, extracellular"
g.25584.CDS.157,tRNA-Charging
g.25584.CDS.160,"Metabolic:Transport, extracellular"
g.25584.CDS.164,Metabolic:Pyruvate metabolism
g.25584.CDS.167,tRNA-Charging
g.25584.CDS.168,Metabolic:Pyruvate metabolism
1215915.3.peg.168,Metabolic:Nucleotide interconversion
g.25584.CDS.170,Metabolic:Cell wall biosynthesis
g.25584.CDS.171,Metabolic:Sulfur metabolism
1215915.3.peg.173,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.25584.CDS.176,tRNA-Charging
1215915.3.peg.176,Metabolic:Folate metabolism
g.25584.CDS.181,"Metabolic:Transport, extracellular"
g.25584.CDS.184,Metabolic:Exchange/demand reaction
g.25584.CDS.189,Translation
g.25584.CDS.191,tRNA-Charging
1215915.3.peg.197,Metabolic:Purine synthesis
g.25584.CDS.203,tRNA-Charging
g.25584.CDS.204,Metabolic:Exchange/demand reaction
g.25584.CDS.205,"Metabolic:Transport, extracellular"
g.25584.CDS.206,tRNA-Charging
g.25584.CDS.208,Metabolic:Respiration
g.25584.CDS.210,tRNA-Charging
1215915.3.peg.215,Metabolic:Glycolysis/gluconeogenesis
g.25584.CDS.220,Transcription
1215915.3.peg.221,Metabolic:Folate metabolism
1215915.3.peg.224,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
1215915.3.peg.225,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.25584.CDS.228,Translation
g.25584.CDS.229,Translation
g.25584.CDS.230,Metabolic:Biotin metabolism
g.25584.CDS.231,Metabolic:Nucleotide interconversion
g.25584.CDS.232,Metabolic:Exchange/demand reaction
g.25584.CDS.237,Metabolic:Glycerophospholipid metabolism
g.25584.CDS.238,Metabolic:Exchange/demand reaction
g.25584.CDS.239,Metabolic:Purine catabolism
g.25584.CDS.240,Metabolic:Lipoate metabolism
g.25584.CDS.243,Metabolic:Glycolysis/gluconeogenesis
g.25584.CDS.252,Metabolic:Glycolysis/gluconeogenesis
g.25584.CDS.253,Metabolic:Phenylalanine metabolism
g.25584.CDS.255,tRNA-Charging
g.25584.CDS.256,Metabolic:Pyruvate metabolism
g.25584.CDS.261,"Metabolic:Transport, extracellular"
g.25584.CDS.264,"Metabolic:Transport, extracellular"
g.25584.CDS.265,Metabolic:Histidine metabolism
g.25584.CDS.268,Metabolic:Arginine and proline metabolism
g.25584.CDS.271,"Metabolic:Transport, extracellular"
1215915.3.peg.271,Metabolic:Histidine metabolism
1215915.3.peg.274,Metabolic:Histidine metabolism
1215915.3.peg.275,Metabolic:Histidine metabolism
g.25584.CDS.276,Metabolic:Nucleotide interconversion
1215915.3.peg.276,Metabolic:Histidine metabolism
1215915.3.peg.277,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
1215915.3.peg.280,Metabolic:Histidine metabolism
1215915.3.peg.281,Metabolic:Histidine metabolism
1215915.3.peg.282,Metabolic:Histidine metabolism
1215915.3.peg.283,Metabolic:Tyrosine metabolism
g.25584.CDS.284,Metabolic:Vitamin B6 metabolism
g.25584.CDS.293,Metabolic:Vitamin B2 metabolism
g.25584.CDS.300,tRNA-Charging
g.25584.CDS.302,"Metabolic:Transport, extracellular"
g.25584.CDS.306,tRNA-Charging
1215915.3.peg.308,Metabolic:Glycolysis/gluconeogenesis
g.25584.CDS.313,Metabolic:Fatty acid synthesis
g.25584.CDS.318,Metabolic:Lipopolysaccharide biosynthesis
g.25584.CDS.320,Translation
g.25584.CDS.329,Metabolic:Glutamate metabolism
1215915.3.peg.332,Metabolic:Pyrimidine synthesis
g.25584.CDS.336,Metabolic:Pentose phosphate pathway
g.25584.CDS.339,Metabolic:Tetrahydrobiopterin metabolism
1215915.3.peg.340,Metabolic:Glycolysis/gluconeogenesis
g.25584.CDS.348,tRNA-Charging
g.25584.CDS.354,Metabolic:Starch and sucrose metabolism
g.25584.CDS.357,Metabolic:Exchange/demand reaction
1215915.3.peg.358,Metabolic:Methionine and cysteine metabolism
g.25584.CDS.360,Metabolic:Glutamate metabolism
g.25584.CDS.361,Translation
g.25584.CDS.369,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.25584.CDS.370,Metabolic:Butanoate metabolism
g.25584.CDS.375,Metabolic:Glycolysis/gluconeogenesis
g.25584.CDS.376,Metabolic:Exchange/demand reaction
g.25584.CDS.377,Metabolic:Fatty acid synthesis
g.25584.CDS.379,Metabolic:Sulfur metabolism
g.25584.CDS.381,Metabolic:Starch and sucrose metabolism
g.25584.CDS.382,Metabolic:Pyruvate metabolism
g.25584.CDS.383,tRNA-Charging
g.25584.CDS.388,Metabolic:Glycolysis/gluconeogenesis
g.25584.CDS.390,Metabolic:Pyrimidine catabolism
g.25584.CDS.391,Metabolic:Galactose metabolism
g.25584.CDS.394,Metabolic:Terpenoid backbone biosynthesis
g.25584.CDS.395,tRNA-Charging
g.25584.CDS.397,Metabolic:Respiration
g.25584.CDS.399,Translation
g.25584.CDS.400,tRNA-Charging
g.25584.CDS.405,Metabolic:Methionine and cysteine metabolism
g.25584.CDS.408,"Metabolic:Transport, extracellular"
1215915.3.peg.409,Metabolic:Glycolysis/gluconeogenesis
1215915.3.peg.411,Metabolic:Methionine and cysteine metabolism
g.25584.CDS.413,"Metabolic:Transport, extracellular"
g.25584.CDS.414,Metabolic:Glycerophospholipid metabolism
g.25584.CDS.416,Metabolic:Cell wall biosynthesis
g.25584.CDS.422,Metabolic:Terpenoid backbone biosynthesis
g.25584.CDS.427,Translation
g.25584.CDS.428,Metabolic:Aminosugar metabolism
g.25584.CDS.429,Metabolic:Pentose and glucuronate interconversions
g.25584.CDS.430,Metabolic:Exchange/demand reaction
g.25584.CDS.431,Metabolic:Histidine metabolism
1215915.3.peg.433,Metabolic:Glycolysis/gluconeogenesis
g.25584.CDS.437,tRNA-Charging
1215915.3.peg.437,Metabolic:CoA synthesis
g.25584.CDS.445,Metabolic:Sulfur metabolism
g.25584.CDS.457,"Metabolic:Transport, extracellular"
g.25584.CDS.458,Metabolic:Cell wall biosynthesis
1215915.3.peg.462,Metabolic:Thiamine metabolism
1215915.3.peg.463,Metabolic:Alanine and aspartate metabolism
g.25584.CDS.473,"Metabolic:Transport, extracellular"
1215915.3.peg.473,Metabolic:Cell wall biosynthesis
g.25584.CDS.476,Metabolic:Aminosugar metabolism
g.25584.CDS.478,Metabolic:Nucleotide interconversion
g.25584.CDS.481,Metabolic:Exchange/demand reaction
g.25584.CDS.483,Metabolic:Glutamate metabolism
g.25584.CDS.491,Metabolic:Aminosugar metabolism
g.25584.CDS.495,Metabolic:Folate metabolism
g.25584.CDS.501,Metabolic:Phenylalanine metabolism
g.25584.CDS.502,Metabolic:Lipopolysaccharide biosynthesis
g.25584.CDS.504,"Metabolic:Transport, extracellular"
g.25584.CDS.506,Metabolic:Glycolysis/gluconeogenesis
g.25584.CDS.509,Metabolic:Nucleotide interconversion
1215915.3.peg.512,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.25584.CDS.515,Metabolic:Glutathione metabolism
g.25584.CDS.516,Metabolic:Glutathione metabolism
g.25584.CDS.521,tRNA-Charging
g.25584.CDS.522,Metabolic:Cell wall biosynthesis
g.25584.CDS.525,Metabolic:Terpenoid backbone biosynthesis
g.25584.CDS.526,Metabolic:Fructose and mannose metabolism
g.25584.CDS.528,Post-translation
g.25584.CDS.533,Metabolic:Exchange/demand reaction
g.25584.CDS.536,tRNA-Charging
g.25584.CDS.539,tRNA-Charging
g.25584.CDS.541,Metabolic:Pentose phosphate pathway
g.25584.CDS.542,Metabolic:Pentose phosphate pathway
g.25584.CDS.543,Metabolic:Nucleotide interconversion
g.25584.CDS.544,Metabolic:Citric acid cycle
g.25584.CDS.545,"Metabolic:Transport, extracellular"
g.25584.CDS.549,"Metabolic:Transport, extracellular"
g.25584.CDS.551,Metabolic:Pentose phosphate pathway
g.25584.CDS.554,"Metabolic:Transport, extracellular"
g.25584.CDS.555,"Metabolic:Transport, extracellular"
g.25584.CDS.558,tRNA-Charging
g.25584.CDS.563,tRNA-Charging
g.25584.CDS.564,Metabolic:Exchange/demand reaction
g.25584.CDS.567,Metabolic:Biotin metabolism
g.25584.CDS.568,tRNA-Charging
g.25584.CDS.569,Transcription
g.25584.CDS.573,"Metabolic:Transport, extracellular"
g.25584.CDS.574,Metabolic:Pentose phosphate pathway
g.25584.CDS.575,"Metabolic:Transport, extracellular"
1215915.3.peg.577,Metabolic:Purine synthesis
g.25584.CDS.578,Metabolic:Exchange/demand reaction
g.25584.CDS.580,tRNA-Charging
g.25584.CDS.581,Metabolic:Pyruvate metabolism
g.25584.CDS.583,Metabolic:Exchange/demand reaction
g.25584.CDS.584,Metabolic:Arginine and proline metabolism
1215915.3.peg.585,Metabolic:Glutamate metabolism
g.25584.CDS.594,"Metabolic:Transport, extracellular"
g.25584.CDS.595,Metabolic:Pentose phosphate pathway
g.25584.CDS.599,Metabolic:Cell wall biosynthesis
g.25584.CDS.605,tRNA-Charging
g.25584.CDS.607,"Metabolic:Transport, extracellular"
g.25584.CDS.613,Metabolic:Pyruvate metabolism
g.25584.CDS.618,Translation
g.25584.CDS.621,Metabolic:Terpenoid backbone biosynthesis
g.25584.CDS.634,Metabolic:Exchange/demand reaction
g.25584.CDS.641,tRNA-Charging
g.25584.CDS.643,Metabolic:Pyruvate metabolism
g.25584.CDS.648,tRNA-Charging
g.25584.CDS.650,Metabolic:Exchange/demand reaction
g.25584.CDS.652,"Metabolic:Transport, extracellular"
g.25584.CDS.657,Metabolic:Glutamate metabolism
g.25584.CDS.659,Translation
g.25584.CDS.666,"Metabolic:Transport, extracellular"
g.25584.CDS.668,Metabolic:Methionine and cysteine metabolism
