,subsystem
565047.3.peg.1,Metabolic:Exchange/demand reaction
565047.3.peg.2,Metabolic:Exchange/demand reaction
565047.3.peg.6,Metabolic:Exchange/demand reaction
565047.3.peg.7,Metabolic:Exchange/demand reaction
565047.3.peg.8,Metabolic:Glycerophospholipid metabolism
565047.3.peg.9,Metabolic:Arginine and proline metabolism
565047.3.peg.11,Metabolic:Squalene and cholesterol synthesis
565047.3.peg.12,Metabolic:Squalene and cholesterol synthesis
565047.3.peg.13,Metabolic:Squalene and cholesterol synthesis
565047.3.peg.14,Metabolic:Respiration
565047.3.peg.15,Metabolic:Respiration
565047.3.peg.16,Metabolic:Respiration
565047.3.peg.17,Metabolic:Respiration
565047.3.peg.18,Metabolic:Starch and sucrose metabolism
565047.3.peg.22,"Metabolic:Transport, extracellular"
565047.3.peg.23,"Metabolic:Transport, extracellular"
565047.3.peg.24,"Metabolic:Transport, extracellular"
565047.3.peg.27,"Metabolic:Transport, extracellular"
565047.3.peg.34,"Metabolic:Transport, extracellular"
565047.3.peg.37,Metabolic:Arginine and proline metabolism
565047.3.peg.38,tRNA-Charging
565047.3.peg.39,Metabolic:Exchange/demand reaction
565047.3.peg.40,tRNA-Charging
565047.3.peg.47,tRNA-Charging
565047.3.peg.50,Metabolic:Nucleotide interconversion
565047.3.peg.64,Metabolic:Glyoxylate and dicarboxylate metabolism
565047.3.peg.121,Metabolic:Respiration
565047.3.peg.123,Metabolic:Respiration
565047.3.peg.124,Metabolic:Respiration
565047.3.peg.125,Metabolic:Respiration
565047.3.peg.130,"Metabolic:Transport, extracellular"
565047.3.peg.131,"Metabolic:Transport, extracellular"
565047.3.peg.132,"Metabolic:Transport, extracellular"
565047.3.peg.138,Metabolic:Respiration
565047.3.peg.155,Metabolic:NAD metabolism
565047.3.peg.157,Metabolic:Nucleotide interconversion
565047.3.peg.160,"Metabolic:Transport, extracellular"
565047.3.peg.162,"Metabolic:Transport, extracellular"
565047.3.peg.173,"Metabolic:Transport, extracellular"
565047.3.peg.174,"Metabolic:Transport, extracellular"
565047.3.peg.175,"Metabolic:Transport, extracellular"
565047.3.peg.176,"Metabolic:Transport, extracellular"
565047.3.peg.183,Metabolic:Exchange/demand reaction
565047.3.peg.188,Translation
565047.3.peg.194,tRNA-Charging
565047.3.peg.200,Metabolic:Starch and sucrose metabolism
565047.3.peg.201,Metabolic:Starch and sucrose metabolism
565047.3.peg.205,Translation
565047.3.peg.207,Metabolic:Terpenoid backbone biosynthesis
565047.3.peg.215,Metabolic:Cell wall biosynthesis
565047.3.peg.216,Metabolic:Pentose phosphate pathway
565047.3.peg.227,Metabolic:Pyruvate metabolism
565047.3.peg.228,Translation
565047.3.peg.231,Transcription
565047.3.peg.236,tRNA-Charging
565047.3.peg.238,Metabolic:CoA synthesis
565047.3.peg.240,Metabolic:Methionine and cysteine metabolism
565047.3.peg.241,Metabolic:Folate metabolism
565047.3.peg.242,Metabolic:Folate metabolism
565047.3.peg.243,Metabolic:Folate metabolism
565047.3.peg.246,tRNA-Charging
565047.3.peg.253,Metabolic:Terpenoid backbone biosynthesis
565047.3.peg.254,Metabolic:Terpenoid backbone biosynthesis
565047.3.peg.255,tRNA-Charging
565047.3.peg.257,Metabolic:Methionine and cysteine metabolism
565047.3.peg.258,tRNA-Charging
565047.3.peg.260,Translation
565047.3.peg.264,Transcription
565047.3.peg.266,Translation
565047.3.peg.267,tRNA-Charging
565047.3.peg.268,tRNA-Charging
565047.3.peg.269,tRNA-Charging
565047.3.peg.279,"Metabolic:Transport, extracellular"
565047.3.peg.280,"Metabolic:Transport, extracellular"
565047.3.peg.281,"Metabolic:Transport, extracellular"
565047.3.peg.283,Metabolic:Lipopolysaccharide biosynthesis
565047.3.peg.285,Metabolic:Exchange/demand reaction
565047.3.peg.286,Metabolic:Exchange/demand reaction
565047.3.peg.288,Metabolic:Starch and sucrose metabolism
565047.3.peg.289,Metabolic:Urea cycle
565047.3.peg.293,"Metabolic:Transport, extracellular"
565047.3.peg.296,Metabolic:Starch and sucrose metabolism
565047.3.peg.303,"Metabolic:Transport, extracellular"
565047.3.peg.304,Metabolic:Nucleotide interconversion
565047.3.peg.310,Metabolic:Aminobenzoate degradation
565047.3.peg.311,"Metabolic:Transport, extracellular"
565047.3.peg.313,"Metabolic:Transport, extracellular"
565047.3.peg.314,Metabolic:Methionine and cysteine metabolism
565047.3.peg.315,Metabolic:Exchange/demand reaction
565047.3.peg.316,Metabolic:Exchange/demand reaction
565047.3.peg.324,"Metabolic:Transport, extracellular"
565047.3.peg.325,"Metabolic:Transport, extracellular"
565047.3.peg.326,"Metabolic:Transport, extracellular"
565047.3.peg.327,Metabolic:Starch and sucrose metabolism
565047.3.peg.328,"Metabolic:Transport, extracellular"
565047.3.peg.331,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
565047.3.peg.340,Metabolic:Thiamine metabolism
