,subsystem
g.31042.CDS.0,"Metabolic:Transport, extracellular"
g.31042.CDS.10,Metabolic:Pyruvate metabolism
g.31042.CDS.12,"Metabolic:Transport, extracellular"
1194526.3.peg.12,Metabolic:Methionine and cysteine metabolism
g.31042.CDS.14,Translation
1194526.3.peg.17,Metabolic:Nucleotide interconversion
g.31042.CDS.18,Metabolic:Arginine and proline metabolism
g.31042.CDS.23,"Metabolic:Transport, extracellular"
g.31042.CDS.33,"Metabolic:Transport, extracellular"
g.31042.CDS.35,Metabolic:Histidine metabolism
g.31042.CDS.40,"Metabolic:Transport, extracellular"
1194526.3.peg.45,Metabolic:Arginine and proline metabolism
g.31042.CDS.50,Metabolic:Methane metabolism
g.31042.CDS.51,Metabolic:Methionine and cysteine metabolism
g.31042.CDS.53,tRNA-Charging
g.31042.CDS.66,Metabolic:Terpenoid backbone biosynthesis
g.31042.CDS.69,Metabolic:Pentose phosphate pathway
g.31042.CDS.70,Metabolic:Butanoate metabolism
g.31042.CDS.74,Metabolic:Oxidative phosphorylation
g.31042.CDS.75,Metabolic:Pyruvate metabolism
g.31042.CDS.76,Metabolic:Exchange/demand reaction
g.31042.CDS.80,Metabolic:Vitamin B6 metabolism
g.31042.CDS.85,Metabolic:Arginine and proline metabolism
g.31042.CDS.88,"Metabolic:Transport, extracellular"
g.31042.CDS.97,Metabolic:Cell wall biosynthesis
g.31042.CDS.99,Metabolic:Pyrimidine catabolism
1194526.3.peg.99,Metabolic:Pentose phosphate pathway
1194526.3.peg.100,Metabolic:Pentose phosphate pathway
1194526.3.peg.101,Metabolic:Glycolysis/gluconeogenesis
1194526.3.peg.102,Metabolic:Glycolysis/gluconeogenesis
g.31042.CDS.104,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.31042.CDS.107,Metabolic:Citric acid cycle
g.31042.CDS.111,Metabolic:Exchange/demand reaction
g.31042.CDS.114,Metabolic:Methionine and cysteine metabolism
g.31042.CDS.115,Metabolic:Aminobenzoate degradation
1194526.3.peg.117,Metabolic:Arginine and proline metabolism
g.31042.CDS.127,Metabolic:NAD metabolism
g.31042.CDS.129,Metabolic:Butanoate metabolism
g.31042.CDS.130,"Metabolic:Transport, extracellular"
g.31042.CDS.135,Translation
g.31042.CDS.138,Metabolic:Exchange/demand reaction
g.31042.CDS.142,Metabolic:Fatty acid synthesis
g.31042.CDS.149,tRNA-Charging
g.31042.CDS.150,"Metabolic:Transport, extracellular"
g.31042.CDS.162,Metabolic:Pyruvate metabolism
g.31042.CDS.163,Metabolic:Cell wall biosynthesis
g.31042.CDS.165,"Metabolic:Transport, extracellular"
g.31042.CDS.166,Metabolic:Nucleotide interconversion
g.31042.CDS.170,"Metabolic:Transport, extracellular"
g.31042.CDS.180,tRNA-Charging
1194526.3.peg.182,Metabolic:Vitamin B6 metabolism
g.31042.CDS.183,Translation
g.31042.CDS.187,"Metabolic:Transport, extracellular"
g.31042.CDS.188,Metabolic:Citric acid cycle
g.31042.CDS.194,Metabolic:Exchange/demand reaction
g.31042.CDS.195,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.31042.CDS.196,Metabolic:Cell wall biosynthesis
g.31042.CDS.197,Metabolic:Pyrimidine synthesis
g.31042.CDS.198,"Metabolic:Transport, extracellular"
g.31042.CDS.201,Metabolic:Tetrahydrobiopterin metabolism
g.31042.CDS.202,"Metabolic:Transport, extracellular"
g.31042.CDS.203,Metabolic:Nucleotide interconversion
g.31042.CDS.204,Metabolic:Pyruvate metabolism
g.31042.CDS.207,Metabolic:Pentose phosphate pathway
g.31042.CDS.215,Metabolic:Glyoxylate and dicarboxylate metabolism
g.31042.CDS.216,"Metabolic:Transport, extracellular"
g.31042.CDS.220,tRNA-Charging
g.31042.CDS.234,Metabolic:Cholesterol metabolism
g.31042.CDS.235,Metabolic:Butanoate metabolism
g.31042.CDS.237,Metabolic:Squalene and cholesterol synthesis
1194526.3.peg.238,Metabolic:Arginine and proline metabolism
1194526.3.peg.242,Metabolic:Arginine and proline metabolism
g.31042.CDS.245,Metabolic:Nucleotide interconversion
g.31042.CDS.246,Metabolic:Butanoate metabolism
g.31042.CDS.247,Metabolic:Glycerophospholipid metabolism
g.31042.CDS.248,Metabolic:Glyoxylate and dicarboxylate metabolism
g.31042.CDS.251,tRNA-Charging
g.31042.CDS.254,Metabolic:Unassigned
1194526.3.peg.260,Metabolic:Sulfur metabolism
g.31042.CDS.261,tRNA-Charging
g.31042.CDS.265,"Metabolic:Transport, extracellular"
1194526.3.peg.266,Metabolic:Sulfur metabolism
1194526.3.peg.267,Metabolic:Nucleotide interconversion
1194526.3.peg.268,Metabolic:Arginine and proline metabolism
g.31042.CDS.269,Metabolic:Galactose metabolism
g.31042.CDS.272,Metabolic:Glycolysis/gluconeogenesis
g.31042.CDS.276,tRNA-Charging
g.31042.CDS.279,Metabolic:Vitamin B12 metabolism
g.31042.CDS.286,Metabolic:Urea cycle
1194526.3.peg.289,Metabolic:Glycolysis/gluconeogenesis
g.31042.CDS.294,Metabolic:Squalene and cholesterol synthesis
g.31042.CDS.296,Metabolic:Glycerophospholipid metabolism
g.31042.CDS.301,Metabolic:Exchange/demand reaction
g.31042.CDS.302,Translation
1194526.3.peg.302,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.31042.CDS.303,"Metabolic:Transport, extracellular"
1194526.3.peg.304,Metabolic:CoA synthesis
1194526.3.peg.305,Metabolic:CoA synthesis
1194526.3.peg.306,Metabolic:CoA synthesis
g.31042.CDS.307,Metabolic:Lysine metabolism
1194526.3.peg.307,Metabolic:beta-Alanine metabolism
g.31042.CDS.316,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.31042.CDS.317,"Metabolic:Transport, extracellular"
1194526.3.peg.317,Metabolic:Pyrimidine synthesis
g.31042.CDS.323,Metabolic:Aminosugar metabolism
g.31042.CDS.325,"Metabolic:Transport, extracellular"
g.31042.CDS.333,Metabolic:Vitamin B2 metabolism
g.31042.CDS.334,Metabolic:Galactose metabolism
g.31042.CDS.336,Metabolic:Aminobenzoate degradation
g.31042.CDS.337,Metabolic:Methionine and cysteine metabolism
g.31042.CDS.339,Metabolic:Glycolysis/gluconeogenesis
g.31042.CDS.343,tRNA-Charging
g.31042.CDS.345,Metabolic:Cell wall biosynthesis
g.31042.CDS.350,Metabolic:Aminosugar metabolism
g.31042.CDS.354,Metabolic:NAD metabolism
g.31042.CDS.357,"Metabolic:Transport, extracellular"
g.31042.CDS.360,"Metabolic:Transport, extracellular"
g.31042.CDS.365,Metabolic:Cell wall biosynthesis
g.31042.CDS.367,Metabolic:Thiamine metabolism
g.31042.CDS.370,tRNA-Charging
g.31042.CDS.371,tRNA-Charging
g.31042.CDS.373,"Metabolic:Transport, extracellular"
g.31042.CDS.376,Metabolic:Aminobenzoate degradation
g.31042.CDS.387,Metabolic:Pyrimidine synthesis
1194526.3.peg.390,Metabolic:Glycolysis/gluconeogenesis
g.31042.CDS.391,tRNA-Charging
g.31042.CDS.393,Metabolic:Glycolysis/gluconeogenesis
1194526.3.peg.393,Metabolic:Thiamine metabolism
g.31042.CDS.395,Metabolic:Vitamin B12 metabolism
g.31042.CDS.396,Metabolic:Pentose and glucuronate interconversions
1194526.3.peg.396,Metabolic:Thiamine metabolism
g.31042.CDS.397,Metabolic:Starch and sucrose metabolism
g.31042.CDS.398,tRNA-Charging
g.31042.CDS.399,"Metabolic:Transport, extracellular"
g.31042.CDS.400,Metabolic:Histidine metabolism
g.31042.CDS.401,"Metabolic:Transport, extracellular"
g.31042.CDS.402,Metabolic:Glutathione metabolism
g.31042.CDS.406,"Metabolic:Transport, extracellular"
g.31042.CDS.408,Metabolic:Exchange/demand reaction
1194526.3.peg.410,Metabolic:Cell wall biosynthesis
g.31042.CDS.411,Metabolic:Fructose and mannose metabolism
g.31042.CDS.412,"Metabolic:Transport, extracellular"
g.31042.CDS.417,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.31042.CDS.421,"Metabolic:Transport, extracellular"
g.31042.CDS.423,Metabolic:Fatty acid synthesis
g.31042.CDS.425,tRNA-Charging
g.31042.CDS.430,"Metabolic:Transport, extracellular"
g.31042.CDS.432,Metabolic:Galactose metabolism
1194526.3.peg.433,Metabolic:Glyoxylate and dicarboxylate metabolism
g.31042.CDS.438,Metabolic:Pyruvate metabolism
g.31042.CDS.439,"Metabolic:Transport, extracellular"
g.31042.CDS.442,Metabolic:Exchange/demand reaction
g.31042.CDS.446,tRNA-Charging
1194526.3.peg.451,Metabolic:CoA synthesis
