,subsystem
g.26457.CDS.17,Metabolic:NAD metabolism
347253.5.peg.18,Metabolic:Phenylalanine metabolism
g.26457.CDS.21,"Metabolic:Transport, extracellular"
347253.5.peg.22,Metabolic:Purine synthesis
g.26457.CDS.23,"Metabolic:Transport, extracellular"
347253.5.peg.23,Metabolic:Purine synthesis
347253.5.peg.24,Metabolic:Purine synthesis
347253.5.peg.25,Metabolic:Purine synthesis
347253.5.peg.26,Metabolic:Purine synthesis
347253.5.peg.28,Metabolic:Purine synthesis
g.26457.CDS.33,"Metabolic:Transport, extracellular"
g.26457.CDS.34,Translation
347253.5.peg.34,Metabolic:Purine synthesis
g.26457.CDS.35,tRNA-Charging
347253.5.peg.35,Metabolic:Purine synthesis
347253.5.peg.36,Metabolic:Purine synthesis
g.26457.CDS.37,"Metabolic:Transport, extracellular"
g.26457.CDS.38,tRNA-Charging
347253.5.peg.39,Metabolic:Purine synthesis
g.26457.CDS.50,tRNA-Charging
g.26457.CDS.52,Metabolic:Unassigned
g.26457.CDS.53,Metabolic:Pentose and glucuronate interconversions
g.26457.CDS.59,Metabolic:Squalene and cholesterol synthesis
g.26457.CDS.63,"Metabolic:Transport, extracellular"
g.26457.CDS.68,tRNA-Charging
g.26457.CDS.69,"Metabolic:Transport, extracellular"
g.26457.CDS.70,Metabolic:Biotin metabolism
347253.5.peg.70,Metabolic:Methionine and cysteine metabolism
g.26457.CDS.71,"Metabolic:Transport, extracellular"
g.26457.CDS.72,Translation
g.26457.CDS.73,Metabolic:Pyrimidine synthesis
g.26457.CDS.76,"Metabolic:Transport, extracellular"
g.26457.CDS.82,Transcription
g.26457.CDS.84,Metabolic:Butanoate metabolism
g.26457.CDS.91,Metabolic:Cell wall biosynthesis
g.26457.CDS.95,Metabolic:Exchange/demand reaction
g.26457.CDS.98,"Metabolic:Transport, extracellular"
347253.5.peg.101,Metabolic:Vitamin B6 metabolism
g.26457.CDS.102,Metabolic:Exchange/demand reaction
g.26457.CDS.107,Metabolic:Starch and sucrose metabolism
347253.5.peg.107,Metabolic:Pyrimidine synthesis
g.26457.CDS.108,Metabolic:Methionine and cysteine metabolism
g.26457.CDS.113,Metabolic:Exchange/demand reaction
g.26457.CDS.116,Translation
347253.5.peg.117,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.26457.CDS.118,Metabolic:Folate metabolism
g.26457.CDS.123,Metabolic:Lysine metabolism
g.26457.CDS.124,Metabolic:Pyrimidine catabolism
g.26457.CDS.128,"Metabolic:Valine, leucine, and isoleucine metabolism"
347253.5.peg.143,Metabolic:Glycolysis/gluconeogenesis
g.26457.CDS.147,Translation
g.26457.CDS.159,Metabolic:Aminosugar metabolism
g.26457.CDS.161,Metabolic:Nucleotide interconversion
g.26457.CDS.163,Metabolic:Glycolysis/gluconeogenesis
g.26457.CDS.166,Metabolic:Nucleotide interconversion
g.26457.CDS.167,Translation
g.26457.CDS.171,"Metabolic:Transport, extracellular"
g.26457.CDS.173,Translation
g.26457.CDS.175,Metabolic:Butanoate metabolism
347253.5.peg.178,Metabolic:NAD metabolism
g.26457.CDS.181,tRNA-Charging
g.26457.CDS.183,Transcription
g.26457.CDS.184,tRNA-Charging
g.26457.CDS.186,Metabolic:Alanine and aspartate metabolism
g.26457.CDS.188,"Metabolic:Transport, extracellular"
g.26457.CDS.189,Metabolic:Folate metabolism
g.26457.CDS.190,"Metabolic:Transport, extracellular"
g.26457.CDS.191,"Metabolic:Transport, extracellular"
g.26457.CDS.192,Metabolic:Exchange/demand reaction
g.26457.CDS.196,Metabolic:Arginine and proline metabolism
g.26457.CDS.202,Metabolic:Nucleotide salvage pathway
347253.5.peg.202,Metabolic:Glutamate metabolism
g.26457.CDS.205,Translation
g.26457.CDS.207,"Metabolic:Transport, extracellular"
g.26457.CDS.212,Metabolic:Pyrimidine synthesis
g.26457.CDS.214,Metabolic:NAD metabolism
g.26457.CDS.215,Metabolic:Fatty acid synthesis
g.26457.CDS.218,Metabolic:Terpenoid backbone biosynthesis
g.26457.CDS.224,"Metabolic:Transport, extracellular"
g.26457.CDS.225,"Metabolic:Transport, extracellular"
