,subsystem
479436.15.peg.1,Metabolic:Exchange/demand reaction
479436.15.peg.2,Metabolic:Exchange/demand reaction
479436.15.peg.7,Metabolic:Exchange/demand reaction
479436.15.peg.8,"Metabolic:Transport, extracellular"
479436.15.peg.23,Metabolic:Aminosugar metabolism
479436.15.peg.29,Metabolic:Terpenoid backbone biosynthesis
479436.15.peg.31,Metabolic:Galactose metabolism
479436.15.peg.61,"Metabolic:Transport, extracellular"
479436.15.peg.62,"Metabolic:Transport, extracellular"
479436.15.peg.63,"Metabolic:Transport, extracellular"
479436.15.peg.66,"Metabolic:Transport, extracellular"
479436.15.peg.67,"Metabolic:Transport, extracellular"
479436.15.peg.68,"Metabolic:Transport, extracellular"
479436.15.peg.74,Metabolic:Alanine and aspartate metabolism
479436.15.peg.85,"Metabolic:Transport, extracellular"
479436.15.peg.93,"Metabolic:Valine, leucine, and isoleucine metabolism"
479436.15.peg.94,"Metabolic:Valine, leucine, and isoleucine metabolism"
479436.15.peg.95,"Metabolic:Valine, leucine, and isoleucine metabolism"
479436.15.peg.96,"Metabolic:Valine, leucine, and isoleucine metabolism"
479436.15.peg.104,"Metabolic:Transport, extracellular"
479436.15.peg.105,"Metabolic:Transport, extracellular"
479436.15.peg.106,"Metabolic:Transport, extracellular"
479436.15.peg.107,"Metabolic:Transport, extracellular"
479436.15.peg.108,Metabolic:Pentose phosphate pathway
479436.15.peg.111,Metabolic:Biosynthesis of siderophore group nonribosomal peptides
479436.15.peg.122,Metabolic:Histidine metabolism
479436.15.peg.125,Metabolic:Histidine metabolism
479436.15.peg.126,Metabolic:Histidine metabolism
479436.15.peg.127,Metabolic:Histidine metabolism
479436.15.peg.129,Metabolic:Histidine metabolism
479436.15.peg.130,Metabolic:Histidine metabolism
479436.15.peg.131,Metabolic:Histidine metabolism
479436.15.peg.132,Metabolic:Histidine metabolism
479436.15.peg.141,Metabolic:Methionine and cysteine metabolism
479436.15.peg.142,Metabolic:Methionine and cysteine metabolism
479436.15.peg.145,"Metabolic:Transport, extracellular"
479436.15.peg.158,Metabolic:Tryptophan metabolism
479436.15.peg.159,Metabolic:Folate metabolism
479436.15.peg.160,Metabolic:Tryptophan metabolism
479436.15.peg.161,Metabolic:Tryptophan metabolism
479436.15.peg.162,Metabolic:Tryptophan metabolism
479436.15.peg.163,Metabolic:Tryptophan metabolism
479436.15.peg.174,tRNA-Charging
479436.15.peg.176,"Metabolic:Transport, extracellular"
479436.15.peg.181,Metabolic:Nucleotide interconversion
479436.15.peg.196,"Metabolic:Transport, extracellular"
479436.15.peg.198,"Metabolic:Transport, extracellular"
479436.15.peg.199,"Metabolic:Transport, extracellular"
479436.15.peg.200,"Metabolic:Transport, extracellular"
479436.15.peg.201,"Metabolic:Transport, extracellular"
479436.15.peg.205,Metabolic:Citric acid cycle
479436.15.peg.211,Metabolic:Biotin metabolism
479436.15.peg.214,Metabolic:Heme synthesis
479436.15.peg.215,Metabolic:Heme synthesis
479436.15.peg.216,Metabolic:Heme synthesis
479436.15.peg.218,"Metabolic:Transport, extracellular"
479436.15.peg.220,Metabolic:Nitrogen metabolism
479436.15.peg.221,Metabolic:Nitrogen metabolism
479436.15.peg.222,Metabolic:Nitrogen metabolism
479436.15.peg.223,Metabolic:Nitrogen metabolism
479436.15.peg.233,Metabolic:Biotin metabolism
479436.15.peg.234,Metabolic:Biotin metabolism
479436.15.peg.235,"Metabolic:Transport, extracellular"
479436.15.peg.237,"Metabolic:Transport, extracellular"
479436.15.peg.238,"Metabolic:Transport, extracellular"
479436.15.peg.239,"Metabolic:Transport, extracellular"
479436.15.peg.248,Metabolic:Alanine and aspartate metabolism
479436.15.peg.249,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
479436.15.peg.251,"Metabolic:Transport, extracellular"
479436.15.peg.252,Metabolic:Pyruvate metabolism
479436.15.peg.253,Metabolic:Pyruvate metabolism
479436.15.peg.254,Metabolic:Pyruvate metabolism
479436.15.peg.259,"Metabolic:Transport, extracellular"
479436.15.peg.260,"Metabolic:Transport, extracellular"
479436.15.peg.263,"Metabolic:Transport, extracellular"
479436.15.peg.266,Metabolic:Methionine and cysteine metabolism
479436.15.peg.267,Metabolic:Methionine and cysteine metabolism
479436.15.peg.268,Metabolic:Methionine and cysteine metabolism
479436.15.peg.269,Metabolic:Methionine and cysteine metabolism
479436.15.peg.271,"Metabolic:Transport, extracellular"
479436.15.peg.275,Metabolic:Glutathione metabolism
479436.15.peg.276,Metabolic:NAD metabolism
479436.15.peg.277,Metabolic:NAD metabolism
479436.15.peg.278,Metabolic:Alanine and aspartate metabolism
479436.15.peg.284,Metabolic:Nucleotide interconversion
479436.15.peg.285,Metabolic:Nucleotide interconversion
479436.15.peg.286,Metabolic:Nucleotide interconversion
479436.15.peg.295,Metabolic:Cell wall biosynthesis
479436.15.peg.299,Metabolic:Aminosugar metabolism
479436.15.peg.300,tRNA-Charging
479436.15.peg.304,"Metabolic:Transport, extracellular"
479436.15.peg.306,Metabolic:Thiamine metabolism
479436.15.peg.315,Metabolic:Thiamine metabolism
479436.15.peg.318,Metabolic:Selenoamino acid metabolism
479436.15.peg.321,Metabolic:Tetrahydrobiopterin metabolism
479436.15.peg.329,Metabolic:Folate metabolism
479436.15.peg.331,Metabolic:Methionine and cysteine metabolism
479436.15.peg.335,tRNA-Charging
479436.15.peg.336,Metabolic:Exchange/demand reaction
479436.15.peg.337,tRNA-Charging
479436.15.peg.341,Metabolic:Thiamine metabolism
479436.15.peg.347,"Metabolic:Transport, extracellular"
479436.15.peg.357,"Metabolic:Transport, extracellular"
479436.15.peg.358,Metabolic:Methionine and cysteine metabolism
479436.15.peg.360,Metabolic:Purine synthesis
479436.15.peg.362,Metabolic:Purine catabolism
479436.15.peg.365,Metabolic:Purine synthesis
479436.15.peg.366,Metabolic:Purine synthesis
479436.15.peg.367,Metabolic:Purine synthesis
479436.15.peg.368,Metabolic:Purine synthesis
479436.15.peg.369,Metabolic:Purine synthesis
479436.15.peg.370,Metabolic:Purine synthesis
479436.15.peg.371,Metabolic:Purine synthesis
479436.15.peg.372,Metabolic:Ubiquinone and other terpenoid-quinone biosynthesis
479436.15.peg.373,Metabolic:Ubiquinone and other terpenoid-quinone biosynthesis
479436.15.peg.375,Metabolic:Ubiquinone and other terpenoid-quinone biosynthesis
