,fluxes,reduced_costs
23DHMPO,0.0,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLAT,-0.021029390441576895,-1.3877787807814457e-17
2AHBUTI,0.0,0.0
2MBCOATA,0.046928396414813556,0.0
2MMALD,0.0,-0.0
2MMALD2,0.0,-0.0
2OBUTt2r,1.0,0.0
3HAD100,0.0,0.0
3HAD10M11,0.0,0.0
3HAD10M12,0.046928396414813556,0.0
3HAD11M12,0.046928396414813556,0.0
3HAD120,0.0,0.0
3HAD12M13,0.0,0.0
3HAD12M14,0.046928396414813556,0.0
3HAD13M14,0.046928396414813556,0.0
3HAD140,0.0,0.0
3HAD14M15,0.0,0.0
3HAD14M16,0.046928396414813556,0.0
3HAD15M16,0.046928396414813556,0.0
3HAD160,0.0,0.0
3HAD180,0.0,0.0
3HAD40,0.0,0.0
3HAD4M5,0.0,0.0
3HAD4M6,0.046928396414813556,0.0
3HAD5M6,0.046928396414813556,0.0
3HAD60,0.0,0.0
3HAD6M7,0.0,0.0
3HAD6M8,0.046928396414813556,0.0
3HAD7M8,0.046928396414813556,0.0
3HAD80,0.0,0.0
3HAD8M10,0.046928396414813556,0.0
3HAD8M9,0.0,0.0
3HAD9M10,0.046928396414813556,0.0
3MOBS,-0.10373308661669253,-4.163336342344337e-17
3OAR100,0.0,-0.0
3OAR10M11,0.0,-0.0
3OAR10M12,0.046928396414813556,0.0
3OAR11M12,0.046928396414813556,0.0
3OAR120,0.0,0.0
3OAR12M13,0.0,-0.0
3OAR12M14,0.046928396414813556,0.0
3OAR13M14,0.046928396414813556,0.0
3OAR140,0.05511486301328427,0.0
3OAR14M15,0.0,-0.0
3OAR14M16,0.046928396414813556,0.0
3OAR15M16,0.046928396414813556,0.0
3OAR160,0.0,-0.0
3OAR180,0.0,-0.0
3OAR40,0.0,-0.0
3OAR4M5,0.0,-0.0
3OAR4M6,0.046928396414813556,0.0
3OAR5M6,0.046928396414813556,0.0
3OAR60,0.0,-0.0
3OAR6M7,0.0,-0.0
3OAR6M8,0.046928396414813556,0.0
3OAR7M8,0.046928396414813556,1.6653345369377348e-16
3OAR80,0.0,-0.0
3OAR8M10,0.046928396414813556,0.0
3OAR8M9,0.0,-0.0
3OAR9M10,0.046928396414813556,0.0
3OAS100,0.0,1.3877787807814457e-17
3OAS10M11,0.0,0.0
3OAS10M12,0.046928396414813556,0.0
3OAS11M12,0.046928396414813556,0.0
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,0.046928396414813556,0.0
3OAS13M14,0.046928396414813556,0.0
3OAS140,0.05511486301328427,-4.163336342344337e-17
3OAS160,0.0,-0.06176611003419166
3OAS180,0.0,-0.061766110034191746
3OAS2M3,0.0,-4.163336342344337e-17
3OAS3M4,0.046928396414813556,0.0
3OAS4M3O6,0.046928396414813556,-4.163336342344337e-17
3OAS4M5,0.0,-0.06176611003419169
3OAS4M6,0.046928396414813556,0.0
3OAS5M6,0.046928396414813556,0.0
3OAS60,0.0,-0.3170660315088507
3OAS6M7,0.0,-0.18529833010257507
3OAS6M8,0.046928396414813556,0.0
3OAS7M8,0.046928396414813556,0.0
3OAS80,0.0,0.0
3OAS8M10,0.046928396414813556,0.0
3OAS8M9,0.0,0.0
3OAS9M10,0.046928396414813556,0.0
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,1.3877787807814457e-17
5DOAN,0.0,0.0
7AHSDH,0.0,5.551115123125783e-17
7AHSDHe,0.0,2.7755575615628914e-17
A5PISO,0.0413361472599632,0.0
AACOAT,0.0,1.3877787807814457e-17
AACPS7,0.06889357876660533,0.0
ABUTt2r,0.18,0.0
ACBIPGT,0.0017058811455023264,2.7755575615628914e-17
ACCOAC,0.0,2.7755575615628914e-17
ACCOACL,0.618255619991047,0.0
ACGALt2r,0.0,-0.0
ACGAM2E,1.0,0.0
ACGAMK,0.0,-2.7755575615628914e-17
ACGAMT,0.0,0.0
ACGAMtr2,1.0,0.0
ACGK,0.0,-0.05970723969971864
ACGS,0.0,-0.03294192535156895
ACHBPL,0.18013752316516476,0.0
ACKr,-8.961297722500845,-0.0
ACLS_a,0.3013280739557248,0.0
ACLS_b,-0.12119055079056003,-0.0
ACNAMS,0.0,-0.032941925351568924
ACNAMabc,1.0,0.0
ACNML,1.0,0.0
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.023464198207406778,0.0
ACOAAGPATAI15,0.0,-1.3877787807814457e-17
ACOAAGPATAI17,0.023464198207406778,0.0
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,0.023464198207406778,0.0
ACOATA,0.0,0.0
ACOCT,0.0,0.0
ACODAr,0.0,-0.0
ACONT,0.0,0.0
ACONTa,0.0,-0.0
ACONTb,0.0,-0.0
ACOTA,0.0,-0.0
ACPS1,0.0017058811455023264,0.0
ACTNDH,0.0,2.7755575615628914e-17
ACt2r,-10.933740290994203,-0.0
ADCL,0.005117643436506983,0.0
ADCPS1,0.0,0.0
ADCPS2,0.0,0.0
ADCS,0.005117643436506983,0.0
ADCYRS,0.0,-0.3616748887557673
ADK1,-0.1632676394825751,-0.0
ADK10,-0.024310665631939007,-0.0
ADK11,0.0,0.0
ADK2,0.0017058811455023264,1.3877787807814457e-17
ADK3,0.0,0.0
ADK5,0.0,0.0
ADK7,0.0,0.0
ADK8,0.0,0.0
ADK9,-0.008826068733115703,-0.0
ADMDCr,0.0,1.3877787807814457e-17
ADNCNT3tc,0.07977122230542996,0.0
ADOCBIK,0.0,-2.7755575615628914e-17
ADOCBIK2,0.0017058811455023264,-1.3877787807814457e-17
ADOCBLS,0.0017058811455023264,-1.3877787807814457e-17
ADOCBLabc,0.0,0.0
ADPRDP,0.0,0.0
ADPT,0.08147710345093229,0.0
ADSELK,0.0,-1.3877787807814457e-17
ADSK,0.0,0.0
ADSL1r,0.04366703152497865,1.3877787807814457e-17
ADSL2r,0.0,-0.0
ADSS,0.04366703152497865,5.551115123125783e-17
AEPPT,0.0,0.0
AGDC,1.9448851369867157,0.0
AGMD,0.0,0.0
AGMHE,0.05511486301328427,0.0
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,0.0
AGPAT181,0.0,0.0
AGPR,0.0,-1.3877787807814457e-17
AHC,0.0017058811455023264,0.0
AHCYSNS_r,0.0,-0.0
AHEXASE3,0.0,0.0
AHMMPS,0.0017058811455023582,5.551115123125783e-17
AHSERL2,0.0,-0.08132537821168578
AHSERL3,0.0,-6.938893903907228e-18
AICART,0.04366703152497865,0.0
AIHPDCOATA,0.046928396414813556,0.0
AIPDCOATA,0.0,-5.551115123125783e-17
AIRC4,0.0,-0.03294192535156895
AKP1,0.005117643436506983,6.938893903907228e-17
ALAALA,0.013778715753321067,0.0
ALAASP1c,0.0,-0.0
ALACI,0.0,-0.0
ALAD_R,-0.2753795697136246,4.163336342344337e-17
ALAGLN1c,0.0,-0.0
ALAGLU1c,0.0,-0.0
ALAGLY1c,0.0,-0.0
ALAHIS1c,0.0,-0.0
ALALEU1c,0.0,-0.0
ALAPGPL,0.0,0.0
ALAR,0.027557431506642135,0.0
ALATHR1c,0.0,-0.0
ALKP,0.0,0.0
AMALT1,0.0,0.0
AMALT2,0.0,0.0
AMALT3,0.0,-0.8976674658302539
AMALT4,0.0,0.0
AMANAPEr,1.9448851369867157,0.0
AMANK,1.9448851369867157,-1.3877787807814457e-17
AMAOTr,0.0,-0.0
AMMQT8r,0.0017058811455023264,0.0
AMPMS2,0.0,-0.029853619849859292
AMPN,0.0,-0.032941925351568785
AMPTASECG,0.0470669493320085,0.0
AMPTASEGC,0.0,0.0
AMY1e,0.25733909,0.0
AMY2e,0.0,0.0
AMYLOPECTe,1.567e-05,0.0
AMYLe,4.702e-05,0.0
ANPRT,0.0,0.0
ANS,0.0,-0.32324264251227
ANS2,0.0,-0.32324264251227
AOBUTDs,0.0,0.0
AOXSr,0.0,1.3877787807814457e-17
APRAUR,0.0034117622910046527,0.0
ARABASE3e,0.0,0.0
ARABINOXYL_DEGe,0.00030665,-2.220446049250313e-16
ARBabc,0.0,-0.02470644401367672
ARBt2r,0.0,-0.0
ARGDC,0.0,0.0
ARGSL,0.13590856728416728,0.0
ARGSSr,0.13590856728416728,1.3877787807814457e-17
ARSENBabc,0.0,0.0
ASAD,-0.09314108795885293,-1.3877787807814457e-17
ASNS1,0.0,-0.032941925351568924
ASNS2,0.0,-0.032941925351568924
ASNt2r,0.225,0.0
ASP1DC,0.0034117622910047165,0.0
ASPCT,0.0,-0.2752023347078987
ASPKi,0.09314108795885293,0.0
ASPO1,0.0,-0.045295147358407284
ASPO5,0.0,0.0
ASPO6,0.0,-0.016470962675784462
ASPO7,0.0,2.7755575615628914e-17
ASPT,0.0,-2.7755575615628914e-17
ASPTA,0.0,0.0
ATPPRT,0.04366703152497865,-2.7755575615628914e-17
ATPS4,5.721321733955074,0.0
BACCLi,0.0,-1.3877787807814457e-17
BGLA,0.0,0.0
BGLAr,0.0,-0.0
BIACt1,0.0,-0.0
BIACt4,0.0,-0.0
BPNT,0.0017058811455023264,0.0
BTNCLi,0.618255619991047,-1.3877787807814457e-17
BTS4,0.0,0.0
BUTKr,0.0,-0.0
CAt4i,0.0017058811455023264,0.0
CBIAT,0.0017058811455023264,0.0
CBL1abc,0.0,-0.21343622467370704
CBL2abc,0.0,0.0
CBLAT,0.0,1.3877787807814457e-17
CBPS,0.13590856728416728,0.0
CD2abc1,0.0,-0.024706444013676693
CD2t6r,0.0,-0.0
CDCA7aHSDHe,0.0,2.7755575615628914e-17
CDOSKT,0.013778715753321067,0.0
CDPGHL,0.0,0.0
CDPMEK,0.17885997161456896,4.163336342344337e-17
CGLYt3_2_,0.0470669493320085,0.0
CHOLSH,0.0,0.0
CHORM,0.06818924514977187,0.0
CHORS,0.07671865087728347,1.3877787807814457e-17
CHRPL,0.0,1.3877787807814457e-17
CHTBSabc,0.0,0.0
CITRAMALS,0.0,-0.03500079568604203
CLPNS140,0.0,-0.0
