,fluxes,reduced_costs
12PPDt,0.0,-0.0
15DAPt,0.0,0.0
23DHMPO,0.0,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,0.0,-0.0
2DH3DGLCA,0.0,3.469446951953614e-18
2MBCOATA,0.0,-0.0
2OMMBOX,0.0,0.0
2OMPHH,0.0,0.0
3CARLPDH,0.0,-0.0
3DGUR,0.0,0.0
3HACPR1,0.0,0.0
3HACPR2,0.0,0.0
3HAD100,0.0,0.0
3HAD10M11,0.0,0.0
3HAD10M12,0.0,0.0
3HAD11M12,0.0,0.0
3HAD120,0.0,0.0
3HAD12M13,0.0,0.0
3HAD12M14,0.0,0.0
3HAD13M14,0.0,0.0
3HAD140,0.0,0.0
3HAD14M15,0.0,0.0
3HAD14M16,0.0,1.734723475976807e-18
3HAD15M16,0.0,1.734723475976807e-18
3HAD160,0.0,0.0
3HAD180,0.0,0.0
3HAD40,0.0,-1.734723475976807e-18
3HAD4M5,0.0,0.0
3HAD4M6,0.0,0.0
3HAD5M6,0.0,0.0
3HAD60,0.0,0.0
3HAD6M7,0.0,0.0
3HAD6M8,0.0,0.0
3HAD7M8,0.0,0.0
3HAD80,0.0,0.0
3HAD8M10,0.0,0.0
3HAD8M9,0.0,0.0
3HAD9M10,0.0,0.0
3HBCOAE,0.0,-0.0
3HCINNMH,0.0,0.0
3HPPPNH,0.0,-0.13796197590490478
3MOBS,-0.2142605495323577,5.204170427930421e-18
3OAACPR1,0.0,0.0
3OAACPR2,0.0,0.0
3OAR100,0.0,-0.0
3OAR10M11,0.0,-0.0
3OAR10M12,0.0,-0.0
3OAR11M12,0.0,-0.0
3OAR120,0.0,-0.0
3OAR12M13,0.0,-0.0
3OAR12M14,0.0,-0.0
3OAR13M14,0.0,-0.0
3OAR140,0.0,-0.0
3OAR14M15,0.0,-0.0
3OAR14M16,0.0,-0.0
3OAR15M16,0.0,-0.0
3OAR160,0.0,-0.0
3OAR180,0.0,-0.0
3OAR40,0.0,-0.0
3OAR4M5,0.0,-0.0
3OAR4M6,0.0,-0.0
3OAR5M6,0.0,-0.0
3OAR60,0.0,-0.0
3OAR6M7,0.0,-0.0
3OAR6M8,0.0,0.0
3OAR7M8,0.0,-0.0
3OAR80,0.0,-0.0
3OAR8M10,0.0,-0.0
3OAR8M9,0.0,-0.0
3OAR9M10,0.0,-0.0
3OAS100,0.0,-0.07329229969948078
3OAS10M11,0.0,-0.03664614984974039
3OAS10M12,0.0,-0.03664614984974039
3OAS11M12,0.0,-0.03664614984974039
3OAS120,0.0,0.0
3OAS12M13,0.0,-3.469446951953614e-18
3OAS12M14,0.0,3.469446951953614e-18
3OAS13M14,0.0,3.469446951953614e-18
3OAS140,0.0,1.734723475976807e-17
3OAS160,0.0,-0.036646149849740475
3OAS180,0.0,-0.0366461498497404
3OAS2M3,0.0,-3.469446951953614e-18
3OAS3M4,0.0,-3.469446951953614e-18
3OAS4M3O6,0.0,-1.0408340855860843e-17
3OAS4M5,0.0,-0.03664614984974039
3OAS4M6,0.0,-0.03664614984974039
3OAS5M6,0.0,-0.03664614984974039
3OAS60,0.0,-3.469446951953614e-18
3OAS6M7,0.0,-0.03664614984974039
3OAS6M8,0.0,-0.03664614984974039
3OAS7M8,0.0,-0.03664614984974039
3OAS80,0.0,-0.12071672891679176
3OAS8M10,0.0,-0.03664614984974039
3OAS8M9,0.0,-0.03664614984974039
3OAS9M10,0.0,-0.03664614984974039
3OXCOAT,0.0,0.0
4HBZt2,0.0,0.0
4HOXPACDt2r,0.0,-0.0
4HTHRS,0.0,4.336808689942018e-18
4NTPPH2,0.0,0.0
5AIZCDC,0.0,0.0
5DGLCNR,0.0,0.0
5DOAN,0.0,-0.11209410542273501
5GLUP5T1,0.0,-1.734723475976807e-18
5GLUP5T2,0.0,0.0
5MTHCYST,0.0,3.469446951953614e-18
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
7AHSDH,0.0,-0.0
7AHSDHe,0.0,0.0
A5PISO,0.0,-0.0
AACPS7,0.0,-0.03664614984974048
AACTOOR,0.0,-0.05604705271136741
AADSACYCL,0.0,-1.734723475976807e-18
AB6PGH,0.0,-1.734723475976807e-18
AB6PGH2,0.0,-3.469446951953614e-18
ABTAr,0.0,0.0
ABUTD,0.0,0.0
ABUTt2,0.0,0.0
ACACCTr,0.0,-0.0
ACACT1r,0.0,-0.0
ACACT2r,0.0,-0.0
ACACT3r,0.0,-0.0
ACACT4r,0.0,-0.0
ACACT5r,0.0,-0.0
ACACT6r,0.0,-0.0
ACACT7r,0.0,-0.0
ACACt2,0.0,0.0
ACALD,-0.45118293837220524,-1.942890293094024e-16
ACALDt,0.0,0.0
ACBIPGT,0.0,6.938893903907228e-18
ACCOAC,0.0,-0.015089591114598627
ACCOACL,0.0,0.0
ACCOAL,0.0,0.0
ACGALK3,0.0,-3.469446951953614e-18
ACGALt2r,0.0,-3.469446951953614e-18
ACGAMT,0.0,0.0
ACGApts,1.0,0.0
ACGK,0.0,-0.04742442921731091
ACGS,0.0,-0.03449049397622591
ACHBPL,0.08462777155511711,-3.469446951953614e-18
ACKr,-17.67529199233337,-0.0
ACLS_a,0.460678414069553,0.0
ACLS_b,-0.3760506425144359,-0.0
ACNAMabc,1.0,6.071532165918825e-18
ACNML,1.0,0.0
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,-0.06898098795245228
ACOAAGPAT180,0.0,-0.06898098795245228
ACOAAGPATAI15,0.0,1.3877787807814457e-17
ACOAAGPATAI17,0.0,-1.3877787807814457e-17
ACOAAGPATI14,0.0,-0.07760361144650829
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,-0.1508959111459891
ACOAAGPATI17,0.0,1.3877787807814457e-17
ACOAD1,0.0,-0.0
ACOAD1fi,0.0,-0.03017918222919791
ACOAD2,0.0,0.0
ACOAD20,0.0,-2.7755575615628914e-17
ACOAD3rev,0.0,0.0
ACOAD4rev,0.0,0.0
ACOAD5rev,0.0,0.0
ACOAD6rev,0.0,-0.07760361144650696
ACOAD7i,0.0,-0.01724524698811286
ACOATA,0.0,-0.0
ACOCT,0.0,4.336808689942018e-18
ACODAr,0.0,-0.0
ACONMT,0.0,0.0
ACONT,0.0,-0.0
ACONTa,0.0,1.734723475976807e-18
ACONTb,0.0,0.0
ACOTA,0.0,-0.0
ACPS1,0.006484877434728478,-6.938893903907228e-18
ACPpds,0.0,-0.10347148192867853
ACS,0.0,-0.03449049397622652
ACYP,0.0,-0.03449049397622618
ACYP_2,0.0,-0.03449049397622618
ACt2r,-19.521708996033027,-0.0
ADA,0.0,1.734723475976807e-18
ADCL,0.0,0.0
ADCS,0.0,0.0
ADD,0.0,0.0
ADK1,1.614893431703696,0.0
ADK10,-0.00975463610850455,-0.0
ADK11,0.0,0.0
ADK2,0.0,-0.0
ADK3,0.0,0.0
ADK5,-0.8576762345213454,-0.0
ADK7,0.0,0.0
ADK8,0.0,-0.0
ADK9,0.0,0.0
ADMDCr,0.0,3.469446951953614e-18
ADNCNT3tc,1.0,0.0
ADNCYC,0.0,3.469446951953614e-18
ADNUC,0.0,-0.034490493976226166
ADOCBIK,0.0,-0.1566443268086937
ADOCBIK2,0.0,-0.1566443268086937
ADOCBLS,0.0,3.469446951953614e-18
ADOCBLabc,0.0,6.071532165918825e-18
ADPRDP,0.0,0.0
ADPT,0.0,-0.008622623494056514
ADSELK,0.0,-3.469446951953614e-18
ADSK,0.0,0.0
ADSL1r,0.18342901068799633,6.938893903907228e-18
ADSL2r,0.0,-0.0
ADSS,0.18342901068799633,-9.540979117872439e-18
AGDC,1.8464170036996568,-1.734723475976807e-18
AGDC2,0.0,-1.734723475976807e-18
AGMHE,0.0,0.0
AGMT,0.0,-0.11209410542273512
AGPAT120,0.0,0.0
AGPAT140,0.0,-2.7755575615628914e-17
AGPAT141,0.0,0.0
AGPAT160,0.0,-0.06898098795245229
AGPAT161,0.0,0.0
AGPAT180,0.0,-0.06898098795245228
AGPAT181,0.0,0.0
AGPR,0.0,-2.5153490401663703e-17
AHCYSNS_r,0.0,-5.551115123125783e-17
AHMMPS,0.0,4.336808689942018e-18
AICART,0.0,0.0
AIHPDCOATA,0.0,-0.0
AIPDCOATA,0.0,-0.0
AIRC4,0.0,-0.03449049397622616
AKGS,0.14086147662396398,0.0
AKGt2r,0.0,0.0
AKP1,0.0,0.0
ALAALA,0.07679149815017168,-6.071532165918825e-18
ALAASP1c,0.0,-1.734723475976807e-18
ALAASPabc,0.0,6.071532165918825e-18
ALACI,0.3760506425144359,0.0
ALAGLN1c,0.0,-1.734723475976807e-18
ALAGLNabc,0.0,6.071532165918825e-18
