,fluxes,reduced_costs
12PPDt,-0.29797158,0.0
23DHMPO,0.0,0.0
26DAPLLAT,0.0,0.0
2AHBUTI,0.0,-0.0
2MBCOATA,0.0,-0.0
3HAD100,0.0,0.0
3HAD10M11,0.0,0.0
3HAD10M12,0.0,0.0
3HAD11M12,0.0,0.0
3HAD120,0.0,0.0
3HAD12M13,0.0,0.0
3HAD12M14,0.0,0.0
3HAD13M14,0.0,0.0
3HAD140,0.0,0.0
3HAD14M15,0.0,0.0
3HAD14M16,0.0,0.0
3HAD15M16,0.0,0.0
3HAD160,0.0,0.0
3HAD180,0.0,0.0
3HAD40,0.0,0.0
3HAD4M5,0.0,0.0
3HAD4M6,0.0,0.0
3HAD5M6,0.0,0.0
3HAD60,0.0,0.0
3HAD6M7,0.0,0.0
3HAD6M8,0.0,0.0
3HAD7M8,0.0,0.0
3HAD80,0.0,0.0
3HAD8M10,0.0,0.0
3HAD8M9,0.0,0.0
3HAD9M10,0.0,0.0
3HBCOAE,1.7649432038843476,0.0
3MOBS,0.0,8.673617379884035e-19
3OAR100,0.0,-0.0
3OAR10M11,0.0,-0.0
3OAR10M12,0.0,-0.0
3OAR11M12,0.0,-0.0
3OAR120,0.0,-0.0
3OAR12M13,0.0,-0.0
3OAR12M14,0.0,-0.0
3OAR13M14,0.0,-0.0
3OAR140,0.0,-0.0
3OAR14M15,0.0,-0.0
3OAR14M16,0.0,-0.0
3OAR15M16,0.0,-0.0
3OAR160,0.0,-0.0
3OAR180,0.0,-0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,0.0,-0.0
3OAR5M6,0.0,0.0
3OAR60,0.0,-0.0
3OAR6M7,0.0,-0.0
3OAR6M8,0.0,-0.0
3OAR7M8,0.0,-0.0
3OAR80,0.0,-0.0
3OAR8M10,0.0,-0.0
3OAR8M9,0.0,-0.0
3OAR9M10,0.0,-0.0
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,0.0,0.0
3OAS11M12,0.0,0.0
3OAS120,0.0,0.0
3OAS12M13,0.0,-0.1975908918376038
3OAS12M14,0.0,-0.19759089183760384
3OAS13M14,0.0,-0.19759089183760384
3OAS140,0.0,-0.220389840895789
3OAS160,0.0,-0.3252650065634405
3OAS180,0.0,-0.3252650065634405
3OAS2M3,0.0,0.0
3OAS3M4,0.0,0.0
3OAS4M3O6,0.0,-0.059277267551281154
3OAS4M5,0.0,0.0
3OAS4M6,0.0,0.0
3OAS5M6,0.0,0.0
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,0.0,0.0
3OAS7M8,0.0,0.0
3OAS80,0.0,0.0
3OAS8M10,0.0,0.0
3OAS8M9,0.0,0.0
3OAS9M10,0.0,0.0
4HTHRS,0.0,0.0
5AIZCDC,0.0,-0.03647831849309614
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACGLYDH,0.0,-1.3877787807814457e-17
AACPS7,0.0,-0.05471747773964421
AADSACYCL,0.0,0.0
AB6PGH,0.0,0.0
AB6PGH2,0.0,0.0
ABUTD,0.0,0.0
ABUTR,0.0,-0.0
ACACT1r,1.7649432038843476,0.0
ACACT2r,0.0,-0.0
ACACT3r,0.0,-0.0
ACACT4r,0.0,-0.0
ACACT5r,0.0,-0.0
ACACT6r,0.0,-0.0
ACACT7r,0.0,-0.0
ACALD,0.339038269090426,0.0
ACALDt,0.0,0.0
ACBIPGT,0.0,0.0
ACCOAC,0.0,-4.163336342344337e-17
ACCOACL,0.0,0.0
ACGApts,1.0,0.0
ACGK,0.07222974402103308,5.551115123125783e-17
ACGS,0.0,-0.054717477739644194
ACHBPL,0.0,0.0
ACKr,-4.950765372216369,-1.3877787807814457e-17
ACLS_a,0.0,-0.04103810830473295
ACLS_b,0.0,0.0
ACNAMS,0.0,6.938893903907228e-18
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,0.0
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,0.0,0.0
ACOAAGPATI14,0.0,1.3877787807814457e-17
ACOAAGPATI15,0.0,1.3877787807814457e-17
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,0.0,1.3877787807814457e-17
ACOAD1i,0.0,-0.009119579623273921
ACOAD20,0.0,0.0
ACOADH2,0.0,0.0
ACOATA,0.0,0.0
ACOCT,0.0,-3.469446951953614e-18
ACOTA,-0.07222974402103308,-0.0
ACPS1,0.0019567452837890025,0.0
ACYP,0.0,-0.03647831849309614
ACYP_2,0.0,-0.036478318493096115
ACt2r,-5.950765372216369,-0.0
ADCPS1,0.0,-6.938893903907228e-18
ADCPS2,0.0,-0.009119579623274157
ADCYRS,0.0,-0.6892882265257962
ADK1,0.40958587068562946,0.0
ADK10,0.0,0.0
ADK11,0.0,0.0
ADK2,0.0,0.0
ADK3,0.0,0.0
ADK5,0.0,0.0
ADK7,0.0,0.0
ADK8,0.0,0.0
ADK9,0.0,0.0
ADOCBIK,0.0,2.6020852139652106e-17
ADOCBIK2,0.0,1.3010426069826053e-17
ADOCBLS,0.0,-8.673617379884035e-19
ADOCBLabc,0.0,-0.2614279492005226
ADPRDP,0.0,0.0
ADPT,0.0,-0.25413228550190325
ADSL1r,0.05534782348416236,0.0
ADSL2r,0.0,0.0
ADSS,0.05534782348416236,-6.938893903907228e-18
AGDC,1.0,0.0
AGMT,0.0,-0.10943495547928835
AGPAT120,0.0,-1.3877787807814457e-17
AGPAT140,0.0,0.0
AGPAT141,0.0,-1.3877787807814457e-17
AGPAT160,0.0,0.0
AGPAT161,0.0,-1.3877787807814457e-17
AGPAT180,0.0,0.0
AGPAT181,0.0,0.0
AGPR,-0.07222974402103308,6.938893903907228e-18
AHCYSNS_r,0.0,-6.938893903907228e-18
AHEXASE3,0.0,0.0
AHMMPS,0.0,0.0
AHSERL2,0.0,-0.3343845861867146
AHSERL3,0.0,0.0
AICART,0.0,0.0
AIHPDCOATA,0.0,-0.0
AIPDCOATA,0.0,-0.0
AIRC4,0.0,-6.938893903907228e-18
ALAALA,0.023171047310122643,6.938893903907228e-18
ALAASP1c,0.0,0.0
ALAASPabc,0.0,-6.938893903907228e-18
ALACI,0.0,-0.0
ALAGLN1c,0.0,0.0
ALAGLNabc,0.0,-0.01823915924654808
ALAGLU1c,0.0,0.0
ALAGLUabc,0.0,-0.01823915924654808
ALAGLY1c,0.0,-0.0
ALAGLYabc,0.0,-0.004559789811637002
ALAHIS1c,0.0,0.0
ALAHISabc,0.0,-0.01823915924654808
ALALEU1c,0.0,-0.0
ALALEUabc,0.0,-0.01823915924654808
ALAR,0.046342094620245286,0.0
ALATHR1c,0.0,0.0
ALATHRabc,0.0,-6.938893903907228e-18
ALAt2r,0.19480958552546213,0.0
ALCD19,0.14898579,0.0
ALCD2x,0.0,0.0
ALDD2x,0.0,-0.03647831849309613
ALLTNRS,0.0,0.0
ALLTNS,0.0,0.0
AMALT1,0.0,-2.7755575615628914e-17
AMALT2,0.0,0.0
AMALT3,0.0,0.0
AMALT4,0.0,0.0
AMOPBHL,0.0,0.0
AMPTASECG,0.0,0.0
AMPTASEGC,0.0,0.0
AOBUTDs,0.0,0.0
AOXHEXCYCL,0.0,0.0
APPLDH,0.0,0.0
ARABASE3e,0.0,0.0
ARAI,0.17878295,0.0
ARBTpts,0.0,0.0
ARBabc,0.17878295,-6.938893903907228e-18
ARGDC,0.0,8.673617379884035e-19
ARGSL,0.07222974402103308,0.0
ARGSSr,0.07222974402103308,0.0
ASAD,0.0,6.938893903907228e-18
ASNS1,0.0,-0.05471747773964422
ASNS2,0.0,-0.05471747773964422
ASNt2r,0.225,-8.673617379884035e-19
ASPCT,0.0,-0.16415243321893264
ASPKi,0.0,0.0
ASPT,0.0,0.0
ASPTA,3.4400979165231718,0.0
ASPt2r,0.225,-8.673617379884035e-19
ATPPRT,0.0,-1.3877787807814457e-17
ATPS4,0.9490800531363218,3.469446951953614e-18
BACCLi,0.0,0.0
BGLA,0.0,0.0
BGLA1,0.0,1.3877787807814457e-17
BGLAr,0.07449289,0.0
BPNT,0.0019567452837890025,-6.938893903907228e-18
BTCOADH,1.7649432038843476,5.551115123125783e-17
BTNCLi,0.0,-6.938893903907228e-18
BUTKr,-1.7649432038843476,-1.474514954580286e-17
BUTt2r,-1.7649432038843476,-0.0
CA2abc,0.0019567452837890025,0.0
CBL1abc,0.0,0.0
CBL2abc,0.0,0.0
CBMTHL2,0.0,-0.0
CBPS,0.07222974402103308,2.6020852139652106e-18
CD2abc1,0.0,0.0
CDPMEK,0.25488152041134904,-4.2500725161431774e-17
CELLBabc,0.07449289,6.938893903907228e-18
CGLYabc,0.0,-0.004559789811637002
CHOLSH,0.0,0.0
CHORM,0.0,0.0
CHORS,0.0,0.0
CLPNS140,0.0,-0.0
CLPNS160,0.0,-0.0
CLPNS180,0.0,-0.0
CLPNSAI15,0.0,-0.0
CLPNSAI17,0.0,-0.0
CLPNSI14,0.0,-0.0
CLPNSI15,0.0,-0.0
CLPNSI16,0.0,-0.0
