,fluxes,reduced_costs
biomass_dilution,0.038984860558383516,-0.31617263499159187
protein_biomass_to_biomass,0.01434509580443231,3.115256800320481e-35
mRNA_biomass_to_biomass,4.1182542238970216e-05,-3.9165711761872664e-35
tRNA_biomass_to_biomass,0.00024451130776561783,-5.220670049000875e-35
rRNA_biomass_to_biomass,0.001803207048370395,4.4485603799281314e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.0023123118430190505,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.012151541088312475,0.0
prosthetic_group_biomass_to_biomass,1.7894534251522743e-05,-6.657916184532618e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_atp_c_,0.0,-0.005923144650406452
DM_clpn180(c),0.0,-0.09475977120525131
DM_clpnai17(c),0.0,-0.23692559272974834
DM_clpni17(c),0.0,-0.2369258342617029
DM_dhptd(c),0.0,0.0
DM_teich_45_BS(c),0.0,0.0
EX_4abut(e),0.18,0.0
EX_7a_czp(e),0.0,0.0
EX_ac(e),1.3701538475621167,0.0
EX_acald(e),0.0,-0.002961239986104713
EX_adocbl(e),0.0,0.0
EX_ala_L(e),-0.022501232399737205,0.0
EX_alaasp(e),0.0,-0.008882037800673799
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,-0.002960773309649971
EX_alahis(e),0.0,-0.09179094367327406
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,-0.01776662499012166
EX_anzp(e),0.0,0.0
EX_arab_L(e),-0.14132376141159675,0.0
EX_arg_L(e),-0.010119088356884806,0.0
EX_arsenb(e),0.0,0.0
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),-7.164843695325682e-09,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.02408567543232969
EX_cgly(e),-0.002283766303766651,0.0
EX_chlphncl(e),0.0,-7.124021916486584e-07
EX_cit(e),-2.0760139905585516e-09,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.16129522163401674,0.0
EX_cobalt2(e),-0.00030953003820727374,0.0
EX_cu2(e),0.0,0.0
EX_czp(e),0.0,-2.3038085431441955e-06
EX_dextrin(e),0.0,-0.10065933344102573
EX_dfdcytd(e),0.0,0.0
EX_dfduri(e),0.0,0.0
EX_drib(e),-0.17878295,-0.0029594099064937478
EX_etoh(e),0.5873470057410188,0.0
EX_fe2(e),-1.5155384266545842e-10,0.0
EX_fe3(e),-1.0380069952792758e-09,0.0
EX_fol(e),-0.0009285842921261927,0.0
EX_for(e),1.3826709052795894,0.0
EX_gal(e),-0.14898579,-0.017763020474547298
EX_glc_D(e),-0.14898579,-0.011840628957891182
EX_gln_L(e),-0.023427551442278864,0.0
EX_glu_L(e),-0.18,-0.002960126019173756
EX_gly(e),-0.45,-0.007896284830517339
EX_glyasn(e),0.0,-0.023688210619052297
EX_glyasp(e),0.0,-0.011844277033254774
EX_glyb(e),0.0,-0.0029623286336239786
EX_glyc3p(e),-0.19161193604938195,0.0
EX_glycys(e),0.0,5.958104297280728e-35
EX_glygln(e),0.0,-0.002960402335168139
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,-0.005923097418879263
EX_glymet(e),0.0,-0.005922876003988593
EX_glyphe(e),0.0,-0.05033825393406022
EX_glypro(e),0.0,-0.005922807134146035
EX_glytyr(e),0.0,-0.05033878212778389
EX_h(e),1.8231340359485453,0.0
EX_h2o(e),-0.8197428518049402,0.0
EX_hg2(e),0.0,0.0
EX_hxan(e),-0.0077799044341379285,0.0
EX_ile_L(e),-0.021383627112482515,0.0
EX_k(e),-9.340044145745326e-10,0.0
EX_lac_D(e),1.43060589749258,0.0
EX_lac_L(e),0.0,0.0
EX_lactl(e),0.0,-0.03256635650590756
EX_lcts(e),-0.07449289,-0.02960349568673692
EX_leu_L(e),-0.018925628675585626,0.0
EX_malt(e),-0.07449289,-0.03552716986473214
