,fluxes,reduced_costs
biomass_dilution,0.1530197147538827,-0.6527594292786809
protein_biomass_to_biomass,0.07571557668851983,1.1998970588896685e-34
mRNA_biomass_to_biomass,0.00026330870017616864,0.0
tRNA_biomass_to_biomass,0.001555068531294789,0.0
rRNA_biomass_to_biomass,0.011420187746892626,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.009043342851484676,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.012396826765886819,0.0
prosthetic_group_biomass_to_biomass,3.53915823353889e-05,6.773009120874148e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_4HBA,6.121380357643624e-09,0.0
DM_atp_c_,0.0,-0.018645010088284012
DM_dhptd(c),0.0001189224011679856,0.0
EX_26dap_M(e),-1.8398738953517064e-23,0.0
EX_ac(e),7.9641199162168475,0.0
EX_acald(e),0.0,-0.018636661300744747
EX_acgam(e),-1.0,-0.08851855797668275
EX_adocbl(e),0.0,0.0
EX_ala_L(e),-1.0,-0.018634131063497546
EX_alaasp(e),0.0,-0.03260289643922563
EX_alagln(e),0.0,-0.009310234806544132
EX_alaglu(e),0.0,-0.00931177854260449
EX_alagly(e),0.0,-0.009309479701187576
EX_alahis(e),0.0,-0.03260896429926279
EX_alaleu(e),0.0,-0.009311858404126462
EX_alathr(e),0.0,-0.027944777555402804
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-0.0232890631339667
EX_asp_L(e),-0.225,-0.02329135377187163
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.05633117916207563
EX_cgly(e),0.0,0.0
EX_chol(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),1.2323231326802295,0.0
EX_cobalt2(e),-0.003064088769605496,0.0
EX_cro4(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.016556479480493515,0.0
EX_dextrin(e),0.0,-0.4845066138969842
EX_etoh(e),0.0,-0.018638040693797566
EX_fe2(e),-7.734886287716047e-09,0.0
EX_fe3(e),0.0,0.0
EX_for(e),6.681515224688259,0.0
EX_fum(e),-1.0,-0.02329295855098617
EX_gal(e),-0.14898579,-0.06521103979999493
EX_gcald(e),0.0,-0.11499578204980623
EX_glc_D(e),-0.14898579,-0.06521392206259655
EX_gln_L(e),0.06249982934733327,0.0
EX_glu_L(e),-0.10705332880834835,0.0
EX_gly(e),0.1101173955765801,0.0
EX_glyasn(e),0.0,-0.013964411771656731
EX_glyasp(e),0.0,-0.01396670240956166
EX_glyb(e),0.0,0.0
EX_glyc3p(e),-0.10055257417416628,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,0.0
EX_glyglu(e),3.577531814552665e-23,0.0
EX_glyleu(e),0.0,-0.004659793801404248
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_h(e),6.059660288167536,0.0
EX_h2(e),2.4651365490237667,0.0
EX_h2o(e),-8.115295849929197,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.15,-0.023297421631908802
EX_hxan(e),-0.044420277077294706,0.0
EX_ile_L(e),-0.06562422070366188,0.0
EX_k(e),-3.9602082645460047e-07,0.0
EX_lac_D(e),0.0,-0.018635542815066533
EX_lac_L(e),0.0,-0.018637811697791176
EX_lcts(e),-0.07449289,-0.14907021281426394
EX_leu_L(e),-0.08597048392592176,0.0
EX_lys_L(e),-0.08731299649082071,0.0
EX_malt(e),-0.07449289,-0.14907228499960484
EX_malthx(e),0.0,-0.4845066729331856
EX_malttr(e),0.0,-0.23293048027757138
EX_mantr(e),0.0,-0.2329247087716523
EX_melib(e),-0.07449289,-0.16305270296855018
EX_met_L(e),-0.04756863511215622,0.0
EX_metala(e),0.0,-0.009311542667353994
EX_mg2(e),-0.001364914633591107,0.0
EX_mn2(e),-1.9299037078690714e-06,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-0.0030641713371688194,0.0
EX_nh4(e),4.416886888034601,0.0
EX_no2(e),-1.0,-0.004665112264091585
EX_no3(e),0.0,0.0
EX_o2(e),0.0,-0.023299554969109754
EX_oxa(e),0.0,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.054217720579769514,0.0
EX_pi(e),0.0,0.0
EX_pnto_R(e),-0.003064066768231747,0.0
EX_pro_L(e),-0.038734787196646824,0.0
EX_ptrc(e),0.0,0.0
EX_pydx(e),-0.00306407863610165,0.0
EX_raffin(e),-0.00470194,-0.251574880867356
EX_ribflv(e),-0.006128405824950373,0.0
EX_salcn(e),0.0,0.0
EX_ser_L(e),-1.0,-0.018636078227916648
EX_so4(e),0.0,0.0
EX_spmd(e),0.0,0.0
EX_stys(e),0.0,-0.3354336170627166
EX_succ(e),0.0,0.0
EX_taur(e),0.0,0.0
EX_thr_L(e),-0.225,-0.01863323488804881
EX_trp_L(e),-0.007952027350285296,0.0
EX_tyr_L(e),-0.05454728473385607,0.0
EX_ura(e),-0.03884348044667252,0.0
EX_urea(e),0.0,-0.055933145374668786
EX_val_L(e),-0.07184709964660903,0.0
EX_xyl_D(e),0.0,0.0
EX_zn2(e),-2.7835768829319976e-07,0.0
translation_537007.6.peg.2,0.0,-3.1004385220321446e-32
transcription_TU_537007.6.peg.2,0.0,5.308534745134262e-32
translation_537007.6.peg.12,0.0,-3.903713173865948e-33
transcription_TU_537007.6.peg.12,0.0,-143.19305011533862
translation_537007.6.peg.15,0.0,7.663157126191187e-33
transcription_TU_537007.6.peg.15,0.0,4.611395688266379e-33
translation_537007.6.peg.40,0.0,-1.7247702544154534e-32
transcription_TU_537007.6.peg.40,0.0,-123.12453191451158
translation_537007.6.peg.41,0.0,4.6964987467714485e-32
transcription_TU_537007.6.peg.41,0.0,-3.8857522130841073e-32
translation_537007.6.peg.44,0.0,2.7184029587538213e-32
transcription_TU_537007.6.peg.44,0.0,-3.0243712786597783e-32
translation_537007.6.peg.50,5.888479482639143e-08,1.3956327143498176e-32
transcription_TU_537007.6.peg.50,1.269203624863638e-09,-1.0500143891387533e-33
translation_537007.6.peg.51,5.759819968364222e-11,-1.9493980849280858e-32
transcription_TU_537007.6.peg.51,1.2414723366130185e-12,6.169987633240175e-33
translation_537007.6.peg.58,0.0,-3.379935784673037e-34
transcription_TU_537007.6.peg.58,0.0,-31.260357804701986
translation_537007.6.peg.61,2.0016480950762297e-10,-3.525094793543817e-32
transcription_TU_537007.6.peg.61,4.314354877965079e-12,-4.1417366640103136e-33
translation_537007.6.peg.62,2.5387453276107746e-08,3.1537959099102374e-32
transcription_TU_537007.6.peg.62,5.472014943601496e-10,-3.2679431707456476e-32
translation_537007.6.peg.65,6.845720872123496e-08,-4.421199067162478e-34
transcription_TU_537007.6.peg.65,1.475527557040868e-09,-3.9331370858419e-33
translation_537007.6.peg.80,6.042119461815484e-24,3.536165521211392e-33
transcription_TU_537007.6.peg.80,0.0,-38.970785429995104
translation_537007.6.peg.81,0.0,3.5503319120284426e-32
transcription_TU_537007.6.peg.81,0.0,-171.55255551480494
translation_537007.6.peg.87,0.0,1.1738813383339737e-32
transcription_TU_537007.6.peg.87,0.0,-1.2707428888715808e-33
