,fluxes,reduced_costs
biomass_dilution,0.02434602498463797,-0.44023719727797395
protein_biomass_to_biomass,0.00987650657114683,4.692666514591487e-35
mRNA_biomass_to_biomass,2.570677157943559e-05,0.0
tRNA_biomass_to_biomass,0.00015763545990155796,0.0
rRNA_biomass_to_biomass,0.0011478513340602904,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.0014440587975575274,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.006135349124962951,0.0
prosthetic_group_biomass_to_biomass,3.381979159285423e-06,7.350044528127112e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5DRIB,0.0,-0.06626641036723827
DM_5MTR,7.538746636493147e-05,0.0
DM_atp_c_,0.0,-0.010462999283277478
DM_dad_5,0.0,-0.06888203013450536
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-0.0013081632875374064
EX_Lcyst(e),0.0,0.0
EX_ac(e),-0.5665318725037182,0.0
EX_ade(e),-0.002865097396663856,0.0
EX_ala_L(e),1.2920555729234662,0.0
EX_alaasp(e),2.9749217037730065e-23,0.0
EX_alagln(e),2.9749217037730065e-23,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_arg_L(e),-0.004027797944467018,0.0
EX_asn_L(e),-0.225,-0.0026141680218142722
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),-0.225,-0.0013073140845741725
EX_biomass(e),0.0,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),-4.384602922472647e-08,0.0
EX_cd2(e),0.0,-0.022331521139045196
EX_cgly(e),0.0,0.0
EX_cit(e),-0.00015077521384912132,0.0
EX_cl(e),0.0,0.0
EX_co2(e),1.0340052633542112,0.0
EX_cobalt2(e),-7.538831006938417e-05,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.0008069618560894617,0.0
EX_ethso3(e),0.0,0.0
EX_fe2(e),0.0,0.0
EX_fe3(e),-7.538760692456066e-05,0.0
EX_fol(e),-0.0002261623990947944,0.0
EX_fum(e),-0.6959605488693602,0.0
EX_gal(e),0.0,0.0
EX_gcald(e),0.0,0.0
EX_glc_D(e),0.0,0.0
EX_gln_L(e),-0.18,-0.003921117886585928
EX_glu_L(e),-0.18,-0.0026139697845788015
EX_gly(e),-0.003720425681120745,0.0
EX_glyasn(e),2.9749217037730065e-23,0.0
EX_glyasp(e),0.0,0.0
EX_glyc(e),0.0007777094221092753,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),2.9749217037730065e-23,0.0
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,-0.0026158007984858514
EX_glymet(e),0.0,-0.002615332702951373
EX_glyphe(e),0.0,0.0
EX_glypro(e),2.9749217037730065e-23,0.0
EX_glytyr(e),0.0,0.0
EX_gua(e),-0.0016539502708539022,0.0
EX_h(e),-1.0,-0.0013070861710430147
